size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
53878,AVTR,13.74,10319583,2025-06-26T22:18:14Z,False,740283.72,prior_reference_price,14.92,13.68,extended_hours_trade,L,100,1,65894173862166,,,
10811,AVTR,13.74,10254631,2025-06-26T20:00:32Z,False,148543.14,prior_reference_price,16,13.68,extended_hours_trade,L,200,1,57632378746650,,,
15000,AVTR,13.67,8487998,2025-06-26T19:52:37Z,False,205050.00,,13.68,13.67,,L,2178,1968,57157145895209,,,
30000,AVTR,13.65,8394173,2025-06-26T19:51:07Z,False,409500.00,,13.66,13.65,,L,2071,3012,57067139745927,,,
30000,AVTR,13.66,8230235,2025-06-26T19:49:01Z,False,409800.00,,13.66,13.65,,L,1774,1936,56941732392681,,,
40000,AVTR,13.67,8056856,2025-06-26T19:45:03Z,False,546800.00,,13.68,13.67,,L,938,1531,56703147269020,,,
150000,AVTR,13.67,7990628,2025-06-26T19:44:15Z,False,2050500.00,,13.67,13.66,,L,1908,2005,56655770806093,,,
185000,AVTR,13.67,7826294,2025-06-26T19:44:09Z,False,2528950.00,,13.68,13.67,,L,1193,1700,56649563285079,,,
20998,AVTR,13.64,7232755,2025-06-26T19:31:01Z,False,286412.72,,13.66,13.65,,L,1534,835,55861730217451,intermarket_sweep,,
94190,AVTR,13.64,7190756,2025-06-26T19:30:49Z,False,1284751.60,,13.66,13.65,,L,1034,633,55849002818186,intermarket_sweep,,
14400,AVTR,13.625,6618172,2025-06-26T19:02:53Z,False,196200.000,,13.63,13.62,,L,530,900,54173874352010,,,
37525,AVTR,13.605,6336819,2025-06-26T18:52:41Z,False,510527.625,,13.61,13.60,,L,400,2002,53561333348702,,,
11200,AVTR,13.57,6213167,2025-06-26T18:48:29Z,False,151984.00,,13.57,13.56,,L,1424,2110,53309148821452,,,
292100,AVTR,13.58,6173720,2025-06-26T18:47:56Z,False,3966718.00,,13.59,13.58,,L,1565,1436,53276721720976,,,
7900,AVTR,13.59,5502754,2025-06-26T18:42:01Z,False,107361.00,,13.59,13.58,,L,3230,2306,52921246793484,,,
12390,AVTR,13.57,5331397,2025-06-26T18:26:54Z,False,168132.30,,13.58,13.57,,L,2003,600,52014007730351,,,
7918,AVTR,13.6597,4652388,2025-06-26T17:32:43Z,False,108157.5046,,13.66,13.65,,L,439,1507,48763186890609,,,
105800,AVTR,13.645,4556281,2025-06-26T17:23:19Z,False,1443641.000,,13.65,13.64,,L,803,803,48199910785925,,,
16476,AVTR,13.61,4207088,2025-06-26T17:08:35Z,False,224238.36,,13.62,13.61,,L,1382,525,47315688317925,,,
125000,AVTR,13.70,3976015,2025-06-26T16:51:23Z,False,1712500.00,,13.67,13.66,,L,400,1500,46283177884983,intermarket_sweep,,
34000,AVTR,13.835,2943841,2025-06-26T15:41:50Z,False,470390.000,,13.84,13.83,,L,1100,500,42110614166705,,,
8102,AVTR,13.70,1293057,2025-06-26T14:07:34Z,False,110997.40,,13.71,13.70,,L,300,710,36454426322999,,,
10000,AVTR,13.98,869933,2025-06-26T13:51:31Z,False,139800.00,,13.99,13.98,,L,839,200,35491481287155,,,
75000,AVTR,14,607568,2025-06-26T13:38:36Z,False,1050000,,13.99,13.96,,L,4,900,34716436452843,,,
25000,AVTR,13.95,354722,2025-06-26T13:35:30Z,False,348750.00,,14.02,13.97,,L,650,100,34530835092615,intermarket_sweep,,
47200,AVTR,13.76,158846,2025-06-26T13:31:51Z,False,649472.00,,13.81,13.71,,L,464,6,34311471807531,,,
