size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
25382,AVTR,10.37,7487569,2026-07-06T20:00:33Z,False,263211.34,prior_reference_price,8.6,0,extended_hours_trade,L,0,1,40076411872468,,regular,2026-07-06T20:00:33Z
12800,AVTR,10.37,7459102,2026-07-06T20:00:04Z,False,132736.00,,0,10.37,extended_hours_trade,L,700,0,40076411843379,,regular,2026-07-06T20:00:03Z
10000,AVTR,10.42,5363908,2026-07-06T19:44:10Z,False,104200.00,,10.41,10.42,,L,2349,1427,40076410889759,,regular,2026-07-06T19:44:10Z
26100,AVTR,10.475,4072199,2026-07-06T18:12:23Z,False,273397.500,,10.47,10.48,,L,800,346,40076405382246,,regular,2026-07-06T18:12:23Z
37600,AVTR,10.485,3564834,2026-07-06T17:23:23Z,False,394236.000,,10.48,10.49,,L,624,484,40076402442224,,regular,2026-07-06T17:23:23Z
22000,AVTR,10.485,3306937,2026-07-06T17:03:35Z,False,230670.000,,10.48,10.49,,L,800,600,40076401254234,,regular,2026-07-06T17:03:35Z
9900,AVTR,10.465,2922317,2026-07-06T16:23:56Z,False,103603.500,,10.46,10.47,,L,600,323,40076398875720,,regular,2026-07-06T16:23:56Z
17800,AVTR,10.48,2635168,2026-07-06T16:03:43Z,False,186544.00,,10.49,10.5,,L,606,473,40076397662539,,regular,2026-07-06T16:03:43Z
22400,AVTR,10.455,2464338,2026-07-06T15:50:48Z,False,234192.000,,10.46,10.47,,L,442,134,40076396887593,,regular,2026-07-06T15:50:48Z
18158,AVTR,10.54,2129266,2026-07-06T15:25:58Z,False,191385.32,,10.5,10.51,,L,384,400,40076395397745,intermarket_sweep,regular,2026-07-06T15:25:58Z
14800,AVTR,10.405,1602244,2026-07-06T15:04:11Z,False,153994.000,,10.39,10.4,,L,462,500,40076394090401,,regular,2026-07-06T15:04:11Z
10607,AVTR,10.315,82159,2026-07-06T13:30:10Z,False,109411.205,,10.2,10.32,,L,35,50,40076388449202,,regular,2026-07-06T13:30:10Z
