size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
2001,AXON,504.03,942623,2025-04-08T21:08:43Z,False,1008564.03,average_price_trade,500.62,504,extended_hours_trade,L,11,15,61723027539020,,,
2561,AXON,504.03,940504,2025-04-08T20:20:00Z,False,1290820.83,prior_reference_price,500,503.68,extended_hours_trade,L,14,1,58800539873623,,,
245,AXON,504.03,937322,2025-04-08T20:04:22Z,False,123487.35,average_price_trade,500,527.17,extended_hours_trade,L,1,1,57862564679418,,,
884,AXON,504.03,936990,2025-04-08T20:03:07Z,False,445562.52,prior_reference_price,500,527.17,extended_hours_trade,L,1,1,57787634530078,,,
210,AXON,504.03,936106,2025-04-08T20:03:07Z,False,105846.30,prior_reference_price,500,527.17,extended_hours_trade,L,1,1,57787576170000,,,
697,AXON,504.03,935760,2025-04-08T20:03:07Z,False,351308.91,prior_reference_price,500,527.17,extended_hours_trade,L,1,1,57787422251191,,,
1058,AXON,504.03,935011,2025-04-08T20:03:07Z,False,533263.74,prior_reference_price,500,527.17,extended_hours_trade,L,1,1,57787296201643,,,
6756,AXON,504.03,933950,2025-04-08T20:03:03Z,False,3405226.68,prior_reference_price,500,527.17,extended_hours_trade,L,1,1,57783162746400,,,
221,AXON,504.03,927194,2025-04-08T20:03:03Z,False,111390.63,prior_reference_price,500,527.17,extended_hours_trade,L,1,1,57783119374020,,,
306,AXON,504.03,926494,2025-04-08T20:02:52Z,False,154233.18,prior_reference_price,495,527.17,extended_hours_trade,L,1,5,57772428454756,,,
234,AXON,504.03,925682,2025-04-08T20:02:19Z,False,117943.02,prior_reference_price,495,527.17,extended_hours_trade,L,1,5,57739089922152,,,
665,AXON,504.03,925427,2025-04-08T20:02:13Z,False,335179.95,prior_reference_price,495,527.17,extended_hours_trade,L,1,5,57733389443689,,,
369,AXON,504.03,924762,2025-04-08T20:02:11Z,False,185987.07,prior_reference_price,495,527.17,extended_hours_trade,L,1,5,57731595736023,,,
1368,AXON,504.03,924393,2025-04-08T20:02:09Z,False,689513.04,prior_reference_price,495,527.17,extended_hours_trade,L,1,5,57729656178792,,,
1090,AXON,504.03,922817,2025-04-08T20:01:59Z,False,549392.70,prior_reference_price,495,527.17,extended_hours_trade,L,1,5,57719513394347,,,
833,AXON,504.03,921711,2025-04-08T20:01:30Z,False,419856.99,prior_reference_price,495,527.17,extended_hours_trade,L,1,5,57690153823250,,,
486,AXON,504.03,920758,2025-04-08T20:01:16Z,False,244958.58,prior_reference_price,495,528.42,extended_hours_trade,L,3,5,57676402463780,,,
210,AXON,504.03,919905,2025-04-08T20:00:35Z,False,105846.30,prior_reference_price,495,528.42,extended_hours_trade,L,3,15,57635790080382,,,
210,AXON,504.03,919695,2025-04-08T20:00:24Z,False,105846.30,prior_reference_price,495,528.42,extended_hours_trade,L,3,15,57624860235417,,,
5017,AXON,504.03,919141,2025-04-08T20:00:24Z,False,2528718.51,prior_reference_price,495,528.42,extended_hours_trade,L,3,15,57624674564619,,,
235,AXON,504.03,914093,2025-04-08T20:00:15Z,False,118447.05,prior_reference_price,495,528.42,extended_hours_trade,L,3,15,57615078004408,,,
400,AXON,504.03,913521,2025-04-08T20:00:14Z,False,201612.00,prior_reference_price,495,528.42,extended_hours_trade,L,3,15,57614433377352,,,
263,AXON,504.03,913037,2025-04-08T20:00:14Z,False,132559.89,prior_reference_price,495,528.42,extended_hours_trade,L,3,15,57614267529421,,,
522,AXON,504.03,912766,2025-04-08T20:00:14Z,False,263103.66,prior_reference_price,495,528.42,extended_hours_trade,L,3,15,57614250954479,,,
357,AXON,504.03,912228,2025-04-08T20:00:07Z,False,179938.71,average_price_trade,495,528.42,extended_hours_trade,L,3,15,57607495638456,,,
3112,AXON,504.03,911772,2025-04-08T20:00:06Z,False,1568541.36,,495,528.42,extended_hours_trade,L,3,15,57606659442065,,,
370,AXON,504.03,908380,2025-04-08T20:00:06Z,False,186491.10,,495,528.42,extended_hours_trade,L,3,15,57606647589555,,,
200,AXON,504.03,907601,2025-04-08T20:00:02Z,False,100806.00,,495,528.42,extended_hours_trade,L,3,15,57602828254725,,,
589,AXON,504.03,795684,2025-04-08T20:00:00Z,False,296873.67,average_price_trade,504.13,504.75,extended_hours_trade,L,198,1162,57600986790354,,,
3930,AXON,504.03,788055,2025-04-08T20:00:00Z,False,1980837.90,,504.49,505,extended_hours_trade,L,266,29,57600661126515,,,
3629,AXON,504.03,791684,2025-04-08T20:00:00Z,False,1829124.87,,504.49,505,extended_hours_trade,L,266,29,57600661197823,,,
1887,AXON,504.03,793571,2025-04-08T20:00:00Z,False,951104.61,,504.49,505,extended_hours_trade,L,266,29,57600661271666,,,
1212,AXON,504.03,794783,2025-04-08T20:00:00Z,False,610884.36,,504.49,505,extended_hours_trade,L,266,29,57600661351966,,,
500,AXON,503.6201,771385,2025-04-08T19:59:32Z,False,251810.0500,,503.62,504.18,,L,1,318,57572762594642,,,
300,AXON,503.33,765524,2025-04-08T19:59:04Z,False,150999.00,,502.90,503.76,,L,196,148,57544379081162,,,
200,AXON,503.73,759015,2025-04-08T19:58:27Z,False,100746.00,,503.41,503.74,,L,11,123,57507003190372,,,
397,AXON,503.45,744014,2025-04-08T19:56:55Z,False,199869.65,,502.62,503.45,,L,239,76,57415265615979,,,
213,AXON,503.3072,743609,2025-04-08T19:56:54Z,False,107204.4336,,502.62,503.45,,L,419,76,57414615598358,,,
200,AXON,503.95,729392,2025-04-08T19:55:00Z,False,100790.00,,504.96,506.71,,L,11,5,57300704819074,,,
400,AXON,505.09,725040,2025-04-08T19:54:41Z,False,202036.00,,504.35,506,,L,5,4,57281243836229,,,
200,AXON,505.20,722488,2025-04-08T19:54:30Z,False,101040.00,,504.43,504.96,,L,5,3,57270161549323,,,
