size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
300,AXON,435.75,1120137,2026-06-23T21:54:57Z,False,130725.00,,442.66,433,extended_hours_trade,L,1,6,30910958526519,,regular,2026-06-23T21:54:57Z
4880,AXON,433.04,1119837,2026-06-23T21:52:55Z,False,2113235.20,prior_reference_price,442.66,433,extended_hours_trade,L,1,6,30910958405117,,regular,2026-06-23T21:52:55Z
4880,AXON,433.04,1119837,2026-06-23T21:51:09Z,True,2113235.20,average_price_trade,442.66,433,extended_hours_trade,L,1,6,30910958298380,,regular,2026-06-23T21:51:08Z
4880,AXON,433.04,1119837,2026-06-23T21:41:25Z,True,2113235.20,average_price_trade,442.66,433,extended_hours_trade,L,1,6,30910957715206,,regular,2026-06-23T21:41:25Z
4826,AXON,433.04,1114908,2026-06-23T21:39:34Z,False,2089851.04,average_price_trade,435,433,extended_hours_trade,L,1,6,30910957603721,,regular,2026-06-23T21:39:34Z
4880,AXON,433.04,1114962,2026-06-23T21:25:54Z,True,2113235.20,prior_reference_price,435,433,extended_hours_trade,L,1,6,30910956784133,,regular,2026-06-23T21:25:54Z
1536,AXON,433.04,1110082,2026-06-23T21:23:59Z,False,665149.44,prior_reference_price,435,433,extended_hours_trade,L,1,6,30910956668669,,regular,2026-06-23T21:23:59Z
275,AXON,433.04,1108332,2026-06-23T20:20:00Z,False,119086.00,prior_reference_price,434.15,430.7,extended_hours_trade,L,10,1,30910952829483,,regular,2026-06-23T20:20:00Z
390,AXON,433.04,1107954,2026-06-23T20:10:45Z,False,168885.60,,434.15,430.7,extended_hours_trade,L,10,1,30910952274652,,regular,2026-06-23T20:10:44Z
803,AXON,433.04,1107560,2026-06-23T20:06:51Z,False,347731.12,average_price_trade,434.15,430.7,extended_hours_trade,L,10,1,30910952040409,,regular,2026-06-23T20:06:50Z
270,AXON,433.04,1106427,2026-06-23T20:00:27Z,False,116920.80,prior_reference_price,434.15,430.7,extended_hours_trade,L,10,1,30910951657059,,regular,2026-06-23T20:00:27Z
280,AXON,433.04,1106157,2026-06-23T20:00:26Z,False,121251.20,prior_reference_price,434.15,430.7,extended_hours_trade,L,10,1,30910951655371,,regular,2026-06-23T20:00:26Z
287,AXON,433.04,1105877,2026-06-23T20:00:25Z,False,124282.48,prior_reference_price,434.15,430.7,extended_hours_trade,L,10,1,30910951654322,,regular,2026-06-23T20:00:25Z
378,AXON,433.04,1105590,2026-06-23T20:00:24Z,False,163689.12,prior_reference_price,434.15,430.7,extended_hours_trade,L,10,1,30910951654107,,regular,2026-06-23T20:00:24Z
385,AXON,433.04,1104998,2026-06-23T20:00:24Z,False,166720.40,prior_reference_price,435,430.7,extended_hours_trade,L,1,1,30910951653678,,regular,2026-06-23T20:00:24Z
771,AXON,433.04,1104613,2026-06-23T20:00:23Z,False,333873.84,prior_reference_price,435,430.7,extended_hours_trade,L,1,1,30910951652984,,regular,2026-06-23T20:00:23Z
6650,AXON,433.04,1103842,2026-06-23T20:00:20Z,False,2879716.00,prior_reference_price,435,431,extended_hours_trade,L,1,20,30910951649519,,regular,2026-06-23T20:00:20Z
