size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
1000,BABA,165.9899,35289716,2026-01-12T23:26:51Z,False,165989.9000,,165.45,166,extended_hours_trade,L,40,300,35712737477885,,regular,2026-01-12T23:26:51Z
900,BABA,165.31,35266135,2026-01-12T22:58:30Z,False,148779.00,,165.32,165.5,extended_hours_trade,L,100,17,35712735776460,,regular,2026-01-12T22:58:30Z
700,BABA,165.3,35250563,2026-01-12T22:42:26Z,False,115710.0,,165.3,165.5,extended_hours_trade,L,600,90,35712734812966,,regular,2026-01-12T22:42:26Z
690,BABA,165.5,35237312,2026-01-12T22:33:20Z,False,114195.0,,165.12,165.45,extended_hours_trade,L,16,705,35712734266851,,regular,2026-01-12T22:33:20Z
6310,BABA,165.5,35243622,2026-01-12T22:33:20Z,False,1044305.0,,165.12,165.45,extended_hours_trade,L,16,705,35712734266851,,regular,2026-01-12T22:33:20Z
799,BABA,165,35229084,2026-01-12T22:26:07Z,False,131835,,164.88,165.02,extended_hours_trade,L,863,400,35712733833541,,regular,2026-01-12T22:26:07Z
700,BABA,165.1,35224402,2026-01-12T22:25:39Z,False,115570.0,,165.05,165.1,extended_hours_trade,L,1600,300,35712733806179,,regular,2026-01-12T22:25:39Z
1500,BABA,165,35196755,2026-01-12T22:00:27Z,False,247500,,164.4,165.4,extended_hours_trade,L,2,400,35712732293510,,regular,2026-01-12T22:00:27Z
2449,BABA,164.51,35192715,2026-01-12T21:59:27Z,False,402884.99,,164.4,165.2,extended_hours_trade,L,200,39,35712732233549,,regular,2026-01-12T21:59:27Z
1000,BABA,164.47,35177663,2026-01-12T21:55:24Z,False,164470.00,,164.44,164.75,extended_hours_trade,L,246,2,35712731990280,,regular,2026-01-12T21:55:24Z
1000,BABA,165.4984,35147315,2026-01-12T21:49:36Z,False,165498.4000,,165.05,165.72,extended_hours_trade,L,18,100,35712731642890,,regular,2026-01-12T21:49:36Z
896,BABA,166.3,35075736,2026-01-12T21:42:01Z,False,149004.8,,166.22,166.28,extended_hours_trade,L,1,20,35712731187340,,regular,2026-01-12T21:42:01Z
30002,BABA,166.31,35071315,2026-01-12T21:37:07Z,False,4989632.62,prior_reference_price,166.2,166.32,extended_hours_trade,L,342,318,35712730893678,,regular,2026-01-12T21:37:07Z
785,BABA,166.2996,35037065,2026-01-12T21:31:39Z,False,130545.1860,,166.15,166.32,extended_hours_trade,L,342,3,35712730565436,,regular,2026-01-12T21:31:39Z
1157,BABA,166.31,34955331,2026-01-12T21:20:12Z,False,192420.67,prior_reference_price,166.23,166.32,extended_hours_trade,L,167,6,35712729878819,,regular,2026-01-12T21:20:12Z
68479,BABA,166.31,35023810,2026-01-12T21:20:12Z,False,11388742.49,prior_reference_price,166.23,166.32,extended_hours_trade,L,167,6,35712729878819,,regular,2026-01-12T21:20:12Z
1157,BABA,166.31,35024967,2026-01-12T21:20:12Z,False,192420.67,prior_reference_price,166.23,166.32,extended_hours_trade,L,167,6,35712729878819,,regular,2026-01-12T21:20:12Z
1000,BABA,166.3,34944454,2026-01-12T21:06:58Z,False,166300.0,,166.21,166.32,extended_hours_trade,L,155,9,35712729084406,,regular,2026-01-12T21:06:58Z
1788,BABA,166.31,34942596,2026-01-12T21:04:39Z,False,297362.28,prior_reference_price,166.18,166.32,extended_hours_trade,L,198,10,35712728946118,,regular,2026-01-12T21:04:39Z
5751,BABA,166.31,34940658,2026-01-12T21:04:22Z,False,956448.81,prior_reference_price,166.05,166.32,extended_hours_trade,L,198,8,35712728928539,,regular,2026-01-12T21:04:22Z
12000,BABA,166.31,34934907,2026-01-12T21:04:22Z,False,1995720.00,prior_reference_price,166.05,166.32,extended_hours_trade,L,198,8,35712728928537,,regular,2026-01-12T21:04:22Z
16716,BABA,166.31,34922424,2026-01-12T21:04:22Z,False,2780037.96,prior_reference_price,166.05,166.32,extended_hours_trade,L,198,8,35712728928375,,regular,2026-01-12T21:04:22Z
1510,BABA,166.31,34905491,2026-01-12T21:04:22Z,False,251128.10,prior_reference_price,166.05,166.32,extended_hours_trade,L,198,8,35712728928338,,regular,2026-01-12T21:04:22Z
8333,BABA,166.31,34813959,2026-01-12T21:04:09Z,False,1385861.23,prior_reference_price,166.04,166.2,extended_hours_trade,L,36,1200,35712728916101,,regular,2026-01-12T21:04:09Z
674,BABA,166.12,33939004,2026-01-12T21:04:03Z,False,111964.88,,166.04,166.2,extended_hours_trade,L,36,1200,35712728909309,,regular,2026-01-12T21:04:03Z
3465,BABA,166.315,33937308,2026-01-12T21:03:37Z,False,576281.475,prior_reference_price,166.15,166.23,extended_hours_trade,L,200,5,35712728883267,,regular,2026-01-12T21:03:37Z
3725,BABA,166.38,33890890,2026-01-12T20:59:55Z,False,619765.50,,166.3,167,,L,200,100,35712728661270,,regular,2026-01-12T20:59:55Z
642,BABA,166.29,33847628,2026-01-12T20:59:52Z,False,106758.18,,166.3,167,,L,200,100,35712728658405,,regular,2026-01-12T20:59:52Z
772,BABA,166.47,33708841,2026-01-12T20:59:30Z,False,128514.84,,166.43,166.47,,L,270,220,35712728636613,,regular,2026-01-12T20:59:30Z
7439,BABA,166.46,33699520,2026-01-12T20:59:28Z,False,1238295.94,,166.43,166.47,,L,270,220,35712728635026,,regular,2026-01-12T20:59:28Z
1281,BABA,166.3943,33678305,2026-01-12T20:59:27Z,False,213151.0983,average_price_trade,166.43,166.47,,L,270,220,35712728633350,derivative_priced,regular,2026-01-12T20:59:27Z
675,BABA,166.44,33628521,2026-01-12T20:59:16Z,False,112347.00,,166.44,166.46,,L,343,160,35712728622259,,regular,2026-01-12T20:59:16Z
882,BABA,166.4446,33591802,2026-01-12T20:59:05Z,False,146804.1372,average_price_trade,166.39,166.4,,L,8,297,35712728611870,derivative_priced,regular,2026-01-12T20:59:05Z
1282,BABA,166.311,33550715,2026-01-12T20:58:55Z,False,213210.702,,166.33,166.34,,L,150,144,35712728601781,,regular,2026-01-12T20:58:55Z
758,BABA,166.31,33546115,2026-01-12T20:58:55Z,False,126062.98,,166.33,166.34,,L,150,144,35712728601732,,regular,2026-01-12T20:58:55Z
2500,BABA,166.28,33509874,2026-01-12T20:58:48Z,False,415700.00,,166.3,166.33,,L,220,100,35712728595031,,regular,2026-01-12T20:58:48Z
813,BABA,166.5034,33486936,2026-01-12T20:58:42Z,False,135367.2642,average_price_trade,166.32,166.34,,L,40,124,35712728588372,derivative_priced,regular,2026-01-12T20:58:42Z
919,BABA,166.34,33485330,2026-01-12T20:58:40Z,False,152866.46,,166.32,166.34,,L,40,124,35712728586383,,regular,2026-01-12T20:58:40Z
753,BABA,166.35,33482130,2026-01-12T20:58:37Z,False,125261.55,,166.32,166.34,,L,40,124,35712728583528,,regular,2026-01-12T20:58:37Z
700,BABA,166.3,33475071,2026-01-12T20:58:36Z,False,116410.0,,166.28,166.3,,L,120,228,35712728582752,,regular,2026-01-12T20:58:36Z
1400,BABA,166.28,33443333,2026-01-12T20:58:31Z,False,232792.00,,166.28,166.3,,L,120,228,35712728577658,,regular,2026-01-12T20:58:31Z
1000,BABA,166.6367,33415855,2026-01-12T20:58:30Z,False,166636.7000,average_price_trade,166.28,166.3,,L,120,228,35712728576828,derivative_priced,regular,2026-01-12T20:58:30Z
605,BABA,166.5716,33379211,2026-01-12T20:58:15Z,False,100775.8180,average_price_trade,166.36,166.38,,L,110,60,35712728562136,derivative_priced,regular,2026-01-12T20:58:15Z
1000,BABA,166.4,33348823,2026-01-12T20:58:10Z,False,166400.0,,166.33,166.37,,L,100,160,35712728556584,,regular,2026-01-12T20:58:10Z
8725,BABA,166.39,33344575,2026-01-12T20:58:08Z,False,1451752.75,,166.37,166.41,,L,100,18,35712728554262,,regular,2026-01-12T20:58:08Z
5404,BABA,166.39,33335850,2026-01-12T20:58:08Z,False,899171.56,,166.37,166.41,,L,100,18,35712728554255,,regular,2026-01-12T20:58:08Z
800,BABA,166.365,33320716,2026-01-12T20:58:06Z,False,133092.000,,166.39,166.43,,L,600,112,35712728552429,,regular,2026-01-12T20:58:06Z
1050,BABA,166.36,33318863,2026-01-12T20:58:05Z,False,174678.00,,166.39,166.43,,L,600,112,35712728552095,,regular,2026-01-12T20:58:05Z
1800,BABA,166.5,33224898,2026-01-12T20:57:54Z,False,299700.0,,166.47,166.5,,L,600,100,35712728540806,,regular,2026-01-12T20:57:54Z
607,BABA,166.669,33223098,2026-01-12T20:57:54Z,False,101168.083,average_price_trade,166.47,166.5,,L,600,100,35712728540803,derivative_priced,regular,2026-01-12T20:57:54Z
