size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
2300,BABA,117.46,9652275,2026-07-16T23:58:33Z,False,270158.00,,117.76,117.41,extended_hours_trade,L,30,660,35712739379779,,regular,2026-07-16T23:58:33Z
1000,BABA,117.31,9643193,2026-07-16T23:37:54Z,False,117310.00,,117.32,117.3,extended_hours_trade,L,3,100,35712738140403,,regular,2026-07-16T23:37:54Z
1100,BABA,117.59,9631664,2026-07-16T23:13:57Z,False,129349.00,,117.45,117.37,extended_hours_trade,L,2,59,35712736703740,,regular,2026-07-16T23:13:57Z
2934,BABA,117.59,9634598,2026-07-16T23:13:57Z,False,345009.06,,117.45,117.37,extended_hours_trade,L,2,59,35712736703740,,regular,2026-07-16T23:13:57Z
1000,BABA,117.67,9619160,2026-07-16T22:32:57Z,False,117670.00,,117.7,117.63,extended_hours_trade,L,2,200,35712734244124,,regular,2026-07-16T22:32:57Z
1000,BABA,117.6801,9615682,2026-07-16T22:14:56Z,False,117680.1000,,117.99,117.63,extended_hours_trade,L,40,200,35712733162969,,regular,2026-07-16T22:14:56Z
900,BABA,117.9776,9597794,2026-07-16T21:18:49Z,False,106179.8400,average_price_trade,117.8,117.3,extended_hours_trade,L,200,200,35712729796080,,regular,2026-07-16T21:18:49Z
900,BABA,117.9776,9596416,2026-07-16T21:15:37Z,False,106179.8400,average_price_trade,117.46,117.3,extended_hours_trade,L,200,200,35712729603256,,regular,2026-07-16T21:15:37Z
1000,BABA,117.3001,9594121,2026-07-16T21:12:36Z,False,117300.1000,,117.49,117.3,extended_hours_trade,L,200,200,35712729422508,,regular,2026-07-16T21:12:36Z
1442,BABA,117.49,9327062,2026-07-16T20:03:37Z,False,169420.58,prior_reference_price,117.96,117.35,extended_hours_trade,L,50,35,35712725283601,,regular,2026-07-16T20:03:37Z
1294,BABA,117.49,9325501,2026-07-16T20:03:37Z,False,152032.06,prior_reference_price,117.96,117.35,extended_hours_trade,L,50,35,35712725283439,,regular,2026-07-16T20:03:37Z
1983,BABA,117.49,9324207,2026-07-16T20:03:37Z,False,232982.67,prior_reference_price,117.96,117.35,extended_hours_trade,L,50,35,35712725283395,,regular,2026-07-16T20:03:37Z
13772,BABA,117.49,9322224,2026-07-16T20:03:37Z,False,1618072.28,prior_reference_price,117.96,117.35,extended_hours_trade,L,50,35,35712725283356,,regular,2026-07-16T20:03:37Z
27809,BABA,117.49,9308452,2026-07-16T20:03:37Z,False,3267279.41,prior_reference_price,117.96,117.35,extended_hours_trade,L,50,35,35712725283316,,regular,2026-07-16T20:03:37Z
910,BABA,117.49,9243589,2026-07-16T20:03:25Z,False,106915.90,,117.96,117.35,extended_hours_trade,L,50,35,35712725271342,,regular,2026-07-16T20:03:24Z
866,BABA,117.49,9240546,2026-07-16T20:03:24Z,False,101746.34,,117.96,117.56,extended_hours_trade,L,70,4,35712725271121,,regular,2026-07-16T20:03:24Z
1600,BABA,117.49,9242244,2026-07-16T20:03:24Z,False,187984.00,,117.96,117.56,extended_hours_trade,L,70,4,35712725271121,,regular,2026-07-16T20:03:24Z
3800,BABA,117.49,9239672,2026-07-16T20:03:24Z,False,446462.00,,117.96,117.56,extended_hours_trade,L,70,4,35712725271120,,regular,2026-07-16T20:03:24Z
19300,BABA,118,8861893,2026-07-16T20:00:56Z,False,2277400,average_price_trade,117.96,117.56,extended_hours_trade,L,50,4,35712725123073,,regular,2026-07-16T20:00:55Z
1683,BABA,117.49,8803493,2026-07-16T19:59:50Z,False,197735.67,,117.51,117.49,,L,203,136,35712725056621,,regular,2026-07-16T19:59:50Z
1000,BABA,117.65,8669618,2026-07-16T19:59:22Z,False,117650.00,,117.66,117.64,,L,280,280,35712725028302,,regular,2026-07-16T19:59:22Z
1929,BABA,117.61,8617177,2026-07-16T19:59:01Z,False,226869.69,,117.62,117.6,,L,225,447,35712725008189,,regular,2026-07-16T19:59:01Z
1100,BABA,117.5901,8570967,2026-07-16T19:58:34Z,False,129349.1100,,117.62,117.61,,L,200,100,35712724980669,,regular,2026-07-16T19:58:34Z
1140,BABA,117.59,8569867,2026-07-16T19:58:34Z,False,134052.60,,117.62,117.61,,L,200,100,35712724980664,,regular,2026-07-16T19:58:34Z
2719,BABA,117.62,8558836,2026-07-16T19:58:32Z,False,319808.78,,117.62,117.58,,L,248,177,35712724978508,,regular,2026-07-16T19:58:32Z
1388,BABA,117.55,8531329,2026-07-16T19:58:29Z,False,163159.40,,117.55,117.52,,L,144,200,35712724975381,,regular,2026-07-16T19:58:29Z
1527,BABA,117.5401,8528809,2026-07-16T19:58:28Z,False,179483.7327,,117.55,117.52,,L,118,200,35712724975168,,regular,2026-07-16T19:58:28Z
900,BABA,117.51,8487663,2026-07-16T19:58:10Z,False,105759.00,,117.53,117.5,,L,132,111,35712724956493,,regular,2026-07-16T19:58:10Z
900,BABA,117.51,8486157,2026-07-16T19:58:10Z,False,105759.00,,117.53,117.5,,L,132,111,35712724956492,,regular,2026-07-16T19:58:10Z
