size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
24525,BAH,109.70,2106785,2025-08-01T22:04:25Z,False,2690392.50,prior_reference_price,124.83,96.03,extended_hours_trade,L,100,100,65065209725675,,regular,
1692,BAH,109.70,2081913,2025-08-01T20:00:50Z,False,185612.40,prior_reference_price,0,79.88,extended_hours_trade,L,0,27,57650259680961,,regular,
1351,BAH,109.70,2077607,2025-08-01T20:00:26Z,False,148204.70,prior_reference_price,0,79.88,extended_hours_trade,L,0,27,57626027563072,,regular,
3820,BAH,109.70,2076255,2025-08-01T20:00:26Z,False,419054.00,prior_reference_price,0,79.88,extended_hours_trade,L,0,27,57626022897402,,regular,
1900,BAH,109.70,2072435,2025-08-01T20:00:26Z,False,208430.00,prior_reference_price,0,79.88,extended_hours_trade,L,0,27,57626021210763,,regular,
1379,BAH,109.70,2070126,2025-08-01T20:00:25Z,False,151276.30,prior_reference_price,0,79.88,extended_hours_trade,L,0,27,57625964750381,,regular,
932,BAH,109.70,2068547,2025-08-01T20:00:25Z,False,102240.40,prior_reference_price,0,79.88,extended_hours_trade,L,0,27,57625961171379,,regular,
4586,BAH,109.70,2066909,2025-08-01T20:00:25Z,False,503084.20,prior_reference_price,0,79.88,extended_hours_trade,L,0,27,57625950140316,,regular,
1208,BAH,109.70,2061405,2025-08-01T20:00:07Z,False,132517.60,,0,79.88,extended_hours_trade,L,0,27,57607095128959,,regular,
8858,BAH,109.7599,1555352,2025-08-01T19:56:31Z,False,972253.1942,,109.75,109.72,,L,40,200,57391444148304,,regular,
1285,BAH,109.04,1317857,2025-08-01T19:41:36Z,False,140116.40,,109.04,109.02,,L,19,201,56496739353318,,regular,
1000,BAH,108.855,1289851,2025-08-01T19:38:26Z,False,108855.000,,108.86,108.85,,L,408,290,56306496145309,,regular,
3728,BAH,108.8501,1278889,2025-08-01T19:37:26Z,False,405793.1728,,108.91,108.87,,L,12,17,56246050856995,,regular,
1828,BAH,108.8501,1280717,2025-08-01T19:37:26Z,False,198977.9828,,108.91,108.87,,L,12,17,56246050880550,,regular,
1005,BAH,108.60,886834,2025-08-01T18:22:37Z,False,109143.00,,108.64,108.59,,L,10,108,51757582312884,,regular,
2310,BAH,107.665,701889,2025-08-01T16:59:56Z,False,248706.150,,107.77,107.61,,L,104,21,46796587645321,,regular,
1163,BAH,108.1613,667765,2025-08-01T16:43:35Z,False,125791.5919,,108.27,108.16,,L,15,100,45815848973701,,regular,
1031,BAH,108.33,627965,2025-08-01T16:23:22Z,False,111688.23,,108.40,108.26,,L,50,182,44602103016625,,regular,
1075,BAH,107.2613,499646,2025-08-01T15:29:34Z,False,115305.8975,,107.39,107.27,,L,100,22,41374611356709,,regular,
3135,BAH,107.48,215998,2025-08-01T14:35:03Z,False,336949.80,,107.48,107.39,,L,500,103,38103422835563,,regular,
1900,BAH,106.66,186617,2025-08-01T14:28:41Z,False,202654.00,,106.75,106.63,,L,16,2,37721307291070,,regular,
1400,BAH,107.19,160240,2025-08-01T14:19:22Z,False,150066.00,,107.37,107.19,,L,27,47,37162331048330,,regular,
1000,BAH,106.62,127510,2025-08-01T14:10:23Z,False,106620.00,,106.71,106.62,,L,20,19,36623599369485,,regular,
1300,BAH,106.69,44809,2025-08-01T13:40:52Z,False,138697.00,,107.38,106.95,,L,30,20,34852145575536,,regular,
7800,BAH,107.045,42911,2025-08-01T13:40:51Z,False,834951.000,,107.38,106.95,,L,30,20,34851806271769,,regular,
