size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
32903,BAX,16.61,11077821,2026-03-23T20:35:22Z,False,546518.83,prior_reference_price,16.5,16.75,extended_hours_trade,L,52,6,25190057313049,,regular,2026-03-23T20:35:22Z
6953,BAX,16.61,11044754,2026-03-23T20:06:31Z,False,115489.33,average_price_trade,16.5,16.65,extended_hours_trade,L,25,181,25190055582106,,regular,2026-03-23T20:06:31Z
7760,BAX,16.61,11035697,2026-03-23T20:03:39Z,False,128893.60,prior_reference_price,16.5,16.65,extended_hours_trade,L,25,181,25190055410877,,regular,2026-03-23T20:03:39Z
24660,BAX,16.61,11026880,2026-03-23T20:03:31Z,False,409602.60,prior_reference_price,16.5,16.65,extended_hours_trade,L,25,181,25190055402800,,regular,2026-03-23T20:03:31Z
8372,BAX,16.61,10997683,2026-03-23T20:02:55Z,False,139058.92,prior_reference_price,16.5,16.65,extended_hours_trade,L,25,181,25190055366604,,regular,2026-03-23T20:02:55Z
7452,BAX,16.61,10987629,2026-03-23T20:01:11Z,False,123777.72,prior_reference_price,16.5,16.65,extended_hours_trade,L,25,181,25190055262053,,regular,2026-03-23T20:01:11Z
72375,BAX,16.61,10978615,2026-03-23T20:00:50Z,False,1202148.75,prior_reference_price,16.5,16.65,extended_hours_trade,L,25,191,25190055241863,,regular,2026-03-23T20:00:50Z
7128,BAX,16.61,10901597,2026-03-23T20:00:50Z,False,118396.08,prior_reference_price,16.5,16.65,extended_hours_trade,L,25,191,25190055241655,,regular,2026-03-23T20:00:50Z
33277,BAX,16.61,10893369,2026-03-23T20:00:50Z,False,552730.97,prior_reference_price,16.5,16.65,extended_hours_trade,L,25,191,25190055241649,,regular,2026-03-23T20:00:50Z
21530,BAX,16.61,10859992,2026-03-23T20:00:50Z,False,357613.30,prior_reference_price,16.5,16.65,extended_hours_trade,L,25,191,25190055241644,,regular,2026-03-23T20:00:50Z
8800,BAX,16.65,8051330,2026-03-23T19:52:50Z,False,146520.00,,16.64,16.65,,L,780,600,25190054761771,,regular,2026-03-23T19:52:50Z
19807,BAX,16.65,7411087,2026-03-23T19:44:31Z,False,329786.55,,16.65,16.66,,L,993,745,25190054262628,,regular,2026-03-23T19:44:31Z
9921,BAX,16.6915,7239465,2026-03-23T19:40:14Z,False,165596.3715,,16.69,16.7,,L,1570,2060,25190054005929,,regular,2026-03-23T19:40:14Z
8346,BAX,16.65,6775775,2026-03-23T19:21:40Z,False,138960.90,,16.66,16.67,,L,1741,565,25190052891302,,regular,2026-03-23T19:21:40Z
6470,BAX,16.685,6596666,2026-03-23T19:17:20Z,False,107951.950,,16.68,16.69,,L,227,989,25190052631585,,regular,2026-03-23T19:17:20Z
6122,BAX,16.685,6590155,2026-03-23T19:17:19Z,False,102145.570,,16.68,16.69,,L,27,1089,25190052630626,,regular,2026-03-23T19:17:19Z
6446,BAX,16.655,6349072,2026-03-23T19:05:32Z,False,107358.130,,16.65,16.66,,L,1337,1456,25190051923400,,regular,2026-03-23T19:05:32Z
13081,BAX,16.662,6155703,2026-03-23T18:54:01Z,False,217955.622,,16.66,16.67,,L,700,806,25190051233030,,regular,2026-03-23T18:54:01Z
7282,BAX,16.495,5218055,2026-03-23T17:50:58Z,False,120116.590,,16.49,16.5,,L,136,213,25190047450026,,regular,2026-03-23T17:50:58Z
20800,BAX,16.51,5191068,2026-03-23T17:50:35Z,False,343408.00,,16.51,16.52,,L,250,551,25190047426936,,regular,2026-03-23T17:50:35Z
10000,BAX,16.52,5050358,2026-03-23T17:41:59Z,False,165200.00,,16.5,16.51,,L,613,608,25190046910130,,regular,2026-03-23T17:41:59Z
7653,BAX,16.505,4914769,2026-03-23T17:36:06Z,False,126312.765,,16.5,16.51,,L,200,1109,25190046557474,,regular,2026-03-23T17:36:06Z
7732,BAX,16.385,4017820,2026-03-23T16:44:33Z,False,126688.820,,16.38,16.39,,L,420,120,25190043464371,,regular,2026-03-23T16:44:33Z
63820,BAX,16.345,3860051,2026-03-23T16:29:58Z,False,1043137.900,,16.34,16.35,,L,112,240,25190042589244,,regular,2026-03-23T16:29:58Z
11048,BAX,16.73,3030174,2026-03-23T15:28:32Z,False,184833.04,,16.72,16.73,,L,113,499,25190038903168,,regular,2026-03-23T15:28:32Z
6500,BAX,16.81,2930718,2026-03-23T15:23:36Z,False,109265.00,,16.8,16.82,,L,917,1586,25190038607615,,regular,2026-03-23T15:23:36Z
47846,BAX,16.73,2867493,2026-03-23T15:19:47Z,False,800463.58,,16.72,16.73,,L,341,1700,25190038378594,,regular,2026-03-23T15:19:47Z
6750,BAX,16.695,2799541,2026-03-23T15:17:59Z,False,112691.250,,16.69,16.7,,L,100,868,25190038270176,,regular,2026-03-23T15:17:59Z
8762,BAX,16.7904,2447819,2026-03-23T15:07:25Z,False,147117.4848,,16.79,16.81,,L,119,729,25190037636750,,regular,2026-03-23T15:07:25Z
11958,BAX,16.817,2008142,2026-03-23T15:03:10Z,False,201097.686,,16.82,16.83,,L,600,200,25190037381310,,regular,2026-03-23T15:03:10Z
29607,BAX,16.892,1859061,2026-03-23T14:59:25Z,False,500121.444,,16.9,16.91,,L,339,471,25190037156642,,regular,2026-03-23T14:59:25Z
6000,BAX,16.876,1559850,2026-03-23T14:52:59Z,False,101256.000,,16.87,16.88,,L,300,250,25190036770689,,regular,2026-03-23T14:52:59Z
10535,BAX,16.84,1542170,2026-03-23T14:52:06Z,False,177409.40,,16.83,16.85,,L,536,200,25190036717774,,regular,2026-03-23T14:52:06Z
7594,BAX,16.6837,1406812,2026-03-23T14:46:06Z,False,126696.0178,,16.68,16.69,,L,420,500,25190036357726,,regular,2026-03-23T14:46:06Z
7998,BAX,16.75,1179123,2026-03-23T14:33:44Z,False,133966.50,,16.74,16.75,,L,582,682,25190035615207,,regular,2026-03-23T14:33:44Z
48617,BAX,16.78,1075977,2026-03-23T14:25:48Z,False,815793.26,,16.78,16.79,,L,200,18,25190035140005,,regular,2026-03-23T14:25:48Z
10000,BAX,16.715,887391,2026-03-23T14:13:35Z,False,167150.000,,16.71,16.72,,L,544,211,25190034406306,,regular,2026-03-23T14:13:35Z
10000,BAX,16.745,864245,2026-03-23T14:13:28Z,False,167450.000,,16.74,16.75,,L,79,225,25190034399912,,regular,2026-03-23T14:13:28Z
14684,BAX,16.745,853138,2026-03-23T14:13:28Z,False,245883.580,,16.74,16.75,,L,79,225,25190034399697,,regular,2026-03-23T14:13:28Z
15000,BAX,16.74,737018,2026-03-23T14:07:19Z,False,251100.00,,16.73,16.74,,L,100,400,25190034030505,,regular,2026-03-23T14:07:19Z
10000,BAX,16.455,370766,2026-03-23T13:45:09Z,False,164550.000,,16.44,16.45,,L,229,200,25190032700059,,regular,2026-03-23T13:45:09Z
