size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
572020,BAX,22.93,11746592,2026-09-21T20:08:19Z,False,13116418.60,prior_reference_price,23.05,22.8,extended_hours_trade,L,10,11,25190055690206,,regular,2026-09-21T20:08:17Z
4500,BAX,22.93,11173035,2026-09-21T20:00:27Z,False,103185.00,prior_reference_price,0,22.5,extended_hours_trade,L,0,8,25190055218836,,regular,2026-09-21T20:00:27Z
13812,BAX,22.93,11168535,2026-09-21T20:00:26Z,False,316709.16,prior_reference_price,0,22.5,extended_hours_trade,L,0,8,25190055217247,,regular,2026-09-21T20:00:26Z
37300,BAX,22.93,11154723,2026-09-21T20:00:24Z,False,855289.00,prior_reference_price,0,22.5,extended_hours_trade,L,0,8,25190055215828,,regular,2026-09-21T20:00:24Z
5800,BAX,22.93,11106585,2026-09-21T20:00:21Z,False,132994.00,prior_reference_price,0,22.5,extended_hours_trade,L,0,8,25190055212713,,regular,2026-09-21T20:00:21Z
6410,BAX,22.93,11096555,2026-09-21T20:00:18Z,False,146981.30,prior_reference_price,0,22.5,extended_hours_trade,L,0,8,25190055209850,,regular,2026-09-21T20:00:18Z
9321,BAX,22.93,11090145,2026-09-21T20:00:18Z,False,213730.53,prior_reference_price,0,22.5,extended_hours_trade,L,0,8,25190055209848,,regular,2026-09-21T20:00:18Z
4658,BAX,22.93,11080824,2026-09-21T20:00:18Z,False,106807.94,prior_reference_price,0,22.5,extended_hours_trade,L,0,8,25190055209846,,regular,2026-09-21T20:00:18Z
4635,BAX,22.93,11070702,2026-09-21T20:00:18Z,False,106280.55,prior_reference_price,0,22.5,extended_hours_trade,L,0,8,25190055209736,,regular,2026-09-21T20:00:18Z
4588,BAX,22.93,11059852,2026-09-21T20:00:18Z,False,105202.84,prior_reference_price,0,22.04,extended_hours_trade,L,0,10,25190055209238,,regular,2026-09-21T20:00:18Z
8487,BAX,22.93,11051938,2026-09-21T20:00:04Z,False,194606.91,,0,12.5,extended_hours_trade,L,0,8,25190055195988,,regular,2026-09-21T20:00:02Z
6100,BAX,22.985,8895964,2026-09-21T19:57:03Z,False,140208.500,average_price_trade,23,22.99,,L,406,261,25190055014459,derivative_priced,regular,2026-09-21T19:57:03Z
4400,BAX,23.035,7944891,2026-09-21T19:29:24Z,False,101354.000,,23.04,23.03,,L,783,1110,25190053355370,,regular,2026-09-21T19:29:24Z
