size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
979,BA,152.33,5203685,2024-11-27T23:35:41Z,False,149131.07,,152.48,152.11,extended_hours_trade,L,29,100,66941230147076,,,
991,BA,152.30,5196420,2024-11-27T22:34:37Z,False,150929.30,,152.40,152,extended_hours_trade,L,25,225,63277115092916,,,
1000,BA,152.491,5192224,2024-11-27T21:48:38Z,False,152491.000,,152.36,152.14,extended_hours_trade,L,3,10,60518836705660,,,
1098,BA,152.40,5189290,2024-11-27T21:25:19Z,False,167335.20,,152.50,152,extended_hours_trade,L,5,100,59119428000469,,,
2667,BA,152.40,5181695,2024-11-27T21:03:19Z,False,406450.80,prior_reference_price,152.50,152.22,extended_hours_trade,L,5,5,57799757150829,,,
988,BA,152.40,5179028,2024-11-27T21:03:18Z,False,150571.20,prior_reference_price,152.50,152.22,extended_hours_trade,L,5,5,57798407764365,,,
1541,BA,152.40,5178040,2024-11-27T21:03:15Z,False,234848.40,prior_reference_price,152.50,152.22,extended_hours_trade,L,5,5,57795427314392,,,
756,BA,152.40,5176291,2024-11-27T21:03:12Z,False,115214.40,prior_reference_price,152.50,152.22,extended_hours_trade,L,5,5,57792394450382,,,
1300,BA,152.40,5175535,2024-11-27T21:03:09Z,False,198120.00,prior_reference_price,152.50,152.22,extended_hours_trade,L,5,5,57789100767800,,,
665,BA,152.40,5174139,2024-11-27T21:03:05Z,False,101346.00,prior_reference_price,152.50,152.22,extended_hours_trade,L,5,5,57785378441753,,,
716,BA,152.40,5173038,2024-11-27T21:03:01Z,False,109118.40,prior_reference_price,152.50,152.22,extended_hours_trade,L,5,5,57781363533044,,,
4303,BA,152.40,5172322,2024-11-27T21:02:51Z,False,655777.20,,152.50,152.22,extended_hours_trade,L,5,5,57771602492062,,,
1794,BA,152.40,5167824,2024-11-27T21:02:44Z,False,273405.60,prior_reference_price,152.50,152.22,extended_hours_trade,L,5,5,57764816225551,,,
899,BA,152.40,5164334,2024-11-27T21:01:08Z,False,137007.60,prior_reference_price,152.99,152.22,extended_hours_trade,L,3,5,57668715977547,,,
1440,BA,152.40,5163434,2024-11-27T21:00:49Z,False,219456.00,prior_reference_price,152.99,152.22,extended_hours_trade,L,3,5,57649146467705,,,
1216,BA,152.40,5160739,2024-11-27T21:00:29Z,False,185318.40,prior_reference_price,152.99,152.22,extended_hours_trade,L,3,5,57629908529688,,,
956,BA,152.40,5159523,2024-11-27T21:00:27Z,False,145694.40,prior_reference_price,152.99,152.22,extended_hours_trade,L,3,5,57627025588683,,,
732,BA,152.40,5158542,2024-11-27T21:00:25Z,False,111556.80,prior_reference_price,152.99,152.22,extended_hours_trade,L,3,5,57625773446718,,,
9000,BA,152.40,5157666,2024-11-27T21:00:22Z,False,1371600.00,prior_reference_price,152.99,152.22,extended_hours_trade,L,3,5,57622282936940,,,
21386,BA,152.40,5148109,2024-11-27T21:00:21Z,False,3259226.40,prior_reference_price,152.99,152.22,extended_hours_trade,L,3,5,57621954488229,,,
774,BA,152.40,5126422,2024-11-27T21:00:21Z,False,117957.60,prior_reference_price,152.99,152.22,extended_hours_trade,L,3,5,57621940666817,,,
900,BA,152.40,5125187,2024-11-27T21:00:21Z,False,137160.00,prior_reference_price,152.99,152.22,extended_hours_trade,L,3,5,57621150601711,,,
1879,BA,152.40,5122022,2024-11-27T21:00:05Z,False,286359.60,,153,152.22,extended_hours_trade,L,140,5,57605641252452,,,
1116,BA,152.40,5120143,2024-11-27T21:00:05Z,False,170078.40,,153,152.22,extended_hours_trade,L,140,5,57605588942083,,,
2120,BA,152.40,5118727,2024-11-27T21:00:05Z,False,323088.00,,153,152.22,extended_hours_trade,L,140,5,57605587743653,,,
7537,BA,152.40,5116527,2024-11-27T21:00:05Z,False,1148638.80,,153,152.22,extended_hours_trade,L,140,5,57605585775191,,,
4300,BA,152.40,5108498,2024-11-27T21:00:02Z,False,655320.00,,153,152.22,extended_hours_trade,L,140,5,57602419375767,,,
932,BA,152.46,4597252,2024-11-27T20:58:49Z,False,142092.72,,152.51,152.50,,L,4,200,57529186547549,,,
2841,BA,152.46,4600093,2024-11-27T20:58:49Z,False,433138.86,,152.51,152.50,,L,4,200,57529186898765,,,
750,BA,152.48,4563094,2024-11-27T20:58:04Z,False,114360.00,,152.49,152.48,,L,188,51,57484412570199,,,
1000,BA,152.5199,4534384,2024-11-27T20:57:22Z,False,152519.9000,,152.51,152.49,,L,18,148,57442933132106,,,
1851,BA,152.4798,4524602,2024-11-27T20:57:10Z,False,282240.1098,,152.49,152.47,,L,165,13,57430730858141,,,
1961,BA,152.43,4514473,2024-11-27T20:56:53Z,False,298915.23,,152.46,152.41,,L,9,84,57413935691006,,,
1000,BA,152.54,4494864,2024-11-27T20:56:41Z,False,152540.00,,152.56,152.54,,L,528,68,57401018136748,,,
2000,BA,152.535,4471781,2024-11-27T20:55:52Z,False,305070.000,,152.55,152.52,,L,206,52,57352004306785,,,
1150,BA,152.52,4453325,2024-11-27T20:55:19Z,False,175398.00,,152.53,152.51,,L,100,13,57319509131727,,,
810,BA,152.505,4421505,2024-11-27T20:54:24Z,False,123529.050,,152.53,152.50,,L,341,5,57264628490461,,,
714,BA,152.46,4417196,2024-11-27T20:54:10Z,False,108856.44,,152.53,152.50,,L,382,262,57250870475496,,,
