size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
4525,BA,184.80,6898853,2025-02-06T22:04:25Z,False,836220.00,prior_reference_price,184.77,184.90,extended_hours_trade,L,500,8,61465309995075,,,
2065,BA,184.80,6894328,2025-02-06T22:04:25Z,False,381612.00,prior_reference_price,184.77,184.90,extended_hours_trade,L,500,8,61465303603829,,,
1000,BA,184.55,6891277,2025-02-06T21:40:41Z,False,184550.00,,184.45,184.95,extended_hours_trade,L,10,10,60041012863700,,,
1974,BA,184.80,6884392,2025-02-06T21:05:32Z,False,364795.20,average_price_trade,184.45,184.89,extended_hours_trade,L,3,10,57932177996670,,,
660,BA,184.80,6881145,2025-02-06T21:02:54Z,False,121968.00,prior_reference_price,184.30,184.88,extended_hours_trade,L,3,10,57774681709509,,,
932,BA,184.80,6880214,2025-02-06T21:02:46Z,False,172233.60,,184.30,184.88,extended_hours_trade,L,3,10,57766111062040,,seller,
5732,BA,184.80,6878923,2025-02-06T21:00:54Z,False,1059273.60,prior_reference_price,184.50,184.88,extended_hours_trade,L,3,20,57654993178382,,,
8840,BA,184.80,6873191,2025-02-06T21:00:54Z,False,1633632.00,prior_reference_price,184.50,184.88,extended_hours_trade,L,3,20,57654956209375,,,
816,BA,184.80,6864275,2025-02-06T21:00:44Z,False,150796.80,prior_reference_price,184.50,184.88,extended_hours_trade,L,3,20,57644572631648,,,
576,BA,184.80,6863459,2025-02-06T21:00:44Z,False,106444.80,prior_reference_price,184.50,184.88,extended_hours_trade,L,3,20,57644545884271,,,
1516,BA,184.80,6862221,2025-02-06T21:00:44Z,False,280156.80,prior_reference_price,184.50,184.88,extended_hours_trade,L,3,20,57644504114674,,,
3072,BA,184.80,6860685,2025-02-06T21:00:32Z,False,567705.60,prior_reference_price,184.50,184.88,extended_hours_trade,L,3,20,57632149763662,,,
710,BA,184.80,6857613,2025-02-06T21:00:29Z,False,131208.00,prior_reference_price,184.50,184.88,extended_hours_trade,L,3,20,57629282296740,,,
