size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
22702,BBWI,30.78,4110940,2025-07-16T20:47:56Z,False,698767.56,prior_reference_price,30.70,31.44,extended_hours_trade,L,31,5600,60476263630336,,regular,
3676,BBWI,30.78,4088143,2025-07-16T20:11:05Z,False,113147.28,prior_reference_price,30.70,31.44,extended_hours_trade,L,31,5600,58265412427079,,regular,
196000,BBWI,30.78,4074996,2025-07-16T20:00:43Z,False,6032880.00,prior_reference_price,30.70,33.45,extended_hours_trade,L,165,5600,57643385749176,,regular,
31000,BBWI,30.78,3872500,2025-07-16T20:00:15Z,False,954180.00,prior_reference_price,30.70,33.45,extended_hours_trade,L,165,5600,57615875598095,,regular,
4038,BBWI,30.83,3152956,2025-07-16T19:57:24Z,False,124491.54,,30.82,30.83,,L,612,21,57444747012948,,regular,
3429,BBWI,30.91,2344753,2025-07-16T18:43:57Z,False,105990.39,,30.87,30.91,,L,305,325,53037967364863,,regular,
3705,BBWI,30.89,2324037,2025-07-16T18:42:26Z,False,114447.45,,30.87,30.89,,L,792,554,52946984427279,,regular,
7500,BBWI,30.525,1736085,2025-07-16T16:32:21Z,False,228937.500,,30.51,30.54,,L,654,152,45141840478235,,regular,
7600,BBWI,30.525,1727940,2025-07-16T16:32:21Z,False,231990.000,,30.51,30.54,,L,654,152,45141838779267,,regular,
7300,BBWI,30.525,1720140,2025-07-16T16:32:21Z,False,222832.500,,30.51,30.54,,L,654,152,45141837307150,,regular,
16500,BBWI,30.455,1688523,2025-07-16T16:27:08Z,False,502507.500,,30.44,30.46,,L,84,144,44828217750590,,regular,
19500,BBWI,30.315,1492503,2025-07-16T15:50:49Z,False,591142.500,,30.31,30.32,,L,1,116,42649605308300,,regular,
3952,BBWI,30.49,1273871,2025-07-16T15:19:25Z,False,120496.48,,30.48,30.50,,L,200,100,40765301988657,,regular,
11900,BBWI,30.57,1222853,2025-07-16T15:16:14Z,False,363783.00,,30.55,30.57,,L,200,100,40574775253962,,regular,
45600,BBWI,30.595,1207706,2025-07-16T15:16:09Z,False,1395132.000,,30.61,30.64,,L,100,100,40569725088634,,regular,
98300,BBWI,30.54,1064452,2025-07-16T15:11:49Z,False,3002082.00,,30.53,30.55,,L,667,300,40309754722819,,regular,
11700,BBWI,30.56,962237,2025-07-16T15:11:19Z,False,357552.00,,30.56,30.57,,L,102,7,40279406667839,,regular,
6889,BBWI,30.84,626093,2025-07-16T14:25:59Z,False,212456.76,,30.81,30.84,,L,100,650,37559856385958,,regular,
3400,BBWI,30.825,431021,2025-07-16T14:03:18Z,False,104805.000,,30.81,30.84,,L,5,350,36198723218100,,regular,
13310,BBWI,30.89,418108,2025-07-16T14:02:14Z,False,411145.90,,30.88,30.91,,L,174,308,36134527358050,,regular,
29100,BBWI,30.85,322655,2025-07-16T13:59:57Z,False,897735.00,,30.84,30.86,,L,100,100,35997919181641,,regular,
7000,BBWI,30.85,290877,2025-07-16T13:59:46Z,False,215950.00,,30.85,30.88,,L,224,158,35986393528521,,regular,
5000,BBWI,30.865,283777,2025-07-16T13:59:46Z,False,154325.000,,30.85,30.88,,L,224,158,35986026806963,,regular,
