size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
962,BDC,114.65,619019,2026-05-06T20:00:42Z,False,110293.30,prior_reference_price,106.2,0,extended_hours_trade,L,0,30,29416303052653,,regular,2026-05-06T20:00:42Z
1693,BDC,114.65,617888,2026-05-06T20:00:42Z,False,194102.45,prior_reference_price,106.2,0,extended_hours_trade,L,0,30,29416303052640,,regular,2026-05-06T20:00:42Z
2304,BDC,114.65,615940,2026-05-06T20:00:42Z,False,264153.60,prior_reference_price,106.2,0,extended_hours_trade,L,0,30,29416303052636,,regular,2026-05-06T20:00:42Z
8800,BDC,114.65,611953,2026-05-06T20:00:41Z,False,1008920.00,prior_reference_price,106.2,0,extended_hours_trade,L,0,30,29416303051652,,regular,2026-05-06T20:00:41Z
1889,BDC,113.68,407061,2026-05-06T19:49:26Z,False,214741.52,,113.68,113.79,,L,7,100,29416302377129,,regular,2026-05-06T19:49:26Z
1648,BDC,114.7,360602,2026-05-06T19:26:01Z,False,189025.6,,114.66,114.76,,L,193,30,29416300972040,,regular,2026-05-06T19:26:01Z
1000,BDC,114.7,322355,2026-05-06T18:58:01Z,False,114700.0,,114.64,114.78,,L,107,20,29416299291367,,regular,2026-05-06T18:58:01Z
1176,BDC,114.87,302423,2026-05-06T18:35:53Z,False,135087.12,,114.91,115.04,,L,200,1,29416297963544,,regular,2026-05-06T18:35:53Z
1235,BDC,114.9,298378,2026-05-06T18:30:59Z,False,141901.5,,114.77,115.04,,L,220,27,29416297669904,,regular,2026-05-06T18:30:59Z
22103,BDC,114.7,285537,2026-05-06T18:19:52Z,False,2535214.1,,114.62,114.78,,L,106,58,29416297002933,,regular,2026-05-06T18:19:52Z
1492,BDC,114.25,231880,2026-05-06T17:17:28Z,False,170461.00,,114.25,114.53,,L,25,252,29416293258369,,regular,2026-05-06T17:17:28Z
3164,BDC,114.5601,162407,2026-05-06T15:23:58Z,False,362468.1564,,114.56,114.99,,L,26,59,29416286448543,,regular,2026-05-06T15:23:58Z
3400,BDC,114.495,157313,2026-05-06T15:23:28Z,False,389283.000,,114.35,114.64,,L,33,6,29416286419021,,regular,2026-05-06T15:23:28Z
2329,BDC,115.11,118321,2026-05-06T14:50:00Z,False,268091.19,,115.11,115.29,,L,129,65,29416284410890,,regular,2026-05-06T14:50:00Z
1000,BDC,115.04,111303,2026-05-06T14:47:22Z,False,115040.00,,114.9,115.19,,L,410,55,29416284252640,,regular,2026-05-06T14:47:22Z
883,BDC,114.545,98293,2026-05-06T14:38:54Z,False,101143.235,,114.39,114.72,,L,200,19,29416283745148,,regular,2026-05-06T14:38:54Z
10254,BDC,114.56,93744,2026-05-06T14:34:00Z,False,1174698.24,,114.39,114.93,,L,22,267,29416283451048,,regular,2026-05-06T14:34:00Z
1541,BDC,114.33,82643,2026-05-06T14:33:46Z,False,176182.53,,114.39,114.93,,L,22,249,29416283437280,,regular,2026-05-06T14:33:46Z
1050,BDC,114.675,61913,2026-05-06T14:02:27Z,False,120408.750,,114.5,114.99,,L,10,8,29416281557429,,regular,2026-05-06T14:02:27Z
3383,BDC,115,52325,2026-05-06T13:52:59Z,False,389045,,115.16,115.64,,L,300,17,29416280989406,,regular,2026-05-06T13:52:59Z
1000,BDC,115.16,46447,2026-05-06T13:49:36Z,False,115160.00,,115.16,115.5,,L,100,9,29416280786639,,regular,2026-05-06T13:49:36Z
5480,BDC,115.35,27346,2026-05-06T13:38:27Z,False,632118.00,,115.29,116.6,,L,79,1,29416280118292,,regular,2026-05-06T13:38:27Z
2998,BDC,115.895,19921,2026-05-06T13:38:01Z,False,347453.210,,115.29,116.6,,L,79,201,29416280092089,,regular,2026-05-06T13:38:01Z
