size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
14800,BEKE,17.76,9461849,2025-07-01T20:09:03Z,False,262848.00,prior_reference_price,17.71,17.95,extended_hours_trade,L,20,1000,58143657161805,,regular,
44600,BEKE,17.76,9447049,2025-07-01T20:08:57Z,False,792096.00,prior_reference_price,17.71,17.95,extended_hours_trade,L,20,1000,58137283869613,,regular,
44600,BEKE,17.76,9402449,2025-07-01T20:08:47Z,False,792096.00,prior_reference_price,17.71,17.95,extended_hours_trade,L,20,1000,58127547158971,,regular,
44600,BEKE,17.76,9357849,2025-07-01T20:08:36Z,False,792096.00,prior_reference_price,17.71,17.95,extended_hours_trade,L,20,1000,58116284924051,,regular,
50000,BEKE,17.76,9311985,2025-07-01T20:00:57Z,False,888000.00,prior_reference_price,17.71,17.95,extended_hours_trade,L,20,1000,57657851907233,,regular,
7674,BEKE,17.76,9261985,2025-07-01T20:00:38Z,False,136290.24,prior_reference_price,17.71,17.95,extended_hours_trade,L,20,1000,57638776620057,,regular,
5995,BEKE,17.76,9245546,2025-07-01T20:00:38Z,False,106471.20,prior_reference_price,17.71,17.95,extended_hours_trade,L,20,1000,57638735857904,,regular,
21700,BEKE,17.74,7261306,2025-07-01T18:12:36Z,False,384958.00,,17.73,17.74,,L,425,1700,51156351849911,,regular,
21700,BEKE,17.74,7208475,2025-07-01T18:12:35Z,False,384958.00,,17.73,17.74,,L,1267,1700,51155608016293,,regular,
12800,BEKE,17.74,7137693,2025-07-01T18:08:23Z,False,227072.00,,17.73,17.74,,L,98,1339,50903882142582,,regular,
150000,BEKE,17.73,7009448,2025-07-01T17:37:30Z,False,2659500.00,,17.73,17.74,,L,1401,200,49050928716592,,regular,
12000,BEKE,17.74,6848684,2025-07-01T17:34:52Z,False,212880.00,,17.73,17.75,,L,1610,1000,48892221471174,,regular,
11500,BEKE,17.70,6732678,2025-07-01T17:13:50Z,False,203550.00,,17.70,17.71,,L,112,600,47630378408149,,regular,
13500,BEKE,17.74,6656250,2025-07-01T17:07:46Z,False,239490.00,,17.73,17.75,,L,1500,621,47266070889558,,regular,
9700,BEKE,17.7702,6470701,2025-07-01T16:31:11Z,False,172370.9400,,17.77,17.78,,L,400,1000,45071705537104,,regular,
8998,BEKE,17.755,6430484,2025-07-01T16:26:32Z,False,159759.490,,17.75,17.76,,L,412,327,44792850077034,,regular,
20000,BEKE,17.75,6363286,2025-07-01T16:23:53Z,False,355000.00,,17.75,17.76,,L,1282,500,44633155997671,,regular,
200000,BEKE,17.74,6320130,2025-07-01T16:23:53Z,False,3548000.00,,17.74,17.75,,L,460,900,44633108820397,,regular,
8300,BEKE,17.75,6034021,2025-07-01T16:15:41Z,False,147325.00,,17.76,17.77,,L,110,500,44141092360472,,regular,
19700,BEKE,17.77,5914727,2025-07-01T16:03:08Z,False,350069.00,,17.77,17.78,,L,900,1200,43388966280811,,regular,
19700,BEKE,17.77,5820209,2025-07-01T16:01:02Z,False,350069.00,,17.76,17.77,,L,577,800,43262067163940,,regular,
17676,BEKE,17.74,5712248,2025-07-01T15:56:51Z,False,313572.24,,17.74,17.75,,L,1500,414,43011175708054,,regular,
250000,BEKE,17.72,5675290,2025-07-01T15:56:49Z,False,4430000.00,,17.72,17.73,,L,300,500,43009224183206,,regular,
17087,BEKE,17.71,5381336,2025-07-01T15:55:16Z,False,302610.77,,17.70,17.71,,L,1015,600,42916603948264,,regular,
19600,BEKE,17.71,5333475,2025-07-01T15:55:16Z,False,347116.00,,17.70,17.71,,L,300,700,42916506527708,,regular,
19600,BEKE,17.71,5303920,2025-07-01T15:55:15Z,False,347116.00,,17.70,17.71,,L,943,900,42915994324413,,regular,
12509,BEKE,17.70,5240365,2025-07-01T15:53:34Z,False,221409.30,,17.70,17.71,,L,762,800,42814528671529,,regular,
19500,BEKE,17.70,5158403,2025-07-01T15:53:13Z,False,345150.00,,17.69,17.70,,L,400,800,42793137503758,,regular,
22100,BEKE,17.695,5125129,2025-07-01T15:52:16Z,False,391059.500,,17.69,17.71,,L,800,800,42736290814659,,regular,
12800,BEKE,17.70,5078403,2025-07-01T15:52:03Z,False,226560.00,,17.69,17.70,,L,1030,700,42723348943518,,regular,
13208,BEKE,17.68,5039591,2025-07-01T15:48:00Z,False,233517.44,,17.68,17.69,,L,200,527,42480687324425,,regular,
12900,BEKE,17.69,4996335,2025-07-01T15:47:01Z,False,228201.00,,17.69,17.70,,L,198,400,42421949576006,,regular,
9800,BEKE,17.715,4855882,2025-07-01T15:44:37Z,False,173607.000,,17.71,17.72,,L,717,200,42277106562814,,regular,
250000,BEKE,17.71,4747365,2025-07-01T15:42:01Z,False,4427500.00,,17.72,17.73,,L,200,800,42121529058233,,regular,
14104,BEKE,17.68,4486252,2025-07-01T15:41:06Z,False,249358.72,,17.68,17.69,,L,1123,1027,42066794938878,,regular,
6634,BEKE,17.66,4392986,2025-07-01T15:34:12Z,False,117156.44,,17.65,17.66,,L,2734,400,41652563007354,,regular,
9200,BEKE,17.64,4255052,2025-07-01T15:33:16Z,False,162288.00,,17.63,17.64,,L,17529,500,41596271769492,,regular,
7400,BEKE,17.64,4245535,2025-07-01T15:33:16Z,False,130536.00,,17.63,17.64,,L,17529,500,41596266007512,,regular,
8990,BEKE,17.64,4181964,2025-07-01T15:33:15Z,False,158583.60,,17.63,17.64,,L,17829,800,41595929202285,,regular,
14200,BEKE,17.61,4007805,2025-07-01T15:18:12Z,False,250062.00,,17.60,17.61,,L,774,1496,40692875651934,,regular,
10368,BEKE,17.605,3990351,2025-07-01T15:18:11Z,False,182528.640,,17.60,17.61,,L,674,1496,40691219542721,,regular,
19000,BEKE,17.61,3947135,2025-07-01T15:18:07Z,False,334590.00,,17.60,17.61,,L,105,1623,40687996734828,,regular,
19000,BEKE,17.61,3906167,2025-07-01T15:17:43Z,False,334590.00,,17.60,17.61,,L,890,998,40663350725503,,regular,
19000,BEKE,17.61,3876222,2025-07-01T15:17:25Z,False,334590.00,,17.60,17.61,,L,522,398,40645697338709,,regular,
11100,BEKE,17.605,3803325,2025-07-01T15:13:48Z,False,195415.500,,17.60,17.61,,L,340,600,40428190564145,,regular,
6700,BEKE,17.605,3686975,2025-07-01T15:03:10Z,False,117953.500,,17.60,17.61,,L,417,500,39790038622832,,regular,
15700,BEKE,17.575,3598807,2025-07-01T14:56:27Z,False,275927.500,,17.57,17.58,,L,200,800,39387293079593,,regular,
250000,BEKE,17.61,3438446,2025-07-01T14:46:05Z,False,4402500.00,,17.61,17.62,,L,400,864,38765965579597,,regular,
10400,BEKE,17.635,3053576,2025-07-01T14:31:34Z,False,183404.000,,17.63,17.64,,L,300,299,37894130790719,,regular,
8449,BEKE,17.58,2987209,2025-07-01T14:29:56Z,False,148533.42,,17.58,17.59,,L,313,900,37796256060361,,regular,
18500,BEKE,17.58,3009409,2025-07-01T14:29:56Z,False,325230.00,,17.58,17.59,,L,313,900,37796256517479,,regular,
12710,BEKE,17.60,2829484,2025-07-01T14:19:35Z,False,223696.00,,17.60,17.61,,L,400,210,37175734904976,,regular,
844507,BEKE,17.52,2487404,2025-07-01T14:13:29Z,False,14795762.64,,17.51,17.52,,L,725,1400,36809562797291,,regular,
8123,BEKE,17.5325,1295669,2025-07-01T14:09:57Z,False,142416.4975,,17.53,17.54,,L,605,292,36597364630715,,regular,
10000,BEKE,17.52,1220212,2025-07-01T14:07:30Z,False,175200.00,,17.52,17.53,,L,110,901,36450251596254,,regular,
16049,BEKE,17.48,1093276,2025-07-01T14:00:50Z,False,280536.52,,17.47,17.48,,L,300,592,36050441684142,,regular,
10393,BEKE,17.48,1103769,2025-07-01T14:00:50Z,False,181669.64,,17.47,17.48,,L,300,592,36050442038897,,regular,
50000,BEKE,17.665,509626,2025-07-01T13:45:38Z,False,883250.000,,17.66,17.67,,L,994,202,35138664348344,,regular,
100000,BEKE,17.70,394715,2025-07-01T13:44:24Z,False,1770000.00,,17.70,17.71,,L,166,402,35064878200124,,regular,
7567,BEKE,17.74,9497,2025-07-01T12:13:26Z,False,134238.58,average_price_trade,17.67,17.79,extended_hours_trade,L,120,1,29606479957582,,regular,
