size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
4000,BG,81.94,1066866,2025-09-11T20:02:47Z,False,327760.00,prior_reference_price,83.58,78.98,extended_hours_trade,L,11,200,0,,regular,
1856,BG,81.94,1062693,2025-09-11T20:01:30Z,False,152080.64,prior_reference_price,84,78.98,extended_hours_trade,L,25,200,0,,regular,
4176,BG,81.94,1055654,2025-09-11T20:00:39Z,False,342181.44,prior_reference_price,84,78.98,extended_hours_trade,L,25,200,0,,regular,
2300,BG,81.94,1050788,2025-09-11T20:00:39Z,False,188462.00,prior_reference_price,84,78.98,extended_hours_trade,L,25,200,0,,regular,
1580,BG,81.94,1046961,2025-09-11T20:00:08Z,False,129465.20,,81.96,81.89,extended_hours_trade,L,219,122,0,,regular,
1719,BG,81.94,1041351,2025-09-11T20:00:07Z,False,140854.86,,81.96,81.89,extended_hours_trade,L,219,122,0,,regular,
1800,BG,81.94,1039632,2025-09-11T20:00:07Z,False,147492.00,,81.96,81.89,extended_hours_trade,L,219,122,0,,regular,
9011,BG,81.94,1037732,2025-09-11T20:00:03Z,False,738361.34,,81.96,81.89,extended_hours_trade,L,219,122,0,,regular,
3275,BG,81.94,1028718,2025-09-11T20:00:02Z,False,268353.50,,81.96,81.89,extended_hours_trade,L,219,122,0,,regular,
1900,BG,81.875,668537,2025-09-11T19:54:02Z,False,155562.500,average_price_trade,82.04,81.97,,L,190,1,0,derivative_priced,regular,
3284,BG,81.78,594544,2025-09-11T19:41:43Z,False,268565.52,,81.81,81.78,,L,274,11,0,,regular,
2000,BG,81.7092,278716,2025-09-11T16:05:44Z,False,163418.4000,,81.74,81.69,,L,122,2,0,,regular,
1551,BG,81.825,211034,2025-09-11T15:20:00Z,False,126910.575,,81.87,81.79,,L,32,4,0,,regular,
