size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
12163,BIDU,86.13,2614560,2025-08-01T20:32:14Z,False,1047599.19,prior_reference_price,86,86.27,extended_hours_trade,L,680,4,59534596191337,,regular,
1346,BIDU,86.13,2598932,2025-08-01T20:01:06Z,False,115930.98,prior_reference_price,86,86.27,extended_hours_trade,L,680,4,57666251376336,,regular,
12716,BIDU,86.13,2596889,2025-08-01T20:00:11Z,False,1095229.08,prior_reference_price,86.07,86.27,extended_hours_trade,L,680,75,57611856385604,,regular,
3324,BIDU,86.13,2584164,2025-08-01T20:00:01Z,False,286296.12,,86.07,86.27,extended_hours_trade,L,680,75,57601687350540,,regular,
3200,BIDU,86.14,2318856,2025-08-01T19:54:41Z,False,275648.00,,86.17,86.18,,L,20,450,57281539230819,,regular,
2816,BIDU,86.14,2315256,2025-08-01T19:54:41Z,False,242570.24,,86.17,86.18,,L,20,450,57281535682912,,regular,
1373,BIDU,86.144,2299686,2025-08-01T19:54:16Z,False,118275.712,,86.14,86.15,,L,35,50,57256421346652,,regular,
1900,BIDU,86.1134,2284032,2025-08-01T19:53:32Z,False,163615.4600,average_price_trade,86.15,86.16,,L,34,246,57212067203188,derivative_priced,regular,
1494,BIDU,86.045,2214653,2025-08-01T19:49:31Z,False,128551.230,,86.04,86.05,,L,150,589,56971583716404,,regular,
1327,BIDU,86.01,2212474,2025-08-01T19:49:23Z,False,114135.27,,86.02,86.03,,2,150,5,56963333202065,,regular,
1500,BIDU,86.08,2177203,2025-08-01T19:47:43Z,False,129120.00,,86.08,86.10,,L,150,50,56863726888335,,regular,
1900,BIDU,86.022,2101330,2025-08-01T19:43:08Z,False,163441.800,,86.02,86.03,,L,217,953,56588185229155,,regular,
1200,BIDU,86.025,2098644,2025-08-01T19:43:07Z,False,103230.000,,86.02,86.03,,L,217,653,56587813389802,,regular,
1200,BIDU,86.08,2041165,2025-08-01T19:35:05Z,False,103296.00,,86.07,86.09,,L,167,352,56105855688316,,regular,
1857,BIDU,86.0602,1981609,2025-08-01T19:23:07Z,False,159813.7914,,86.06,86.07,,L,231,610,55387727581162,,regular,
1166,BIDU,86.05,1943621,2025-08-01T19:11:36Z,False,100334.30,,86.02,86.04,,L,50,174,54696395389805,,regular,
2196,BIDU,86.0944,1849372,2025-08-01T18:54:53Z,False,189063.3024,,86.08,86.11,,L,302,112,53693758367607,,regular,
3200,BIDU,86.25,1807116,2025-08-01T18:40:16Z,False,276000.00,,86.23,86.25,,L,238,50,52816247758352,,regular,
1450,BIDU,86.04,1717196,2025-08-01T18:09:27Z,False,124758.00,,86.06,86.08,,L,200,280,50967303744367,,regular,
1400,BIDU,86.04,1714643,2025-08-01T18:09:27Z,False,120456.00,,86.06,86.08,,L,200,280,50967282876354,,regular,
2177,BIDU,86.01,1537624,2025-08-01T17:17:43Z,False,187243.77,,85.99,86.03,,L,78,200,47863244430123,,regular,
1200,BIDU,86.01,1538824,2025-08-01T17:17:43Z,False,103212.00,,85.99,86.03,,L,78,200,47863244640665,,regular,
2000,BIDU,86.0304,1506114,2025-08-01T17:06:06Z,False,172060.8000,,86.01,86.07,,L,150,700,47166269436213,,regular,
6000,BIDU,86.3099,1474430,2025-08-01T16:54:34Z,False,517859.4000,,86.26,86.31,,L,300,200,46474624497294,,regular,
1200,BIDU,86.37,1419844,2025-08-01T16:27:31Z,False,103644.00,,86.38,86.40,,L,200,50,44851754902712,,regular,
1500,BIDU,86.30,1407412,2025-08-01T16:21:17Z,False,129450.00,,86.28,86.29,,L,250,157,44477610557367,,regular,
2000,BIDU,86.3901,1322016,2025-08-01T16:02:33Z,False,172780.2000,,86.39,86.42,,L,200,346,43353109662496,,regular,
2000,BIDU,86.5102,1317409,2025-08-01T16:00:55Z,False,173020.4000,,86.47,86.52,,L,50,50,43255352487759,,regular,
2000,BIDU,86.5301,1301425,2025-08-01T15:55:04Z,False,173060.2000,,86.53,86.57,,L,100,250,42904595900672,,regular,
1300,BIDU,86.25,1235959,2025-08-01T15:41:57Z,False,112125.00,,86.23,86.25,,L,150,428,42117661110713,,regular,
