size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
47692,BIDU,88.08,3022859,2026-09-24T21:53:17Z,False,4200711.36,average_price_trade,88.29,88.08,extended_hours_trade,L,1885,61,34484371216691,,regular,2026-09-24T21:53:16Z
22368,BIDU,88.08,2974961,2026-09-24T21:35:59Z,False,1970173.44,prior_reference_price,88.29,88.01,extended_hours_trade,L,1885,1,34484370179125,,regular,2026-09-24T21:35:59Z
1349,BIDU,88.05,2949326,2026-09-24T20:02:37Z,False,118779.45,,88.39,88,extended_hours_trade,L,99,10,34484364576741,,regular,2026-09-24T20:02:37Z
5008,BIDU,88.08,2945459,2026-09-24T20:00:45Z,False,441104.64,prior_reference_price,88.39,88,extended_hours_trade,L,99,15,34484364464873,,regular,2026-09-24T20:00:45Z
1200,BIDU,88.08,2940451,2026-09-24T20:00:45Z,False,105696.00,prior_reference_price,88.39,88,extended_hours_trade,L,99,15,34484364464872,,regular,2026-09-24T20:00:45Z
2037,BIDU,88.08,2937052,2026-09-24T20:00:37Z,False,179418.96,prior_reference_price,88.39,88,extended_hours_trade,L,99,15,34484364457495,,regular,2026-09-24T20:00:37Z
2000,BIDU,88.31,2578370,2026-09-24T19:49:08Z,False,176620.00,,88.31,88.28,,L,200,200,34484363767794,,regular,2026-09-24T19:49:08Z
2000,BIDU,88.21,2499505,2026-09-24T19:40:22Z,False,176420.00,,88.22,88.18,,L,160,615,34484363241800,,regular,2026-09-24T19:40:22Z
2000,BIDU,88.21,2494085,2026-09-24T19:39:22Z,False,176420.00,,88.23,88.19,,L,133,500,34484363181777,,regular,2026-09-24T19:39:22Z
1564,BIDU,88.255,2457040,2026-09-24T19:31:37Z,False,138030.820,,88.27,88.23,,L,100,100,34484362716703,,regular,2026-09-24T19:31:37Z
4530,BIDU,88.135,2390065,2026-09-24T19:13:28Z,False,399251.550,,88.14,88.12,,L,1,273,34484361628475,,regular,2026-09-24T19:13:28Z
2269,BIDU,88.1,2384520,2026-09-24T19:13:16Z,False,199898.9,,88.12,88.07,,L,300,188,34484361616538,,regular,2026-09-24T19:13:16Z
1500,BIDU,88.01,2342333,2026-09-24T19:03:58Z,False,132015.00,,88.02,88,,L,133,2545,34484361058346,,regular,2026-09-24T19:03:58Z
1900,BIDU,88.12,2215279,2026-09-24T18:20:06Z,False,167428.00,,88.14,88.1,,L,100,100,34484358425795,,regular,2026-09-24T18:20:06Z
3900,BIDU,87.965,2191457,2026-09-24T18:12:49Z,False,343063.500,,87.98,87.94,,L,36,100,34484357988780,,regular,2026-09-24T18:12:49Z
1200,BIDU,87.8796,2166753,2026-09-24T18:04:15Z,False,105455.5200,,87.88,87.84,,L,135,34,34484357475019,,regular,2026-09-24T18:04:15Z
2000,BIDU,87.895,2112913,2026-09-24T17:47:33Z,False,175790.000,,87.91,87.88,,L,115,400,34484356473110,,regular,2026-09-24T17:47:33Z
1200,BIDU,87.915,2088409,2026-09-24T17:35:45Z,False,105498.000,,87.97,87.87,,L,385,19,34484355765462,,regular,2026-09-24T17:35:45Z
2498,BIDU,88,2079696,2026-09-24T17:33:10Z,False,219824,,88.01,87.94,,L,100,100,34484355610498,,regular,2026-09-24T17:33:10Z
1500,BIDU,88.1699,2007033,2026-09-24T17:05:18Z,False,132254.8500,,88.17,88.1,,L,28,200,34484353937685,,regular,2026-09-24T17:05:18Z
3000,BIDU,88.06,2004939,2026-09-24T17:04:58Z,False,264180.00,,88.17,88.04,,L,53,102,34484353917848,,regular,2026-09-24T17:04:58Z
4000,BIDU,88.13,1964246,2026-09-24T16:57:32Z,False,352520.00,,88.22,88.12,,L,100,304,34484353471966,,regular,2026-09-24T16:57:32Z
1600,BIDU,87.99,1804634,2026-09-24T16:22:50Z,False,140784.00,,88.01,87.97,,L,224,105,34484351389657,,regular,2026-09-24T16:22:50Z
3876,BIDU,88.1801,1770818,2026-09-24T16:18:44Z,False,341786.0676,,88.29,88.17,,L,200,100,34484351144140,,regular,2026-09-24T16:18:44Z
1560,BIDU,88.215,1756423,2026-09-24T16:17:57Z,False,137615.400,,88.26,88.16,,L,33,100,34484351097305,,regular,2026-09-24T16:17:57Z
1200,BIDU,88.03,1741636,2026-09-24T16:16:28Z,False,105636.00,,88.17,88,,L,200,300,34484351007919,,regular,2026-09-24T16:16:28Z
1800,BIDU,88,1740435,2026-09-24T16:16:27Z,False,158400,,88.17,88,,L,200,637,34484351007196,,regular,2026-09-24T16:16:27Z
1332,BIDU,87.47,1707069,2026-09-24T16:11:20Z,False,116510.04,,87.51,87.43,,L,17,300,34484350699751,,regular,2026-09-24T16:11:20Z
9800,BIDU,87.3101,1629704,2026-09-24T15:53:11Z,False,855638.9800,,87.33,87.31,,L,100,251,34484349610632,,regular,2026-09-24T15:53:11Z
1600,BIDU,87.3499,1607985,2026-09-24T15:51:38Z,False,139759.8400,,87.35,87.31,,L,214,206,34484349518074,,regular,2026-09-24T15:51:38Z
2150,BIDU,87.3499,1606385,2026-09-24T15:51:38Z,False,187802.2850,,87.35,87.31,,L,214,206,34484349518073,,regular,2026-09-24T15:51:38Z
2150,BIDU,87.35,1604135,2026-09-24T15:51:38Z,False,187802.50,,87.35,87.31,,L,214,206,34484349518071,,regular,2026-09-24T15:51:38Z
4788,BIDU,87.29,1568839,2026-09-24T15:42:58Z,False,417944.52,,87.29,87.25,,L,63,1,34484348998426,,regular,2026-09-24T15:42:58Z
2000,BIDU,87.1406,1536110,2026-09-24T15:36:38Z,False,174281.2000,,87.18,87.14,,L,60,100,34484348617789,,regular,2026-09-24T15:36:38Z
2019,BIDU,87.14,1511010,2026-09-24T15:34:19Z,False,175935.66,,87.16,87.12,,L,3,200,34484348478708,,regular,2026-09-24T15:34:19Z
5000,BIDU,87.15,1505672,2026-09-24T15:33:08Z,False,435750.00,,87.18,87.13,,L,11,40,34484348407614,,regular,2026-09-24T15:33:08Z
5000,BIDU,87.071,1461704,2026-09-24T15:30:05Z,False,435355.000,,87.14,87.07,,L,100,233,34484348224643,,regular,2026-09-24T15:30:05Z
1383,BIDU,87.0352,1452239,2026-09-24T15:28:32Z,False,120369.6816,,87.09,87.03,,L,106,444,34484348132399,,regular,2026-09-24T15:28:32Z
1500,BIDU,87.1801,1438380,2026-09-24T15:25:20Z,False,130770.1500,,87.21,87.18,,L,200,100,34484347939703,,regular,2026-09-24T15:25:20Z
3489,BIDU,87.0499,1406682,2026-09-24T15:23:47Z,False,303717.1011,,87.05,86.97,,L,60,200,34484347847216,,regular,2026-09-24T15:23:47Z
1220,BIDU,86.975,1388640,2026-09-24T15:22:17Z,False,106109.500,,86.99,86.96,,L,3730,238,34484347757111,,regular,2026-09-24T15:22:17Z
1600,BIDU,86.908,1369484,2026-09-24T15:20:47Z,False,139052.800,,86.91,86.89,,L,200,101,34484347666646,,regular,2026-09-24T15:20:47Z
5984,BIDU,87.05,1342197,2026-09-24T15:18:12Z,False,520907.20,,87.05,87.01,,L,550,57,34484347512022,,regular,2026-09-24T15:18:12Z
13793,BIDU,87,1336044,2026-09-24T15:18:12Z,False,1199991,,87.05,87.01,,L,550,57,34484347512012,,regular,2026-09-24T15:18:12Z
2350,BIDU,86.94,1309274,2026-09-24T15:18:07Z,False,204309.00,,86.96,86.93,,L,523,57,34484347507100,,regular,2026-09-24T15:18:07Z
4492,BIDU,86.98,1296680,2026-09-24T15:16:59Z,False,390714.16,,86.99,86.96,,L,300,54,34484347439308,,regular,2026-09-24T15:16:59Z
2000,BIDU,86.8099,1211979,2026-09-24T15:14:17Z,False,173619.8000,,86.82,86.79,,L,20,500,34484347276747,,regular,2026-09-24T15:14:17Z
2000,BIDU,86.77,1205209,2026-09-24T15:14:15Z,False,173540.00,,86.8,86.7,,L,300,50,34484347275551,,regular,2026-09-24T15:14:15Z
2000,BIDU,86.74,1202992,2026-09-24T15:14:15Z,False,173480.00,,86.8,86.7,,L,300,50,34484347275316,,regular,2026-09-24T15:14:15Z
4417,BIDU,86.718,1196547,2026-09-24T15:14:11Z,False,383033.406,,86.73,86.7,,L,8,50,34484347270895,,regular,2026-09-24T15:14:11Z
1600,BIDU,86.718,1190954,2026-09-24T15:14:11Z,False,138748.800,,86.73,86.7,,L,8,50,34484347270889,,regular,2026-09-24T15:14:11Z
2000,BIDU,86.7106,1134198,2026-09-24T15:02:34Z,False,173421.2000,,86.73,86.71,,L,92,212,34484346574298,,regular,2026-09-24T15:02:34Z
1500,BIDU,86.7751,1127060,2026-09-24T15:01:58Z,False,130162.6500,,86.78,86.74,,L,180,1,34484346537749,,regular,2026-09-24T15:01:58Z
1383,BIDU,86.73,1124404,2026-09-24T15:01:50Z,False,119947.59,,86.75,86.74,,L,300,1,34484346530150,,regular,2026-09-24T15:01:50Z
4000,BIDU,86.81,1118278,2026-09-24T15:01:13Z,False,347240.00,,86.83,86.81,,L,103,800,34484346493273,,regular,2026-09-24T15:01:13Z
1642,BIDU,86.79,1063260,2026-09-24T14:57:43Z,False,142509.18,,86.81,86.78,,L,240,20,34484346282973,,regular,2026-09-24T14:57:43Z
2100,BIDU,86.85,1037767,2026-09-24T14:53:21Z,False,182385.00,,86.86,86.84,,L,100,20,34484346021407,,regular,2026-09-24T14:53:21Z
1800,BIDU,86.95,1008961,2026-09-24T14:50:04Z,False,156510.00,,87.06,86.98,,L,200,100,34484345823962,,regular,2026-09-24T14:50:04Z
5000,BIDU,86.96,956374,2026-09-24T14:45:13Z,False,434800.00,,86.98,86.96,,L,267,11,34484345532827,,regular,2026-09-24T14:45:13Z
1400,BIDU,87.002,932653,2026-09-24T14:43:34Z,False,121802.800,,87.02,87,,L,100,1071,34484345433872,,regular,2026-09-24T14:43:34Z
2180,BIDU,87.13,891858,2026-09-24T14:40:50Z,False,189943.40,,87.13,87.08,,L,5,3438,34484345270574,,regular,2026-09-24T14:40:50Z
1355,BIDU,87.19,856819,2026-09-24T14:37:34Z,False,118142.45,,87.19,87.18,,L,5,224,34484345074538,,regular,2026-09-24T14:37:34Z
4600,BIDU,87.135,816396,2026-09-24T14:34:21Z,False,400821.000,,87.16,87.12,,L,672,90,34484344881558,,regular,2026-09-24T14:34:21Z
1500,BIDU,87.19,751665,2026-09-24T14:24:23Z,False,130785.00,,87.23,87.16,,L,105,108,34484344282628,,regular,2026-09-24T14:24:23Z
3484,BIDU,87.18,743991,2026-09-24T14:23:42Z,False,303735.12,,87.23,87.15,,L,25,300,34484344242291,,regular,2026-09-24T14:23:42Z
1300,BIDU,87.24,739363,2026-09-24T14:23:32Z,False,113412.00,,87.24,87.15,,L,220,300,34484344232426,,regular,2026-09-24T14:23:32Z
2400,BIDU,87.24,738063,2026-09-24T14:23:32Z,False,209376.00,,87.24,87.15,,L,220,300,34484344232424,,regular,2026-09-24T14:23:32Z
1650,BIDU,87.14,698709,2026-09-24T14:17:09Z,False,143781.00,,87.17,87.11,,L,205,100,34484343848915,,regular,2026-09-24T14:17:09Z
1400,BIDU,87.2601,676272,2026-09-24T14:14:52Z,False,122164.1400,,87.32,87.26,,L,110,100,34484343711743,,regular,2026-09-24T14:14:52Z
2000,BIDU,87.29,647961,2026-09-24T14:11:44Z,False,174580.00,,87.3,87.28,,L,196,200,34484343523651,,regular,2026-09-24T14:11:43Z
1520,BIDU,87.3561,573645,2026-09-24T14:05:55Z,False,132781.2720,,87.36,87.31,,L,411,100,34484343175078,,regular,2026-09-24T14:05:55Z
3000,BIDU,87.57,557679,2026-09-24T14:02:41Z,False,262710.00,,87.56,87.48,,L,1,56,34484342980995,,regular,2026-09-24T14:02:41Z
1520,BIDU,87.45,546973,2026-09-24T14:01:40Z,False,132924.00,,87.47,87.43,,L,330,201,34484342919997,,regular,2026-09-24T14:01:40Z
2929,BIDU,87.3901,544342,2026-09-24T14:01:14Z,False,255965.6029,,87.48,87.39,,L,170,157,34484342894469,,regular,2026-09-24T14:01:14Z
1520,BIDU,87.38,534650,2026-09-24T13:59:48Z,False,132817.60,,87.39,87.37,,L,261,1,34484342808412,,regular,2026-09-24T13:59:48Z
1520,BIDU,87.445,513565,2026-09-24T13:57:45Z,False,132916.400,,87.48,87.43,,L,101,200,34484342684749,,regular,2026-09-24T13:57:45Z
1520,BIDU,87.37,500848,2026-09-24T13:56:35Z,False,132802.40,,87.39,87.35,,L,304,5,34484342615546,,regular,2026-09-24T13:56:35Z
