size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
12427,BIIB,117.21,1683511,2025-05-07T20:50:44Z,False,1456568.67,prior_reference_price,115.55,116.40,extended_hours_trade,L,296,48,60644367747262,,,
1572,BIIB,117.21,1669085,2025-05-07T20:09:48Z,False,184254.12,prior_reference_price,116.70,117.17,extended_hours_trade,L,296,1,58188671695836,,,
2115,BIIB,117.21,1667493,2025-05-07T20:02:54Z,False,247899.15,prior_reference_price,116.59,117.17,extended_hours_trade,L,296,1,57774347541972,,,
62100,BIIB,117.21,1665226,2025-05-07T20:02:49Z,False,7278741.00,prior_reference_price,116.59,117.17,extended_hours_trade,L,296,1,57769416156674,,,
969,BIIB,117.21,1601886,2025-05-07T20:02:40Z,False,113576.49,prior_reference_price,116.59,117.17,extended_hours_trade,L,296,1,57760851004370,,,
3105,BIIB,117.21,1599918,2025-05-07T20:02:28Z,False,363937.05,prior_reference_price,116.51,117.17,extended_hours_trade,L,296,1,57748605244236,,,
2580,BIIB,117.21,1594780,2025-05-07T20:01:27Z,False,302401.80,prior_reference_price,116.51,118.75,extended_hours_trade,L,1,1,57687012863167,,,
2028,BIIB,117.21,1590928,2025-05-07T20:00:29Z,False,237701.88,prior_reference_price,116.71,118.75,extended_hours_trade,L,1,1,57629056411002,,,
992,BIIB,117.21,1587861,2025-05-07T20:00:25Z,False,116272.32,prior_reference_price,116.71,118.75,extended_hours_trade,L,1,1,57625671701151,,,
4523,BIIB,117.21,1585264,2025-05-07T20:00:09Z,False,530140.83,,116.89,117.47,extended_hours_trade,L,1705,1705,57609350098150,,,
1522,BIIB,117.21,1580481,2025-05-07T20:00:01Z,False,178393.62,,116.89,117.47,extended_hours_trade,L,1705,1705,57601894707729,,,
2180,BIIB,117.21,1578359,2025-05-07T20:00:01Z,False,255517.80,,116.89,117.47,extended_hours_trade,L,1705,1705,57601823061037,,,
1488,BIIB,117.21,1573816,2025-05-07T20:00:01Z,False,174408.48,,116.89,117.47,extended_hours_trade,L,1705,1705,57601488957657,,,
894,BIIB,117.21,1570785,2025-05-07T20:00:00Z,False,104785.74,average_price_trade,116.89,117.47,extended_hours_trade,L,1705,1705,57600988915217,,,
2737,BIIB,117.21,1135479,2025-05-07T20:00:00Z,False,320803.77,,116.89,117.47,extended_hours_trade,L,1705,1705,57600940668715,,,
1591,BIIB,117.21,1137070,2025-05-07T20:00:00Z,False,186481.11,,116.89,117.47,extended_hours_trade,L,1705,1705,57600940737952,,,
1000,BIIB,117.23,1122925,2025-05-07T19:59:55Z,False,117230.00,,117.18,117.24,,L,157,200,57595034360428,,,
1067,BIIB,117.08,749753,2025-05-07T19:36:56Z,False,124924.36,,117.05,117.12,,L,123,1,56216326675072,,,
1035,BIIB,117.215,683963,2025-05-07T19:20:43Z,False,121317.525,,117.15,117.28,,L,140,100,55243316634370,,,
1147,BIIB,117.215,682928,2025-05-07T19:20:43Z,False,134445.605,,117.15,117.28,,L,140,100,55243287113292,,,
1237,BIIB,117.57,463944,2025-05-07T17:24:40Z,False,145434.09,,117.59,117.75,,L,28,16,48280689323113,,,
880,BIIB,117.6988,446131,2025-05-07T17:16:40Z,False,103574.9440,,117.70,117.82,,L,1,10,47800561503448,,,
1073,BIIB,117.8772,445104,2025-05-07T17:16:13Z,False,126482.2356,,117.70,117.82,,L,1,10,47773467948473,,,
1900,BIIB,117.50,415448,2025-05-07T16:52:41Z,False,223250.00,,117.33,117.39,,L,1,10,46361464506209,,,
1055,BIIB,117.33,407103,2025-05-07T16:52:07Z,False,123783.15,,117.29,117.38,,L,11,20,46327691471497,,,
1098,BIIB,117.2728,402429,2025-05-07T16:49:38Z,False,128765.5344,,117.30,117.36,,L,2,11,46178668291363,,,
962,BIIB,117.3213,398106,2025-05-07T16:45:42Z,False,112863.0906,,117.36,117.45,,L,10,20,45942949680405,,,
1013,BIIB,117.16,370752,2025-05-07T16:29:36Z,False,118683.08,,117.13,117.21,,L,1,1,44976390813778,,,
1100,BIIB,117.134,367203,2025-05-07T16:26:05Z,False,128847.400,,117.08,117.18,,L,132,20,44765366939991,,,
2200,BIIB,116.88,237711,2025-05-07T15:19:26Z,False,257136.00,,116.89,117.05,,L,11,60,40766489344806,,,
1597,BIIB,116.84,147129,2025-05-07T14:39:40Z,False,186593.48,,116.77,116.93,,L,25,6,38380350168093,,,
1000,BIIB,116.46,132151,2025-05-07T14:32:16Z,False,116460.00,,116.40,116.54,,L,38,10,37936143415823,,,
3286,BIIB,116.8723,105298,2025-05-07T14:09:51Z,False,384042.3778,,116.71,116.83,,L,2,1,36591257093409,,,
1900,BIIB,117.47,16517,2025-05-07T13:30:07Z,False,223193.00,,117.25,117.87,,L,20,1,34207674403035,,,
