size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
5561,BILL,47.72,2064494,2025-07-09T20:58:56Z,False,265370.92,,47.60,50.15,extended_hours_trade,L,100,20,61136809471820,,regular,
3839,BILL,47.72,2058933,2025-07-09T20:57:22Z,False,183197.08,,47.60,50.15,extended_hours_trade,L,100,20,61042024141219,,regular,
9400,BILL,48.22,2054762,2025-07-09T20:19:44Z,False,453268.00,,47.49,50.15,extended_hours_trade,L,100,10,58784336552548,,regular,
3658,BILL,47.72,2045297,2025-07-09T20:00:30Z,False,174559.76,prior_reference_price,47.49,50.15,extended_hours_trade,L,100,10,57630114506933,,regular,
3803,BILL,47.72,2038936,2025-07-09T20:00:23Z,False,181479.16,prior_reference_price,47.49,50.15,extended_hours_trade,L,100,10,57623594760151,,regular,
5448,BILL,47.72,2021914,2025-07-09T20:00:05Z,False,259978.56,,44,50.15,extended_hours_trade,L,100,1,57605564047591,,regular,
8222,BILL,47.72,2030136,2025-07-09T20:00:05Z,False,392353.84,,44,50.15,extended_hours_trade,L,100,1,57605564281720,,regular,
7825,BILL,47.80,1424250,2025-07-09T19:57:22Z,False,374035.00,,47.79,47.80,,L,143,281,57442931664364,,regular,
4450,BILL,47.7387,1280835,2025-07-09T19:50:04Z,False,212437.2150,,47.73,47.78,,L,326,378,57004337974597,,regular,
7831,BILL,47.8051,1195976,2025-07-09T19:37:12Z,False,374361.7381,,47.80,47.82,,L,14,543,56232928072887,,regular,
3780,BILL,48.02,336929,2025-07-09T14:58:17Z,False,181515.60,,47.97,48.02,,L,100,19,39497934536829,,regular,
2817,BILL,48.34,196482,2025-07-09T14:13:35Z,False,136173.78,,48.29,48.38,,L,5,100,36815157114594,,regular,
2817,BILL,48.39,187915,2025-07-09T14:10:55Z,False,136314.63,,48.35,48.47,,L,12,106,36655870564442,,regular,
2774,BILL,48.3899,182206,2025-07-09T14:10:29Z,False,134233.5826,,48.34,48.39,,L,7,104,36629759490483,,regular,
