size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
443,BIO,323,197793,2026-01-12T22:31:18Z,False,143089,prior_reference_price,318.33,327.75,extended_hours_trade,L,39,40,25207244138224,,regular,2026-01-12T22:31:18Z
389,BIO,323,197163,2026-01-12T21:00:33Z,False,125647,prior_reference_price,303.88,337.18,extended_hours_trade,L,40,40,25207238693254,,regular,2026-01-12T21:00:33Z
322,BIO,323,196410,2026-01-12T21:00:32Z,False,104006,prior_reference_price,303.88,337.18,extended_hours_trade,L,40,40,25207238693140,,regular,2026-01-12T21:00:32Z
811,BIO,323,195958,2026-01-12T21:00:32Z,False,261953,prior_reference_price,303.88,337.18,extended_hours_trade,L,40,40,25207238693132,,regular,2026-01-12T21:00:32Z
383,BIO,323.17,148044,2026-01-12T20:53:55Z,False,123774.11,,322.82,323.52,,L,44,428,25207238295403,,regular,2026-01-12T20:53:55Z
480,BIO,323.36,120101,2026-01-12T20:23:29Z,False,155212.80,,323.1,323.52,,L,162,2,25207236469327,,regular,2026-01-12T20:23:29Z
400,BIO,323.2,118688,2026-01-12T20:23:21Z,False,129280.0,,322.91,323.52,,L,162,17,25207236461501,,regular,2026-01-12T20:23:21Z
400,BIO,323.2,118243,2026-01-12T20:23:21Z,False,129280.0,,322.91,323.52,,L,162,17,25207236461490,,regular,2026-01-12T20:23:21Z
400,BIO,322.27,44617,2026-01-12T16:31:55Z,False,128908.00,,322.23,323.18,,L,11,24,25207222575873,,regular,2026-01-12T16:31:55Z
360,BIO,322.27,43166,2026-01-12T16:31:54Z,False,116017.20,,322.23,323.18,,L,11,26,25207222574868,,regular,2026-01-12T16:31:54Z
360,BIO,322.27,41350,2026-01-12T16:31:44Z,False,116017.20,,322.23,323.18,,L,11,10,25207222564406,,regular,2026-01-12T16:31:44Z
400,BIO,322.355,37796,2026-01-12T16:31:29Z,False,128942.000,,322.39,323.18,,L,11,4,25207222549389,,regular,2026-01-12T16:31:29Z
360,BIO,322.43,32922,2026-01-12T16:30:41Z,False,116074.80,,321.93,322.36,,L,368,109,25207222501277,,regular,2026-01-12T16:30:41Z
400,BIO,322.115,26241,2026-01-12T16:25:07Z,False,128846.000,,321.71,322.56,,L,26,3,25207222167457,,regular,2026-01-12T16:25:07Z
400,BIO,322.115,25659,2026-01-12T16:25:07Z,False,128846.000,,321.71,322.56,,L,26,3,25207222167456,,regular,2026-01-12T16:25:07Z
619,BIO,322.5467,17496,2026-01-12T15:45:14Z,False,199656.4073,,320.88,322.73,,L,14,125,25207219774856,,regular,2026-01-12T15:45:14Z
795,BIO,323,15683,2026-01-12T15:39:18Z,False,256785,,320.76,322.73,,L,1,110,25207219419221,,regular,2026-01-12T15:39:18Z
452,BIO,320.7657,11511,2026-01-12T15:21:01Z,False,144986.0964,,320.02,321.07,,L,110,99,25207218321544,,regular,2026-01-12T15:21:01Z
