size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
3000,BLDR,111.56,2476749,2025-11-05T22:47:06Z,False,334680.00,prior_reference_price,110.91,112.25,extended_hours_trade,L,99,99,0,,regular,
27485,BLDR,111.56,2473749,2025-11-05T22:47:06Z,False,3066226.60,prior_reference_price,110.91,112.25,extended_hours_trade,L,99,99,0,,regular,
9733,BLDR,111.56,2445992,2025-11-05T21:06:16Z,False,1085813.48,prior_reference_price,109.4,134.54,extended_hours_trade,L,100,8,0,,regular,
5760,BLDR,111.56,2436259,2025-11-05T21:05:56Z,False,642585.60,prior_reference_price,109.4,134.54,extended_hours_trade,L,100,8,0,,regular,
1392,BLDR,111.56,2430279,2025-11-05T21:03:13Z,False,155291.52,prior_reference_price,109.4,134.54,extended_hours_trade,L,100,8,0,,regular,
1541,BLDR,111.56,2428629,2025-11-05T21:03:09Z,False,171913.96,prior_reference_price,109.4,134.54,extended_hours_trade,L,100,8,0,,regular,
6162,BLDR,111.56,2426927,2025-11-05T21:03:01Z,False,687432.72,prior_reference_price,109.4,134.54,extended_hours_trade,L,100,8,0,,regular,
1000,BLDR,111.56,2417367,2025-11-05T21:00:28Z,False,111560.00,prior_reference_price,105,134.54,extended_hours_trade,L,100,5,0,,regular,
11000,BLDR,111.56,2416367,2025-11-05T21:00:28Z,False,1227160.00,prior_reference_price,105,134.54,extended_hours_trade,L,100,5,0,,regular,
1415,BLDR,111.56,2404495,2025-11-05T21:00:26Z,False,157857.40,prior_reference_price,105,134.54,extended_hours_trade,L,100,5,0,,regular,
3418,BLDR,111.56,2402017,2025-11-05T21:00:25Z,False,381312.08,prior_reference_price,105,134.54,extended_hours_trade,L,100,5,0,,regular,
4024,BLDR,111.56,2398599,2025-11-05T21:00:25Z,False,448917.44,prior_reference_price,105,134.54,extended_hours_trade,L,100,5,0,,regular,
1132,BLDR,111.56,2394178,2025-11-05T21:00:20Z,False,126285.92,prior_reference_price,105,134.54,extended_hours_trade,L,100,5,0,,regular,
1040,BLDR,111.56,2389702,2025-11-05T21:00:04Z,False,116022.40,,111.53,111.58,extended_hours_trade,L,9,100,0,,regular,
1300,BLDR,111.56,2387297,2025-11-05T21:00:04Z,False,145028.00,,111.53,111.58,extended_hours_trade,L,9,100,0,,regular,
1365,BLDR,111.56,2388662,2025-11-05T21:00:04Z,False,152279.40,,111.53,111.58,extended_hours_trade,L,9,100,0,,regular,
2738,BLDR,111.56,2385950,2025-11-05T21:00:02Z,False,305451.28,,111.53,111.58,extended_hours_trade,L,9,100,0,,regular,
1200,BLDR,111.625,1646163,2025-11-05T20:50:00Z,False,133950.000,,111.49,111.68,,L,75,1,0,,regular,
1200,BLDR,111.625,1644743,2025-11-05T20:50:00Z,False,133950.000,,111.49,111.68,,L,75,1,0,,regular,
1534,BLDR,111.6199,1492779,2025-11-05T20:21:52Z,False,171224.9266,,111.49,111.62,,L,100,25,0,,regular,
2720,BLDR,111.186,1477236,2025-11-05T20:20:05Z,False,302425.920,,111.15,111.24,,L,141,2,0,,regular,
1086,BLDR,110.78,1413056,2025-11-05T19:58:59Z,False,120307.08,,110.81,110.94,,L,44,2,0,,regular,
1000,BLDR,110.945,1392899,2025-11-05T19:54:23Z,False,110945.000,,110.91,111.02,,L,100,68,0,,regular,
1100,BLDR,110.995,1373921,2025-11-05T19:51:07Z,False,122094.500,,110.91,111.08,,L,7,180,0,,regular,
1052,BLDR,111.26,1338111,2025-11-05T19:41:38Z,False,117045.52,,111.15,111.25,,L,13,23,0,,regular,
1300,BLDR,110.835,1295656,2025-11-05T19:18:03Z,False,144085.500,,110.77,110.93,,L,11,21,0,,regular,
1700,BLDR,110.835,1293893,2025-11-05T19:18:03Z,False,188419.500,,110.77,110.93,,L,11,21,0,,regular,
1200,BLDR,110.835,1276641,2025-11-05T19:15:32Z,False,133002.000,,110.72,110.9,,L,30,1,0,,regular,
1000,BLDR,110.735,1267697,2025-11-05T19:13:47Z,False,110735.000,,110.65,110.79,,L,10,8,0,,regular,
2000,BLDR,110.705,1255691,2025-11-05T19:07:36Z,False,221410.000,,110.62,110.78,,L,20,24,0,,regular,
1000,BLDR,110.28,1243201,2025-11-05T19:02:03Z,False,110280.00,,110.25,110.35,,L,13,50,0,,regular,
1000,BLDR,110.28,1242181,2025-11-05T19:02:03Z,False,110280.00,,110.25,110.35,,L,13,50,0,,regular,
1000,BLDR,110.45,1221614,2025-11-05T18:57:03Z,False,110450.00,,110.39,110.56,,L,106,51,0,,regular,
2426,BLDR,110.485,1214626,2025-11-05T18:56:28Z,False,268036.610,,110.42,110.56,,L,11,16,0,,regular,
1000,BLDR,111.2099,1167208,2025-11-05T18:36:39Z,False,111209.9000,,111.09,111.21,,L,107,5,0,,regular,
1397,BLDR,111.41,1150539,2025-11-05T18:28:28Z,False,155639.77,,111.41,111.54,,L,60,6,0,,regular,
3135,BLDR,111.2,1140677,2025-11-05T18:23:11Z,False,348612.0,,111.19,111.36,,L,10,9,0,,regular,
1892,BLDR,111.37,1089634,2025-11-05T17:54:05Z,False,210712.04,,111.52,111.64,,L,31,72,0,,regular,
2232,BLDR,112.18,1064282,2025-11-05T17:44:44Z,False,250385.76,,112.26,112.4,,L,11,10,0,,regular,
1101,BLDR,112.4742,1056811,2025-11-05T17:41:44Z,False,123834.0942,,112.37,112.57,,L,5,2,0,,regular,
1010,BLDR,112.28,1032472,2025-11-05T17:28:25Z,False,113402.80,,112.24,112.4,,L,1,1,0,,regular,
8900,BLDR,110.975,981579,2025-11-05T16:56:04Z,False,987677.500,,110.89,111.05,,L,78,19,0,,regular,
2570,BLDR,110.44,957131,2025-11-05T16:49:52Z,False,283830.80,,110.33,110.53,,L,2,19,0,,regular,
5000,BLDR,109.74,925450,2025-11-05T16:36:03Z,False,548700.00,,109.69,109.82,,L,6,15,0,,regular,
5800,BLDR,109.34,914274,2025-11-05T16:34:04Z,False,634172.00,,109.27,109.4,,L,15,18,0,,regular,
6400,BLDR,109.305,904441,2025-11-05T16:32:04Z,False,699552.000,,109.22,109.38,,L,43,44,0,,regular,
1111,BLDR,108.97,882672,2025-11-05T16:21:59Z,False,121065.67,,108.97,109.02,,L,1,15,0,,regular,
43000,BLDR,108.625,876091,2025-11-05T16:18:03Z,False,4670875.000,,108.53,108.75,,L,101,1,0,,regular,
2100,BLDR,108.575,829815,2025-11-05T16:14:18Z,False,228007.500,,108.43,108.71,,L,1,101,0,,regular,
2200,BLDR,108.56,824594,2025-11-05T16:14:05Z,False,238832.00,,108.51,108.61,,L,127,100,0,,regular,
2900,BLDR,108.8,805624,2025-11-05T16:09:01Z,False,315520.0,,108.68,108.92,,L,15,100,0,,regular,
