size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
3200,BMRN,54.5,2148857,2025-09-10T20:03:06Z,False,174400.0,prior_reference_price,55.58,54.44,extended_hours_trade,L,30,1,0,,regular,
21600,BMRN,54.5,2145624,2025-09-10T20:02:59Z,False,1177200.0,prior_reference_price,55.58,54.44,extended_hours_trade,L,30,1,0,,regular,
9387,BMRN,54.5,2124024,2025-09-10T20:02:43Z,False,511591.5,prior_reference_price,55.58,54.44,extended_hours_trade,L,30,1,0,,regular,
2072,BMRN,54.5,2111526,2025-09-10T20:00:26Z,False,112924.0,prior_reference_price,56.51,54.44,extended_hours_trade,L,4,1,0,,regular,
5776,BMRN,54.5,2102875,2025-09-10T20:00:23Z,False,314792.0,prior_reference_price,56.51,54.44,extended_hours_trade,L,4,1,0,,regular,
3300,BMRN,54.5,2096396,2025-09-10T20:00:23Z,False,179850.0,prior_reference_price,56.51,54.44,extended_hours_trade,L,4,1,0,,regular,
3480,BMRN,54.5,2092992,2025-09-10T20:00:23Z,False,189660.0,prior_reference_price,56.51,54.44,extended_hours_trade,L,4,1,0,,regular,
3112,BMRN,54.5,1759500,2025-09-10T20:00:00Z,False,169604.0,,54.48,54.47,extended_hours_trade,L,2749,1133,0,,regular,
4404,BMRN,54.71,1090210,2025-09-10T18:01:46Z,False,240942.84,,54.72,54.7,,L,105,19,0,,regular,
4000,BMRN,55.05,1005010,2025-09-10T17:20:14Z,False,220200.00,,55.05,55.02,,L,68,98,0,,regular,
1984,BMRN,55.09,997416,2025-09-10T17:18:50Z,False,109298.56,,55.09,55.07,,L,3,546,0,,regular,
6061,BMRN,54.825,962478,2025-09-10T17:01:12Z,False,332294.325,,54.83,54.81,,L,39,200,0,,regular,
3782,BMRN,54.935,944106,2025-09-10T16:59:59Z,False,207764.170,,54.96,54.91,,L,12,1,0,,regular,
2100,BMRN,54.94,884991,2025-09-10T16:47:29Z,False,115374.00,,54.95,54.92,,L,25,100,0,,regular,
3998,BMRN,54.98,857919,2025-09-10T16:43:57Z,False,219810.04,,54.99,54.97,,L,101,110,0,,regular,
30000,BMRN,54.68,641899,2025-09-10T15:55:12Z,False,1640400.00,,54.7,54.66,,L,169,552,0,,regular,
2035,BMRN,54.9,570152,2025-09-10T15:42:25Z,False,111721.5,,54.9,54.89,,L,7,300,0,,regular,
6535,BMRN,54.8901,547704,2025-09-10T15:39:34Z,False,358706.8035,,54.9,54.88,,L,134,12,0,,regular,
3015,BMRN,54.9108,540807,2025-09-10T15:39:33Z,False,165556.0620,,54.93,54.89,,L,69,100,0,,regular,
6535,BMRN,54.96,534063,2025-09-10T15:39:25Z,False,359163.60,,54.97,54.94,,L,60,124,0,,regular,
3115,BMRN,54.96,527376,2025-09-10T15:39:23Z,False,171200.40,,54.97,54.94,,L,60,124,0,,regular,
3361,BMRN,54.735,490626,2025-09-10T15:26:38Z,False,183964.335,,54.76,54.74,,L,1,247,0,,regular,
10660,BMRN,54.735,485361,2025-09-10T15:26:17Z,False,583475.100,,54.77,54.73,,L,10,2,0,,regular,
3900,BMRN,54.47,332271,2025-09-10T14:41:07Z,False,212433.00,,54.45,54.38,,L,46,503,0,,regular,
1940,BMRN,54.3,257419,2025-09-10T14:28:35Z,False,105342.0,,54.34,54.29,,L,28,220,0,,regular,
2230,BMRN,55.025,128988,2025-09-10T13:59:53Z,False,122705.750,,55.06,54.98,,L,22,113,0,,regular,
2600,BMRN,55.35,102499,2025-09-10T13:51:31Z,False,143910.00,,55.46,55.38,,L,25,76,0,,regular,
