size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
3868,BRKR,42.56,2319417,2026-02-04T21:00:28Z,False,164622.08,prior_reference_price,42.1,43.2,extended_hours_trade,L,6,25,31336157020377,,regular,2026-02-04T21:00:28Z
5847,BRKR,42.56,2313351,2026-02-04T21:00:28Z,False,248848.32,prior_reference_price,42.1,43.2,extended_hours_trade,L,6,25,31336157020365,,regular,2026-02-04T21:00:28Z
12760,BRKR,42.56,2307032,2026-02-04T21:00:07Z,False,543065.60,,42.52,42.53,extended_hours_trade,L,4408,1513,31336156999555,,regular,2026-02-04T21:00:07Z
3200,BRKR,42.47,1923206,2026-02-04T20:58:21Z,False,135904.00,,42.46,42.47,,L,365,4827,31336156893518,,regular,2026-02-04T20:58:21Z
9139,BRKR,42.69,1713468,2026-02-04T20:49:17Z,False,390143.91,,42.75,42.76,,L,101,74,31336156349209,,regular,2026-02-04T20:49:17Z
2355,BRKR,42.62,1681888,2026-02-04T20:46:04Z,False,100370.10,,42.65,42.68,,L,100,245,31336156156178,,regular,2026-02-04T20:46:04Z
3700,BRKR,42.825,1587957,2026-02-04T20:38:15Z,False,158452.500,,42.89,42.96,,L,76,262,31336155686748,,regular,2026-02-04T20:38:15Z
6000,BRKR,42.84,1573801,2026-02-04T20:37:51Z,False,257040.00,,42.8,42.83,,L,71,110,31336155662814,,regular,2026-02-04T20:37:51Z
3861,BRKR,42.62,1499330,2026-02-04T20:29:41Z,False,164555.82,,42.65,42.67,,L,2,205,31336155172840,,regular,2026-02-04T20:29:41Z
2396,BRKR,42.68,852415,2026-02-04T18:05:22Z,False,102261.28,,42.68,42.74,,L,133,200,31336146513859,,regular,2026-02-04T18:05:22Z
14179,BRKR,42.98,691555,2026-02-04T17:18:51Z,False,609413.42,,42.97,43.02,,L,122,2600,31336143723425,,regular,2026-02-04T17:18:51Z
3107,BRKR,42.98,664624,2026-02-04T17:18:51Z,False,133538.86,,42.98,43,,L,37,142,31336143723336,,regular,2026-02-04T17:18:51Z
3900,BRKR,42.97,656179,2026-02-04T17:18:51Z,False,167583.00,,42.96,43.04,,L,165,440,31336143723324,,regular,2026-02-04T17:18:51Z
3000,BRKR,43.06,645328,2026-02-04T17:18:51Z,False,129180.00,,43.06,43.08,,L,65,51,31336143723290,,regular,2026-02-04T17:18:51Z
2400,BRKR,43.875,405878,2026-02-04T15:45:30Z,False,105300.000,,43.85,43.9,,L,400,108,31336138122160,,regular,2026-02-04T15:45:30Z
5800,BRKR,43.535,314526,2026-02-04T15:27:45Z,False,252503.000,,43.48,43.59,,L,59,124,31336137057025,,regular,2026-02-04T15:27:45Z
15500,BRKR,43.66,276109,2026-02-04T15:21:16Z,False,676730.00,,43.63,43.69,,L,200,27,31336136668090,,regular,2026-02-04T15:21:16Z
2566,BRKR,43.49,246153,2026-02-04T15:19:51Z,False,111595.34,,43.48,43.57,,L,55,300,31336136583199,,regular,2026-02-04T15:19:51Z
15000,BRKR,43.29,125004,2026-02-04T15:00:27Z,False,649350.00,,43.24,43.34,,L,454,100,31336135419006,,regular,2026-02-04T15:00:27Z
3585,BRKR,43.3,102329,2026-02-04T14:58:07Z,False,155230.5,,43.21,43.34,,L,2,201,31336135279087,,regular,2026-02-04T14:58:07Z
