size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
120183,BROS,64.01,1829415,2025-12-26T23:05:49Z,False,7692913.83,average_price_trade,64.19,63.58,extended_hours_trade,L,50,99,21861466685893,,regular,
3000,BROS,63.98,1202364,2025-12-26T20:53:21Z,False,191940.00,,63.98,63.97,,L,15,400,21861458737906,,regular,
1625,BROS,63.95,1146546,2025-12-26T20:50:00Z,False,103918.75,,64.03,63.72,,L,134,310,21861458537119,,regular,
7815,BROS,63.98,1119740,2025-12-26T20:48:06Z,False,500003.70,,63.98,63.97,,L,80,301,21861458423244,,regular,
2837,BROS,64,1075753,2025-12-26T20:40:45Z,False,181568,,64.02,63.99,,L,43,3,21861457981690,,regular,
3224,BROS,63.9,984504,2025-12-26T20:23:39Z,False,206013.6,,63.93,63.91,,L,3,8,21861456956241,,regular,
1600,BROS,63.725,810447,2025-12-26T19:21:38Z,False,101960.000,,63.75,63.69,,L,17,110,21861453235047,,regular,
2000,BROS,63.8401,761893,2025-12-26T19:07:41Z,False,127680.2000,,63.89,63.84,,L,252,2,21861452398356,,regular,
1820,BROS,63.905,555781,2025-12-26T17:31:22Z,False,116307.100,,63.91,63.89,,L,21,40,21861446619455,,regular,
5000,BROS,63.9,553814,2025-12-26T17:30:54Z,False,319500.0,,63.91,63.89,,L,21,40,21861446590872,,regular,
5000,BROS,63.805,461408,2025-12-26T16:46:10Z,False,319025.000,,63.82,63.79,,L,1,30,21861443906827,,regular,
1820,BROS,63.725,233096,2025-12-26T15:22:52Z,False,115979.500,,63.76,63.64,,L,25,116,21861438909583,,regular,
2400,BROS,63.69,217855,2025-12-26T15:16:03Z,False,152856.00,,63.79,63.63,,L,10,27,21861438500604,,regular,
10000,BROS,63.745,180935,2025-12-26T15:04:11Z,False,637450.000,,63.88,63.67,,L,189,10,21861437788312,,regular,
10000,BROS,63.775,145668,2025-12-26T15:02:40Z,False,637750.000,,63.79,63.69,,L,10,150,21861437696871,,regular,
1634,BROS,63.8,45669,2025-12-26T14:37:40Z,False,104249.2,,63.97,63.8,,L,10,6,21861436196798,,regular,
