size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
167675,BROS,71.85,5301664,2026-06-26T21:45:58Z,False,12047448.75,average_price_trade,70.5,71.8,extended_hours_trade,L,10,50,21861461895381,,regular,2026-06-26T21:45:57Z
4296,BROS,71.85,5126444,2026-06-26T20:09:07Z,False,308667.60,prior_reference_price,70.5,71.85,extended_hours_trade,L,5,50,21861456084231,,regular,2026-06-26T20:09:06Z
1564,BROS,71.8505,5119320,2026-06-26T20:08:34Z,False,112374.1820,average_price_trade,70.5,71.85,extended_hours_trade,L,5,50,21861456050838,,regular,2026-06-26T20:08:32Z
3320,BROS,71.85,5116219,2026-06-26T20:03:38Z,False,238542.00,prior_reference_price,70.5,71.95,extended_hours_trade,L,1,50,21861455754796,,regular,2026-06-26T20:03:38Z
7184,BROS,71.85,5112858,2026-06-26T20:00:45Z,False,516170.40,,70.5,72,extended_hours_trade_late_or_out_of_sequence,L,179,50,21861455581914,,regular,2026-06-26T20:00:11Z
2202,BROS,71.8515,5104616,2026-06-26T20:00:43Z,False,158217.0030,,70.5,72,extended_hours_trade_late_or_out_of_sequence,L,179,50,21861455579790,,regular,2026-06-26T20:00:11Z
8451,BROS,71.8532,5102156,2026-06-26T20:00:31Z,False,607231.3932,,70.5,72,extended_hours_trade_late_or_out_of_sequence,L,179,50,21861455568476,,regular,2026-06-26T20:00:11Z
2137,BROS,71.8515,5092809,2026-06-26T20:00:29Z,False,153546.6555,,70.5,72,extended_hours_trade_late_or_out_of_sequence,L,179,50,21861455566006,,regular,2026-06-26T20:00:11Z
7184,BROS,71.85,5090399,2026-06-26T20:00:28Z,False,516170.40,,70.5,72,extended_hours_trade_late_or_out_of_sequence,L,179,50,21861455565195,,regular,2026-06-26T20:00:11Z
1690,BROS,71.85,5082283,2026-06-26T20:00:25Z,False,121426.50,prior_reference_price,70.5,72,extended_hours_trade,L,179,50,21861455562013,,regular,2026-06-26T20:00:25Z
2137,BROS,71.8515,5080593,2026-06-26T20:00:24Z,False,153546.6555,,70.5,72,extended_hours_trade_late_or_out_of_sequence,L,179,50,21861455561570,,regular,2026-06-26T20:00:11Z
41532,BROS,71.85,5078324,2026-06-26T20:00:15Z,False,2984074.20,average_price_trade,70.5,72,extended_hours_trade,L,179,50,21861455552531,,regular,2026-06-26T20:00:14Z
4486,BROS,71.85,5036692,2026-06-26T20:00:05Z,False,322319.10,,70.5,72,extended_hours_trade,L,50,50,21861455542467,,regular,2026-06-26T20:00:05Z
1800,BROS,71.835,3231992,2026-06-26T19:59:33Z,False,129303.000,,71.82,71.85,,L,721,129,21861455510422,,regular,2026-06-26T19:59:33Z
2500,BROS,71.8301,3155284,2026-06-26T19:58:48Z,False,179575.2500,average_price_trade,71.88,71.89,,L,800,90,21861455465271,derivative_priced,regular,2026-06-26T19:58:48Z
3600,BROS,71.7313,3036666,2026-06-26T19:57:33Z,False,258232.6800,average_price_trade,71.81,71.84,,L,279,312,21861455389716,derivative_priced,regular,2026-06-26T19:57:33Z
1600,BROS,71.5538,2901860,2026-06-26T19:53:32Z,False,114486.0800,average_price_trade,71.57,71.61,,L,38,406,21861455149353,derivative_priced,regular,2026-06-26T19:53:32Z
1500,BROS,71.6199,2882485,2026-06-26T19:52:27Z,False,107429.8500,,71.49,71.56,,L,41,11,21861455084263,,regular,2026-06-26T19:52:27Z
7000,BROS,71.4801,2877685,2026-06-26T19:52:19Z,False,500360.7000,,71.47,71.52,,L,189,227,21861455076536,,regular,2026-06-26T19:52:19Z
1800,BROS,71.29,2839315,2026-06-26T19:50:02Z,False,128322.00,,71.34,71.44,,L,200,4,21861454939387,,regular,2026-06-26T19:50:02Z
19688,BROS,70.99,2762714,2026-06-26T19:45:16Z,False,1397651.12,,70.91,71.02,,L,1,101,21861454652642,,regular,2026-06-26T19:45:15Z
1800,BROS,70.9516,2735873,2026-06-26T19:44:41Z,False,127712.8800,average_price_trade,70.86,70.99,,L,122,32,21861454618431,derivative_priced,regular,2026-06-26T19:44:41Z
2000,BROS,70.769,2636540,2026-06-26T19:34:40Z,False,141538.000,average_price_trade,70.89,70.97,,L,20,106,21861454016951,derivative_priced,regular,2026-06-26T19:34:40Z
1600,BROS,70.6884,2548735,2026-06-26T19:24:36Z,False,113101.4400,average_price_trade,70.63,70.69,,L,18,1,21861453412691,derivative_priced,regular,2026-06-26T19:24:36Z
1700,BROS,70.8011,2496792,2026-06-26T19:18:20Z,False,120361.8700,,70.79,70.86,,L,10,305,21861453036773,,regular,2026-06-26T19:18:20Z
2500,BROS,71.049,2477300,2026-06-26T19:14:20Z,False,177622.500,average_price_trade,70.92,70.97,,L,13,120,21861452797116,derivative_priced,regular,2026-06-26T19:14:20Z
3729,BROS,71.075,2470822,2026-06-26T19:13:38Z,False,265038.675,,71.01,71.09,,L,120,220,21861452755099,,regular,2026-06-26T19:13:38Z
1417,BROS,71.085,2439700,2026-06-26T19:10:07Z,False,100727.445,,71.05,71.08,,L,1,380,21861452543953,,regular,2026-06-26T19:10:07Z
1800,BROS,71.11,2210887,2026-06-26T18:25:52Z,False,127998.00,,71.09,71.15,,L,105,13,21861449889447,,regular,2026-06-26T18:25:52Z
2200,BROS,71.43,2086882,2026-06-26T17:53:01Z,False,157146.00,,71.4,71.43,,L,68,200,21861447917971,,regular,2026-06-26T17:53:01Z
2000,BROS,71.37,2080521,2026-06-26T17:51:57Z,False,142740.00,,71.36,71.4,,L,173,271,21861447854137,,regular,2026-06-26T17:51:57Z
