size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
4513,BRO,72.08,1457953,2026-08-20T20:00:46Z,False,325297.04,prior_reference_price,69.33,72.8,extended_hours_trade,L,1,1,26263797061790,,regular,2026-08-20T20:00:46Z
2428,BRO,72.08,1450936,2026-08-20T20:00:46Z,False,175010.24,prior_reference_price,69.33,72.8,extended_hours_trade,L,1,1,26263797061777,,regular,2026-08-20T20:00:46Z
3514,BRO,72.08,1447553,2026-08-20T20:00:46Z,False,253289.12,prior_reference_price,69.33,72.8,extended_hours_trade,L,1,1,26263797061767,,regular,2026-08-20T20:00:46Z
1704,BRO,72.08,1442530,2026-08-20T20:00:46Z,False,122824.32,prior_reference_price,69.33,72.8,extended_hours_trade,L,1,1,26263797061625,,regular,2026-08-20T20:00:46Z
1533,BRO,72.07,1048281,2026-08-20T19:58:19Z,False,110483.31,,72.07,72.08,,L,58,70,26263796914982,,regular,2026-08-20T19:58:19Z
1500,BRO,72.4399,720539,2026-08-20T19:03:37Z,False,108659.8500,,72.39,72.44,,L,582,20,26263793632263,,regular,2026-08-20T19:03:37Z
1878,BRO,72.1689,440066,2026-08-20T16:58:58Z,False,135533.1942,,72.14,72.19,,L,208,1,26263786153395,,regular,2026-08-20T16:58:58Z
1998,BRO,72.25,390254,2026-08-20T16:23:49Z,False,144355.50,,72.21,72.33,,L,87,1,26263784044865,,regular,2026-08-20T16:23:49Z
2000,BRO,72.14,295253,2026-08-20T15:30:45Z,False,144280.00,,72.05,72.14,,L,100,140,26263780860985,,regular,2026-08-20T15:30:45Z
13440,BRO,72.045,266084,2026-08-20T15:18:00Z,False,968284.800,,72.04,72.09,,L,10,20,26263780095623,,regular,2026-08-20T15:18:00Z
3949,BRO,71.64,165426,2026-08-20T14:33:56Z,False,282906.36,,71.63,71.76,,L,210,47,26263777451413,,regular,2026-08-20T14:33:56Z
1884,BRO,71.62,148930,2026-08-20T14:27:33Z,False,134932.08,,71.56,71.75,,L,24,5,26263777068195,,regular,2026-08-20T14:27:33Z
3100,BRO,71.575,145547,2026-08-20T14:26:48Z,False,221882.500,,71.52,71.63,,L,214,40,26263777023962,,regular,2026-08-20T14:26:48Z
3450,BRO,72.02,79087,2026-08-20T13:55:37Z,False,248469.00,,71.99,72.13,,L,17,1072,26263775152288,,regular,2026-08-20T13:55:37Z
1667,BRO,71.82,43610,2026-08-20T13:48:43Z,False,119723.94,,71.7,72.01,,L,123,100,26263774738819,,regular,2026-08-20T13:48:43Z
