size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
149254,BR,183.08,1008558,2026-08-27T20:45:41Z,False,27325422.32,average_price_trade,180.94,185.31,extended_hours_trade,L,10,49,32886639327236,,regular,2026-08-27T20:45:41Z
1784,BR,183.08,859086,2026-08-27T20:00:40Z,False,326614.72,prior_reference_price,180,188,extended_hours_trade,L,1,23,32886636625566,,regular,2026-08-27T20:00:40Z
2616,BR,183.08,856445,2026-08-27T20:00:37Z,False,478937.28,prior_reference_price,180,188,extended_hours_trade,L,1,23,32886636623337,,regular,2026-08-27T20:00:37Z
39262,BR,183.08,851601,2026-08-27T20:00:09Z,False,7188086.96,average_price_trade,180,190,extended_hours_trade,L,1,11,32886636595043,,regular,2026-08-27T20:00:09Z
1054,BR,183.215,545012,2026-08-27T19:56:39Z,False,193108.610,,183.14,183.3,,L,17,10,32886636385375,,regular,2026-08-27T19:56:39Z
700,BR,183.22,449515,2026-08-27T19:30:15Z,False,128254.00,contingent_trade,183.22,183.33,,L,8,95,32886634801405,qualified_contingent_trade,regular,2026-08-27T19:30:15Z
700,BR,183.3,416765,2026-08-27T19:11:49Z,False,128310.0,contingent_trade,183.32,183.45,,L,156,22,32886633695207,qualified_contingent_trade,regular,2026-08-27T19:11:49Z
645,BR,183.585,406424,2026-08-27T19:04:30Z,False,118412.325,,183.53,183.62,,L,10,2,32886633256299,,regular,2026-08-27T19:04:30Z
600,BR,183.51,383194,2026-08-27T18:40:37Z,False,110106.00,,183.46,183.62,,L,31,39,32886631822795,,regular,2026-08-27T18:40:37Z
602,BR,183.55,368122,2026-08-27T18:22:58Z,False,110497.10,,183.46,183.68,,L,51,28,32886630764024,,regular,2026-08-27T18:22:58Z
700,BR,183.49,357277,2026-08-27T18:16:31Z,False,128443.00,contingent_trade,183.57,183.75,,L,50,14,32886630376934,qualified_contingent_trade,regular,2026-08-27T18:16:31Z
700,BR,183.74,341476,2026-08-27T17:57:17Z,False,128618.00,contingent_trade,183.8,183.92,,L,2,6,32886629222653,qualified_contingent_trade,regular,2026-08-27T17:57:17Z
941,BR,183.725,325113,2026-08-27T17:34:50Z,False,172885.225,,183.66,183.74,,L,13,202,32886627875786,,regular,2026-08-27T17:34:50Z
800,BR,183.655,309919,2026-08-27T17:19:09Z,False,146924.000,,183.57,183.73,,L,30,35,32886626934508,,regular,2026-08-27T17:19:09Z
700,BR,183.62,306692,2026-08-27T17:17:06Z,False,128534.00,contingent_trade,183.67,183.82,,L,8,4,32886626811588,qualified_contingent_trade,regular,2026-08-27T17:17:06Z
907,BR,183.75,295756,2026-08-27T17:05:47Z,False,166661.25,,183.71,183.87,,L,15,1,32886626132844,,regular,2026-08-27T17:05:47Z
700,BR,183.63,287274,2026-08-27T16:59:31Z,False,128541.00,contingent_trade,183.74,183.87,,L,6,11,32886625757130,qualified_contingent_trade,regular,2026-08-27T16:59:31Z
565,BR,183.71,280231,2026-08-27T16:53:02Z,False,103796.15,,183.67,183.76,,L,10,5,32886625368157,,regular,2026-08-27T16:53:02Z
700,BR,183.5,269676,2026-08-27T16:40:16Z,False,128450.0,contingent_trade,183.5,183.63,,L,10,62,32886624602249,qualified_contingent_trade,regular,2026-08-27T16:40:16Z
700,BR,183.48,252762,2026-08-27T16:18:37Z,False,128436.00,contingent_trade,183.52,183.64,,L,151,1,32886623302878,qualified_contingent_trade,regular,2026-08-27T16:18:37Z
700,BR,183.57,232766,2026-08-27T15:59:22Z,False,128499.00,contingent_trade,183.62,183.74,,L,80,11,32886622147819,qualified_contingent_trade,regular,2026-08-27T15:59:22Z
700,BR,184.09,214306,2026-08-27T15:36:09Z,False,128863.00,contingent_trade,184.04,184.16,,L,16,18,32886620754477,qualified_contingent_trade,regular,2026-08-27T15:36:09Z
700,BR,183.63,197167,2026-08-27T15:17:55Z,False,128541.00,contingent_trade,183.5,183.74,,L,10,13,32886619660781,qualified_contingent_trade,regular,2026-08-27T15:17:55Z
700,BR,183.68,172938,2026-08-27T14:56:48Z,False,128576.00,contingent_trade,183.65,183.79,,L,150,209,32886618394133,qualified_contingent_trade,regular,2026-08-27T14:56:48Z
1451,BR,183.0801,155246,2026-08-27T14:47:49Z,False,265649.2251,,182.92,183.36,,L,201,15,32886617854735,,regular,2026-08-27T14:47:49Z
1970,BR,183.08,153795,2026-08-27T14:47:49Z,False,360667.60,,182.92,183.36,,L,201,15,32886617854734,,regular,2026-08-27T14:47:49Z
700,BR,182.96,139387,2026-08-27T14:36:55Z,False,128072.00,contingent_trade,182.79,182.96,,L,110,245,32886617200581,qualified_contingent_trade,regular,2026-08-27T14:36:55Z
992,BR,183.07,130810,2026-08-27T14:31:37Z,False,181605.44,,182.69,183.04,,L,3,10,32886616882870,,regular,2026-08-27T14:31:37Z
646,BR,182.725,127752,2026-08-27T14:29:16Z,False,118040.350,,182.5,182.9,,L,10,100,32886616742172,,regular,2026-08-27T14:29:16Z
700,BR,183.27,121109,2026-08-27T14:23:01Z,False,128289.00,contingent_trade,183.27,183.53,,L,101,48,32886616367370,qualified_contingent_trade,regular,2026-08-27T14:23:01Z
802,BR,182.84,114620,2026-08-27T14:19:17Z,False,146637.68,,182.84,183.05,,L,49,22,32886616143016,,regular,2026-08-27T14:19:17Z
647,BR,182.68,108378,2026-08-27T14:16:17Z,False,118193.96,,182.63,182.84,,L,69,8,32886615963460,,regular,2026-08-27T14:16:17Z
700,BR,182.65,91314,2026-08-27T14:03:52Z,False,127855.00,contingent_trade,182.58,182.86,,L,132,123,32886615217704,qualified_contingent_trade,regular,2026-08-27T14:03:52Z
4923,BR,183.11,86447,2026-08-27T14:00:16Z,False,901450.53,,182.97,183.28,,L,39,1,32886615001844,,regular,2026-08-27T14:00:16Z
2300,BR,182.66,30508,2026-08-27T13:47:38Z,False,420118.00,,182.54,182.98,,L,10,27,32886614244405,,regular,2026-08-27T13:47:38Z
1000,BR,182.87,22389,2026-08-27T13:41:51Z,False,182870.00,,181.99,182.93,,L,54,5,32886613897255,,regular,2026-08-27T13:41:51Z
1024,BR,181.82,17075,2026-08-27T13:37:09Z,False,186183.68,,181.39,182.51,,L,5,10,32886613614657,,regular,2026-08-27T13:37:09Z
