size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
7189,BWA,55.81,1959037,2026-04-22T20:11:15Z,False,401218.09,prior_reference_price,54.52,56,extended_hours_trade,L,408,100,29304634535900,,regular,2026-04-22T20:11:15Z
8597,BWA,55.81,1951841,2026-04-22T20:00:57Z,False,479798.57,prior_reference_price,54.52,58,extended_hours_trade,L,2,100,29304633917787,,regular,2026-04-22T20:00:57Z
16300,BWA,55.81,1943212,2026-04-22T20:00:41Z,False,909703.00,prior_reference_price,54.52,58,extended_hours_trade,L,2,100,29304633902535,,regular,2026-04-22T20:00:41Z
9000,BWA,55.81,1925338,2026-04-22T20:00:41Z,False,502290.00,prior_reference_price,54.52,58,extended_hours_trade,L,2,100,29304633902519,,regular,2026-04-22T20:00:41Z
3800,BWA,55.81,1916238,2026-04-22T20:00:41Z,False,212078.00,prior_reference_price,54.52,58,extended_hours_trade,L,2,100,29304633902514,,regular,2026-04-22T20:00:41Z
2567,BWA,55.81,1912404,2026-04-22T20:00:41Z,False,143264.27,prior_reference_price,54.52,58,extended_hours_trade,L,2,100,29304633902452,,regular,2026-04-22T20:00:41Z
1914,BWA,55.81,1908426,2026-04-22T20:00:41Z,False,106820.34,prior_reference_price,54.52,58,extended_hours_trade,L,2,100,29304633902435,,regular,2026-04-22T20:00:41Z
4000,BWA,55.81,1904573,2026-04-22T20:00:38Z,False,223240.00,prior_reference_price,54.52,58,extended_hours_trade,L,2,100,29304633899341,,regular,2026-04-22T20:00:38Z
2100,BWA,55.8415,1219057,2026-04-22T19:38:20Z,False,117267.1500,average_price_trade,55.77,55.8,,L,978,19,29304632561461,derivative_priced,regular,2026-04-22T19:38:20Z
2731,BWA,55.85,1114348,2026-04-22T19:19:12Z,False,152526.35,,55.82,55.85,,L,245,5,29304631413446,,regular,2026-04-22T19:19:12Z
2354,BWA,55.6,640107,2026-04-22T15:44:44Z,False,130882.4,,55.52,55.6,,L,229,1,29304618544979,,regular,2026-04-22T15:44:44Z
57659,BWA,55.81,593443,2026-04-22T15:28:58Z,False,3217948.79,,55.79,55.83,,L,51,169,29304617598780,,regular,2026-04-22T15:28:58Z
2900,BWA,56.43,342701,2026-04-22T14:39:02Z,False,163647.00,,56.38,56.51,,L,110,230,29304614602616,,regular,2026-04-22T14:39:02Z
2144,BWA,56.29,329985,2026-04-22T14:37:18Z,False,120685.76,,56.22,56.27,,L,68,131,29304614499219,,regular,2026-04-22T14:37:18Z
4300,BWA,55.615,109601,2026-04-22T14:00:03Z,False,239144.500,,55.56,55.73,,L,72,30,29304612264278,,regular,2026-04-22T14:00:03Z
3200,BWA,55.615,112801,2026-04-22T14:00:03Z,False,177968.000,,55.56,55.73,,L,72,30,29304612264278,,regular,2026-04-22T14:00:03Z
