size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
6357,BWXT,191.38,1299046,2025-10-06T22:27:11Z,False,1216602.66,prior_reference_price,193.73,191.08,extended_hours_trade,L,50,74,0,,regular,
9449,BWXT,191.38,1290889,2025-10-06T20:00:27Z,False,1808349.62,prior_reference_price,207,188,extended_hours_trade,L,10,30,0,,regular,
702,BWXT,191.38,1280052,2025-10-06T20:00:27Z,False,134348.76,prior_reference_price,207,188,extended_hours_trade,L,10,30,0,,regular,
700,BWXT,191.38,1279350,2025-10-06T20:00:27Z,False,133966.00,prior_reference_price,207,188,extended_hours_trade,L,10,30,0,,regular,
665,BWXT,191.38,1277959,2025-10-06T20:00:04Z,False,127267.70,,191.71,191.59,extended_hours_trade,L,211,35,0,,regular,
900,BWXT,191.6655,1111758,2025-10-06T19:54:06Z,False,172498.9500,,191.75,191.64,,L,11,100,0,,regular,
6964,BWXT,192.5044,1074825,2025-10-06T19:49:15Z,False,1340600.6416,,192.52,192.05,,L,100,12,0,,regular,
600,BWXT,192.11,1047684,2025-10-06T19:47:09Z,False,115266.00,,192.03,191.9,,L,15,105,0,,regular,
1000,BWXT,192.18,1031825,2025-10-06T19:43:44Z,False,192180.00,,192.2,192.13,,L,2,56,0,,regular,
1300,BWXT,192.5,1020348,2025-10-06T19:40:06Z,False,250250.0,,192.56,192.46,,L,1,2,0,,regular,
1000,BWXT,192.4278,1010474,2025-10-06T19:37:15Z,False,192427.8000,,192.5,192.31,,L,5,151,0,,regular,
900,BWXT,192.4299,981627,2025-10-06T19:25:57Z,False,173186.9100,,192.46,192.4,,L,16,33,0,,regular,
528,BWXT,192.415,980727,2025-10-06T19:25:57Z,False,101595.120,,192.46,192.4,,L,16,33,0,,regular,
528,BWXT,192.43,980199,2025-10-06T19:25:57Z,False,101603.04,,192.46,192.4,,L,16,33,0,,regular,
