size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
1634,BXP,71.86,1071129,2025-01-23T21:01:22Z,False,117419.24,prior_reference_price,0,73.25,extended_hours_trade,L,23,0,57682814429134,,,
1480,BXP,71.86,1067986,2025-01-23T21:00:36Z,False,106352.80,prior_reference_price,0,97,extended_hours_trade,L,6,0,57636074216323,,,
1418,BXP,71.86,1064699,2025-01-23T21:00:26Z,False,101897.48,prior_reference_price,0,97,extended_hours_trade,L,6,0,57626114635313,,,
3711,BXP,71.86,1055197,2025-01-23T21:00:04Z,False,266672.46,,0,97,extended_hours_trade,L,6,0,57604406948065,,,
3706,BXP,71.865,758244,2025-01-23T20:46:15Z,False,266331.690,,71.83,71.89,,L,21,1,56775359436051,,,
10000,BXP,71.915,750301,2025-01-23T20:44:35Z,False,719150.000,,71.85,71.94,,L,68,100,56675706246168,,,
13100,BXP,71.96,718317,2025-01-23T20:42:10Z,False,942676.00,,71.93,71.99,,L,112,55,56530916702325,,,
2845,BXP,72.24,681173,2025-01-23T20:31:19Z,False,205522.80,,72.23,72.25,,L,31,5,55879358534688,,,
1420,BXP,72.2669,668504,2025-01-23T20:26:26Z,False,102618.9980,average_price_trade,72.23,72.29,,L,1,6,55586160008039,,,
1720,BXP,72.18,658162,2025-01-23T20:25:05Z,False,124149.60,,72.11,72.17,,L,262,233,55505702413621,,,
2107,BXP,72.2289,651350,2025-01-23T20:22:59Z,False,152186.2923,average_price_trade,72.13,72.17,,L,173,12,55379388466243,intermarket_sweep,,
1650,BXP,72.1526,633317,2025-01-23T20:19:18Z,False,119051.7900,average_price_trade,72.06,72.13,,L,97,255,55158379371731,intermarket_sweep,,
1400,BXP,72.11,612507,2025-01-23T20:09:44Z,False,100954.00,,72.11,72.17,,L,218,60,54584699747727,,,
1900,BXP,71.9695,543947,2025-01-23T19:26:56Z,False,136742.0500,,71.90,71.96,,L,11,100,52016939087033,,,
20000,BXP,71.655,506396,2025-01-23T19:02:40Z,False,1433100.000,,71.60,71.70,,L,189,107,50560601876621,,,
1900,BXP,71.765,444696,2025-01-23T18:20:25Z,False,136353.500,,71.77,71.80,,L,423,5,48025396462781,,,
18000,BXP,71.82,429535,2025-01-23T18:20:24Z,False,1292760.00,,71.78,71.85,,L,8,208,48024142418906,,,
17500,BXP,71.82,410741,2025-01-23T18:20:19Z,False,1256850.00,,71.78,71.85,,L,8,208,48019135665728,,,
8977,BXP,71.55,309437,2025-01-23T16:48:14Z,False,642304.35,,71.47,71.63,,L,283,180,42494070944738,,,
1966,BXP,70.7912,161056,2025-01-23T15:32:07Z,False,139175.4992,,70.72,70.87,,L,195,253,37927053041665,,,
2200,BXP,71.75,79025,2025-01-23T14:57:57Z,False,157850.00,,71.70,71.76,,L,8,143,35877679672426,,,
5977,BXP,72.10,59036,2025-01-23T14:45:26Z,False,430941.70,,71.99,72.20,,L,4,43,35126980868718,,,
2100,BXP,72.36,46722,2025-01-23T14:44:03Z,False,151956.00,,72.12,72.36,,L,12,259,35043812762799,,,
1611,BXP,72.72,29631,2025-01-23T14:32:02Z,False,117151.92,,72.42,72.72,,L,292,7,34322279471457,,,
