size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
1100,BX,181.52,3220554,2025-01-21T22:10:19Z,False,199672.00,prior_reference_price,181.55,183.34,extended_hours_trade,L,25,100,61819854491787,,,
3622,BX,181.52,3219454,2025-01-21T22:07:47Z,False,657465.44,,181.55,183.34,extended_hours_trade,L,25,100,61667666755044,,,
7255,BX,181.52,3215832,2025-01-21T22:00:37Z,False,1316927.60,prior_reference_price,181.50,183.34,extended_hours_trade,L,25,50,61237421599257,,,
3120,BX,181.52,3208525,2025-01-21T21:22:37Z,False,566342.40,prior_reference_price,179.99,183.34,extended_hours_trade,L,25,4,58957455620239,,,
11353,BX,181.52,3205308,2025-01-21T21:11:37Z,False,2060796.56,prior_reference_price,179.99,183.34,extended_hours_trade,L,25,4,58297676884369,,,
9876,BX,181.52,3193954,2025-01-21T21:10:26Z,False,1792691.52,prior_reference_price,179.99,183.34,extended_hours_trade,L,25,4,58226338542470,,,
8526,BX,181.52,3183978,2025-01-21T21:06:49Z,False,1547639.52,average_price_trade,179.99,184.82,extended_hours_trade,L,40,4,58009492825509,,,
6399,BX,181.52,3175452,2025-01-21T21:06:11Z,False,1161546.48,average_price_trade,179.99,184.82,extended_hours_trade,L,40,4,57971750817149,,,
2429,BX,181.52,3169053,2025-01-21T21:05:21Z,False,440912.08,,179.99,184.82,extended_hours_trade,L,40,4,57921853458322,,,
5056,BX,181.52,3166530,2025-01-21T21:04:40Z,False,917765.12,prior_reference_price,179.99,184.82,extended_hours_trade,L,40,4,57880010253174,,,
1566,BX,181.52,3160780,2025-01-21T21:04:32Z,False,284260.32,prior_reference_price,179.99,184.82,extended_hours_trade,L,40,4,57872122088664,,,
1389,BX,181.52,3157796,2025-01-21T21:04:28Z,False,252131.28,prior_reference_price,179.99,184.82,extended_hours_trade,L,40,4,57868031204104,,,
1819,BX,181.52,3155911,2025-01-21T21:04:16Z,False,330184.88,prior_reference_price,179.99,184.82,extended_hours_trade,L,40,4,57856043557366,,,
660,BX,181.52,3154092,2025-01-21T21:04:13Z,False,119803.20,prior_reference_price,179.99,184.82,extended_hours_trade,L,40,4,57853841641568,,,
95102,BX,181.52,3153432,2025-01-21T21:04:07Z,False,17262915.04,prior_reference_price,179.99,184.82,extended_hours_trade,L,40,4,57847999452549,,,
679,BX,181.52,3058035,2025-01-21T21:03:59Z,False,123252.08,prior_reference_price,179.99,184.82,extended_hours_trade,L,40,4,57839876750650,,,
873,BX,181.52,3056514,2025-01-21T21:03:21Z,False,158466.96,prior_reference_price,179.99,184.82,extended_hours_trade,L,40,4,57801927651402,,,
5949,BX,181.52,3053301,2025-01-21T21:01:11Z,False,1079862.48,prior_reference_price,179.99,184.82,extended_hours_trade,L,40,4,57671026479115,,,
2178,BX,181.52,3046876,2025-01-21T21:00:50Z,False,395350.56,prior_reference_price,179.99,184.82,extended_hours_trade,L,40,4,57650750688788,,,
16426,BX,181.52,3043719,2025-01-21T21:00:35Z,False,2981647.52,prior_reference_price,179.99,184.82,extended_hours_trade,L,40,4,57635675016532,,,
1111,BX,181.52,3027293,2025-01-21T21:00:35Z,False,201668.72,prior_reference_price,179.99,184.82,extended_hours_trade,L,40,4,57635672094765,,,
785,BX,181.52,3026004,2025-01-21T21:00:34Z,False,142493.20,prior_reference_price,179.99,184.82,extended_hours_trade,L,40,4,57634690467479,,,
1690,BX,181.52,3024168,2025-01-21T21:00:32Z,False,306768.80,prior_reference_price,179.99,184.82,extended_hours_trade,L,40,4,57632058738218,,,
9399,BX,181.52,3022478,2025-01-21T21:00:32Z,False,1706106.48,prior_reference_price,179.99,184.82,extended_hours_trade,L,40,4,57632054480266,,,
2497,BX,181.52,3004579,2025-01-21T21:00:32Z,False,453255.44,prior_reference_price,179.99,184.82,extended_hours_trade,L,40,4,57632048474848,,,
8500,BX,181.52,3013079,2025-01-21T21:00:32Z,False,1542920.00,prior_reference_price,179.99,184.82,extended_hours_trade,L,40,4,57632048997097,,,
8500,BX,181.52,3002082,2025-01-21T21:00:32Z,False,1542920.00,prior_reference_price,179.99,184.82,extended_hours_trade,L,40,4,57632044230392,,,
8500,BX,181.52,2993282,2025-01-21T21:00:32Z,False,1542920.00,prior_reference_price,179.99,184.82,extended_hours_trade,L,40,4,57632039741285,,,
596,BX,181.52,2983855,2025-01-21T21:00:31Z,False,108185.92,prior_reference_price,179.99,184.82,extended_hours_trade,L,40,4,57631986088289,,,
564,BX,181.52,2983259,2025-01-21T21:00:31Z,False,102377.28,prior_reference_price,179.99,184.82,extended_hours_trade,L,40,4,57631960824219,,,
75000,BX,181.52,2982695,2025-01-21T21:00:31Z,False,13614000.00,prior_reference_price,179.99,184.82,extended_hours_trade,L,40,4,57631957602970,,,
2360,BX,181.52,2907695,2025-01-21T21:00:31Z,False,428387.20,prior_reference_price,179.99,184.82,extended_hours_trade,L,40,4,57631955033123,,,
8500,BX,181.52,2904827,2025-01-21T21:00:31Z,False,1542920.00,prior_reference_price,179.99,184.82,extended_hours_trade,L,40,4,57631951889812,,,
4250,BX,181.52,2896140,2025-01-21T21:00:31Z,False,771460.00,prior_reference_price,179.99,184.82,extended_hours_trade,L,40,4,57631946426597,,,
2217,BX,181.52,2891890,2025-01-21T21:00:31Z,False,402429.84,prior_reference_price,179.99,184.82,extended_hours_trade,L,40,4,57631944464708,,,
1000,BX,181.52,2889673,2025-01-21T21:00:31Z,False,181520.00,prior_reference_price,179.99,184.82,extended_hours_trade,L,40,4,57631943854869,,,
7461,BX,181.52,2888311,2025-01-21T21:00:23Z,False,1354320.72,prior_reference_price,179.99,184.82,extended_hours_trade,L,40,4,57623358091131,,,
744,BX,181.52,2880390,2025-01-21T21:00:19Z,False,135050.88,prior_reference_price,179.99,184.82,extended_hours_trade,L,40,4,57619536525788,,,
1050,BX,181.52,2879085,2025-01-21T21:00:07Z,False,190596.00,,179.99,184.82,extended_hours_trade,L,40,4,57607016744732,,,
699,BX,181.52,2878035,2025-01-21T21:00:07Z,False,126882.48,,179.99,184.82,extended_hours_trade,L,40,4,57607015921238,,,
