size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
3542,CACI,564.14,240400,2025-11-03T22:00:15Z,False,1998183.88,average_price_trade,553.2,575.31,extended_hours_trade,L,2,1,0,,regular,
3307,CACI,564.14,236278,2025-11-03T21:00:28Z,False,1865610.98,prior_reference_price,541.25,0,extended_hours_trade,L,0,1,0,,regular,
1138,CACI,564.14,232971,2025-11-03T21:00:28Z,False,641991.32,prior_reference_price,541.25,0,extended_hours_trade,L,0,1,0,,regular,
214,CACI,564.14,231822,2025-11-03T21:00:28Z,False,120725.96,prior_reference_price,541.25,0,extended_hours_trade,L,0,1,0,,regular,
440,CACI,564.14,231487,2025-11-03T21:00:27Z,False,248221.60,prior_reference_price,541.25,0,extended_hours_trade,L,0,1,0,,regular,
200,CACI,564.345,199808,2025-11-03T20:59:35Z,False,112869.000,,564.06,564.78,,L,10,48,0,,regular,
205,CACI,564.06,199368,2025-11-03T20:59:35Z,False,115632.30,,564.06,564.78,,L,10,48,0,,regular,
200,CACI,564.65,189543,2025-11-03T20:57:35Z,False,112930.00,,564.25,565.05,,L,34,43,0,,regular,
200,CACI,564.65,189270,2025-11-03T20:57:34Z,False,112930.00,,564.25,565.05,,L,34,43,0,,regular,
200,CACI,564.34,186949,2025-11-03T20:56:42Z,False,112868.00,,563.9,565.25,,L,6,8,0,,regular,
320,CACI,565.0364,184357,2025-11-03T20:55:33Z,False,180811.6480,average_price_trade,563.9,565.59,,L,10,48,0,,regular,
349,CACI,565.15,180266,2025-11-03T20:54:11Z,False,197237.35,,564.43,565.15,,L,95,22,0,,regular,
200,CACI,562.295,152028,2025-11-03T20:21:33Z,False,112459.000,,561.44,563.61,,L,59,10,0,,regular,
240,CACI,561.565,143169,2025-11-03T20:21:31Z,False,134775.600,,561.42,561.76,,L,15,14,0,,regular,
200,CACI,560.69,139790,2025-11-03T20:13:01Z,False,112138.00,,560.07,561.3,,L,2,87,0,,regular,
200,CACI,560.69,139289,2025-11-03T20:11:04Z,False,112138.00,,560.07,561.45,,L,40,5,0,,regular,
280,CACI,560.69,132818,2025-11-03T20:01:35Z,False,156993.20,,560.07,561.25,,L,3,5,0,,regular,
700,CACI,560.09,132528,2025-11-03T20:01:35Z,False,392063.00,,560.07,561.25,,L,3,5,0,,regular,
200,CACI,563.1,120617,2025-11-03T19:40:00Z,False,112620.0,,562.51,563.42,,L,11,75,0,,regular,
200,CACI,563.1,120332,2025-11-03T19:39:48Z,False,112620.0,,562.51,563.42,,L,11,75,0,,regular,
200,CACI,563.105,119560,2025-11-03T19:38:21Z,False,112621.000,,562.51,563.42,,L,11,115,0,,regular,
190,CACI,560.83,113344,2025-11-03T19:11:45Z,False,106557.70,,560.37,562.02,,L,40,10,0,,regular,
448,CACI,562.86,103000,2025-11-03T18:59:34Z,False,252161.28,,562.12,563.7,,L,55,11,0,,regular,
200,CACI,562.68,100246,2025-11-03T18:52:16Z,False,112536.00,,562.1,563.26,,L,6,4,0,,regular,
186,CACI,562.545,99950,2025-11-03T18:52:11Z,False,104633.370,,562.1,562.69,,L,6,4,0,,regular,
181,CACI,562.8583,98182,2025-11-03T18:51:31Z,False,101877.3523,,562.87,563.65,,L,6,11,0,,regular,
277,CACI,564.2,92530,2025-11-03T18:25:20Z,False,156283.4,,562.88,564.4,,L,13,8,0,,regular,
200,CACI,563.62,84726,2025-11-03T18:03:39Z,False,112724.00,,562.49,563.62,,L,10,10,0,,regular,
200,CACI,562.66,73210,2025-11-03T17:16:44Z,False,112532.00,,560.92,562.67,,L,19,88,0,,regular,
424,CACI,559.86,66985,2025-11-03T17:09:52Z,False,237380.64,,558.93,560.16,,L,12,107,0,,regular,
200,CACI,559.88,64834,2025-11-03T16:55:50Z,False,111976.00,,559.13,559.94,,L,6,10,0,,regular,
240,CACI,560.09,58441,2025-11-03T16:38:46Z,False,134421.60,,558.93,560.4,,L,1,26,0,,regular,
200,CACI,555.55,39282,2025-11-03T15:56:19Z,False,111110.00,,554.99,555.75,,L,40,23,0,,regular,
200,CACI,553.62,33842,2025-11-03T15:38:50Z,False,110724.00,,551.19,554.22,,L,1,10,0,,regular,
186,CACI,552.665,33090,2025-11-03T15:37:53Z,False,102795.690,,551.17,553.17,,L,72,1,0,,regular,
200,CACI,551.5,31394,2025-11-03T15:37:38Z,False,110300.0,,551.17,553.17,,L,72,11,0,,regular,
500,CACI,551.5,30652,2025-11-03T15:37:38Z,False,275750.0,,551.17,553.17,,L,72,11,0,,regular,
240,CACI,552.51,26763,2025-11-03T15:31:24Z,False,132602.40,,550.01,552.51,,L,13,11,0,,regular,
182,CACI,553.9839,16212,2025-11-03T15:03:48Z,False,100825.0698,,553.93,559.14,,L,35,17,0,,regular,
188,CACI,557.2518,15408,2025-11-03T14:57:39Z,False,104763.3384,,554.67,559.14,,L,29,40,0,,regular,
200,CACI,556.1,14594,2025-11-03T14:55:54Z,False,111220.0,,551.72,556.68,,L,8,8,0,,regular,
200,CACI,554.7,13878,2025-11-03T14:54:56Z,False,110940.0,,551,555.55,,L,1,10,0,,regular,
438,CACI,562.31,2958,2025-11-03T14:30:17Z,False,246291.78,,559.25,563.9,,L,9,10,0,,regular,
200,CACI,563.865,2399,2025-11-03T14:30:08Z,False,112773.000,,559.25,570.67,,L,21,27,0,,regular,
