size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
70788,CAR,112.71,1220298,2025-05-19T20:09:11Z,False,7978515.48,average_price_trade,111.85,114,extended_hours_trade,L,4,13,58151144797713,,,
124212,CAR,112.71,1149510,2025-05-19T20:07:24Z,False,13999934.52,average_price_trade,111.85,114,extended_hours_trade,L,4,13,58044580758801,,,
914,CAR,112.71,1025298,2025-05-19T20:05:32Z,False,103016.94,,111.85,114,extended_hours_trade,L,4,13,57932329241658,,,
1021,CAR,112.715,1023889,2025-05-19T20:01:11Z,False,115082.015,prior_reference_price,111.85,113.80,extended_hours_trade,L,1,15,57671142390647,,,
1100,CAR,112.33,887742,2025-05-19T19:57:56Z,False,123563.00,,112.33,112.36,,L,411,1206,57476912325962,,,
1900,CAR,112.4092,866707,2025-05-19T19:56:55Z,False,213577.4800,average_price_trade,112.32,112.38,,L,90,893,57415638951448,derivative_priced,,
3200,CAR,112.3631,839162,2025-05-19T19:54:52Z,False,359561.9200,average_price_trade,112.37,112.50,,L,20,1,57292341264830,derivative_priced,,
20000,CAR,112.235,824168,2025-05-19T19:53:45Z,False,2244700.000,,112.17,112.30,,L,1202,100,57225078921038,,,
1200,CAR,112.555,728309,2025-05-19T19:43:42Z,False,135066.000,average_price_trade,112.54,112.67,,L,6,300,56622134735171,derivative_priced,,
1000,CAR,112.8301,570811,2025-05-19T18:42:32Z,False,112830.1000,,112.87,112.97,,L,25,106,52952639846158,,,
900,CAR,113.085,531489,2025-05-19T18:11:01Z,False,101776.500,,112.95,113.14,,L,50,241,51061960806587,,,
1000,CAR,112.80,512441,2025-05-19T17:54:02Z,False,112800.00,,112.80,112.98,,L,307,42,50042154747081,,,
1000,CAR,112.7442,506878,2025-05-19T17:51:20Z,False,112744.2000,,112.74,112.78,,L,25,200,49880708351802,,,
1000,CAR,112.6759,435728,2025-05-19T17:22:48Z,False,112675.9000,,112.55,112.79,,L,2,301,48168064454151,,,
1290,CAR,109.59,214194,2025-05-19T15:02:39Z,False,141371.10,,109.54,109.72,,L,40,302,39759939758813,,,
