size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
864,CASY,761.91,434889,2026-06-05T21:03:36Z,False,658290.24,prior_reference_price,750.55,761.9,extended_hours_trade,L,49,1,27444916838065,,regular,2026-06-05T21:03:36Z
174,CASY,761.91,433761,2026-06-05T20:00:44Z,False,132572.34,prior_reference_price,757,763.77,extended_hours_trade,L,50,46,27444913065732,,regular,2026-06-05T20:00:44Z
238,CASY,761.91,433587,2026-06-05T20:00:43Z,False,181334.58,prior_reference_price,757,763.77,extended_hours_trade,L,50,46,27444913064610,,regular,2026-06-05T20:00:43Z
282,CASY,761.91,433349,2026-06-05T20:00:41Z,False,214858.62,prior_reference_price,757,763.77,extended_hours_trade,L,50,46,27444913063086,,regular,2026-06-05T20:00:41Z
635,CASY,761.91,433067,2026-06-05T20:00:34Z,False,483812.85,prior_reference_price,757,763.77,extended_hours_trade,L,50,46,27444913056130,,regular,2026-06-05T20:00:34Z
145,CASY,761.91,432340,2026-06-05T20:00:32Z,False,110476.95,prior_reference_price,757,763.77,extended_hours_trade,L,50,46,27444913054000,,regular,2026-06-05T20:00:32Z
229,CASY,761.91,432138,2026-06-05T20:00:32Z,False,174477.39,prior_reference_price,757,763.77,extended_hours_trade,L,50,46,27444913053949,,regular,2026-06-05T20:00:32Z
2400,CASY,761.91,431870,2026-06-05T20:00:32Z,False,1828584.00,prior_reference_price,757,763.77,extended_hours_trade,L,50,46,27444913053943,,regular,2026-06-05T20:00:32Z
1218,CASY,761.91,429440,2026-06-05T20:00:24Z,False,928006.38,prior_reference_price,757,773.57,extended_hours_trade,L,1,46,27444913046098,,regular,2026-06-05T20:00:24Z
201,CASY,761.91,428222,2026-06-05T20:00:21Z,False,153143.91,prior_reference_price,757,773.57,extended_hours_trade,L,1,46,27444913043269,,regular,2026-06-05T20:00:21Z
132,CASY,761.91,346833,2026-06-05T20:00:00Z,False,100572.12,,759.87,762.21,extended_hours_trade,L,65,65,27444913022412,,regular,2026-06-05T20:00:00Z
235,CASY,761.58,335725,2026-06-05T19:59:09Z,False,178971.30,,761.42,761.74,,L,468,105,27444912970851,,regular,2026-06-05T19:59:09Z
200,CASY,761.575,334242,2026-06-05T19:59:08Z,False,152315.000,,761.42,761.74,,L,620,25,27444912969736,,regular,2026-06-05T19:59:08Z
198,CASY,761.88,324089,2026-06-05T19:58:09Z,False,150852.24,,761.65,762.34,,L,51,5,27444912910778,,regular,2026-06-05T19:58:09Z
160,CASY,761.6663,322574,2026-06-05T19:57:57Z,False,121866.6080,average_price_trade,761.41,762.34,,L,84,6,27444912899185,derivative_priced,regular,2026-06-05T19:57:57Z
240,CASY,761.9505,314074,2026-06-05T19:56:43Z,False,182868.1200,average_price_trade,759.99,760.55,,L,57,6,27444912825263,derivative_priced,regular,2026-06-05T19:56:43Z
280,CASY,761.1278,313330,2026-06-05T19:56:41Z,False,213115.7840,average_price_trade,759.99,760.55,,L,47,6,27444912823056,derivative_priced,regular,2026-06-05T19:56:41Z
153,CASY,762.6957,304083,2026-06-05T19:54:50Z,False,116692.4421,average_price_trade,761.82,762.24,,L,9,2,27444912712313,derivative_priced,regular,2026-06-05T19:54:50Z
240,CASY,763.4202,297073,2026-06-05T19:52:25Z,False,183220.8480,average_price_trade,762.58,763.48,,L,77,57,27444912566988,derivative_priced,regular,2026-06-05T19:52:25Z
262,CASY,763.6199,291166,2026-06-05T19:48:51Z,False,200068.4138,,763.12,763.56,,L,5,1,27444912353109,,regular,2026-06-05T19:48:51Z
390,CASY,763.93,286543,2026-06-05T19:44:36Z,False,297932.70,,763.62,764.07,,L,1,12,27444912097978,,regular,2026-06-05T19:44:36Z
146,CASY,763.61,285448,2026-06-05T19:44:08Z,False,111487.06,,763.3,763.62,,L,152,89,27444912069598,,regular,2026-06-05T19:44:08Z
280,CASY,764.405,281648,2026-06-05T19:41:06Z,False,214033.400,,764.22,764.79,,L,58,24,27444911888164,,regular,2026-06-05T19:41:06Z
261,CASY,764.31,268824,2026-06-05T19:26:45Z,False,199484.91,,763.82,764.8,,L,57,41,27444911026723,,regular,2026-06-05T19:26:45Z
140,CASY,764.76,258599,2026-06-05T19:15:00Z,False,107066.40,,764.37,765.56,,L,3,28,27444910321781,,regular,2026-06-05T19:15:00Z
142,CASY,765.03,247804,2026-06-05T19:08:59Z,False,108634.26,,764.52,765.12,,L,14,80,27444909960641,,regular,2026-06-05T19:08:59Z
271,CASY,766.12,246459,2026-06-05T19:08:55Z,False,207618.52,,765.1,767.2,,L,15,2,27444909957439,,regular,2026-06-05T19:08:55Z
200,CASY,766.125,245434,2026-06-05T19:08:46Z,False,153225.000,,765.1,767.21,,L,12,2,27444909947449,,regular,2026-06-05T19:08:46Z
179,CASY,764.373,240268,2026-06-05T19:05:38Z,False,136822.767,,764.37,766.28,,L,102,3,27444909760429,,regular,2026-06-05T19:05:38Z
160,CASY,765.015,233870,2026-06-05T18:55:55Z,False,122402.400,,764.53,765.52,,L,2,1,27444909176734,,regular,2026-06-05T18:55:55Z
131,CASY,765.215,214225,2026-06-05T18:29:47Z,False,100243.165,,765,765.61,,L,245,1,27444907608648,,regular,2026-06-05T18:29:47Z
200,CASY,765.83,211384,2026-06-05T18:25:58Z,False,153166.00,,765.33,765.67,,L,53,4,27444907380185,,regular,2026-06-05T18:25:58Z
164,CASY,766.09,206206,2026-06-05T18:18:09Z,False,125638.76,,765.81,766.73,,L,1,3,27444906910498,,regular,2026-06-05T18:18:09Z
150,CASY,765.795,203540,2026-06-05T18:12:57Z,False,114869.250,,765.31,766.32,,L,274,7,27444906599353,,regular,2026-06-05T18:12:57Z
200,CASY,765.815,196569,2026-06-05T17:59:24Z,False,153163.000,,765.41,766.22,,L,147,89,27444905785938,,regular,2026-06-05T17:59:24Z
177,CASY,766.77,190353,2026-06-05T17:49:40Z,False,135718.29,,765.97,766.82,,L,17,31,27444905201712,,regular,2026-06-05T17:49:40Z
133,CASY,767.3,186350,2026-06-05T17:41:29Z,False,102050.9,,767.04,768.59,,L,1,17,27444904710974,,regular,2026-06-05T17:41:29Z
160,CASY,763.1,173479,2026-06-05T17:21:34Z,False,122096.0,,762.75,763.47,,L,101,1,27444903516394,,regular,2026-06-05T17:21:34Z
193,CASY,763.9099,172730,2026-06-05T17:20:13Z,False,147434.6107,,763.12,763.91,,L,62,1,27444903435289,,regular,2026-06-05T17:20:13Z
250,CASY,763.32,172287,2026-06-05T17:19:08Z,False,190830.00,,762.74,763.74,,L,47,13,27444903369542,,regular,2026-06-05T17:19:08Z
