size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
887,CAT,719.44,1591070,2026-03-25T23:09:25Z,False,638143.28,,718.4,724.59,extended_hours_trade,L,12,15,25280260869531,,regular,2026-03-25T23:09:25Z
800,CAT,719,1590148,2026-03-25T22:46:02Z,False,575200,,718.5,719.43,extended_hours_trade,L,8,1,25280259467090,,regular,2026-03-25T22:46:02Z
263,CAT,719.04,1588561,2026-03-25T21:47:34Z,False,189107.52,prior_reference_price,719.01,723,extended_hours_trade,L,5,1,25280255958418,,regular,2026-03-25T21:47:34Z
1649,CAT,719.04,1587786,2026-03-25T20:19:01Z,False,1185696.96,prior_reference_price,719,724.59,extended_hours_trade,L,12,140,25280250645778,,regular,2026-03-25T20:19:01Z
256,CAT,719.04,1586011,2026-03-25T20:09:22Z,False,184074.24,average_price_trade,719,724.59,extended_hours_trade,L,12,140,25280250066709,,regular,2026-03-25T20:09:22Z
210,CAT,719.04,1585740,2026-03-25T20:04:48Z,False,150998.40,prior_reference_price,717.95,724.59,extended_hours_trade,L,12,15,25280249792677,,regular,2026-03-25T20:04:48Z
200,CAT,719.04,1585512,2026-03-25T20:02:34Z,False,143808.00,prior_reference_price,715.18,724.59,extended_hours_trade,L,12,30,25280249658401,,regular,2026-03-25T20:02:34Z
1517,CAT,719.04,1585192,2026-03-25T20:02:25Z,False,1090783.68,prior_reference_price,715.18,724.59,extended_hours_trade,L,12,30,25280249649621,,regular,2026-03-25T20:02:25Z
330,CAT,719.04,1583675,2026-03-25T20:02:23Z,False,237283.20,prior_reference_price,715.18,724.59,extended_hours_trade,L,12,30,25280249647961,,regular,2026-03-25T20:02:23Z
219,CAT,719.04,1583321,2026-03-25T20:01:56Z,False,157469.76,prior_reference_price,715.18,724.59,extended_hours_trade,L,12,30,25280249620664,,regular,2026-03-25T20:01:56Z
489,CAT,720.2924,1583102,2026-03-25T20:01:44Z,False,352222.9836,,715.18,724.59,extended_hours_trade,L,12,30,25280249608680,,regular,2026-03-25T20:01:44Z
290,CAT,719.04,1582613,2026-03-25T20:01:20Z,False,208521.60,prior_reference_price,715.18,724.59,extended_hours_trade,L,12,30,25280249584533,,regular,2026-03-25T20:01:20Z
320,CAT,719.04,1582323,2026-03-25T20:01:10Z,False,230092.80,prior_reference_price,715.18,724.59,extended_hours_trade,L,12,30,25280249574475,,regular,2026-03-25T20:01:10Z
925,CAT,719.04,1581977,2026-03-25T20:00:53Z,False,665112.00,prior_reference_price,715.18,724.59,extended_hours_trade,L,12,30,25280249557961,,regular,2026-03-25T20:00:53Z
2439,CAT,719.04,1580972,2026-03-25T20:00:35Z,False,1753738.56,prior_reference_price,715.18,724.59,extended_hours_trade,L,12,30,25280249540004,,regular,2026-03-25T20:00:35Z
285,CAT,719.04,1578352,2026-03-25T20:00:24Z,False,204926.40,prior_reference_price,715.18,724.59,extended_hours_trade,L,12,30,25280249528929,,regular,2026-03-25T20:00:24Z
252,CAT,719.04,1577891,2026-03-25T20:00:18Z,False,181198.08,prior_reference_price,715.18,724.59,extended_hours_trade,L,12,30,25280249522408,,regular,2026-03-25T20:00:18Z
1490,CAT,719.04,1577639,2026-03-25T20:00:17Z,False,1071369.60,prior_reference_price,715.18,724.59,extended_hours_trade,L,12,30,25280249521923,,regular,2026-03-25T20:00:17Z
482,CAT,719.04,1575936,2026-03-25T20:00:17Z,False,346577.28,prior_reference_price,715.18,724.59,extended_hours_trade,L,12,30,25280249521619,,regular,2026-03-25T20:00:17Z
416,CAT,719.04,1575454,2026-03-25T20:00:17Z,False,299120.64,prior_reference_price,715.18,724.59,extended_hours_trade,L,12,30,25280249521614,,regular,2026-03-25T20:00:17Z
3629,CAT,719.04,1574956,2026-03-25T20:00:17Z,False,2609396.16,prior_reference_price,715.18,724.59,extended_hours_trade,L,12,30,25280249521579,,regular,2026-03-25T20:00:17Z
149,CAT,719.04,1570974,2026-03-25T20:00:16Z,False,107136.96,prior_reference_price,715.18,724.59,extended_hours_trade,L,12,30,25280249521229,,regular,2026-03-25T20:00:16Z
142,CAT,719.04,1570726,2026-03-25T20:00:16Z,False,102103.68,prior_reference_price,715.18,724.59,extended_hours_trade,L,12,30,25280249521200,,regular,2026-03-25T20:00:16Z
1092,CAT,719.04,1570584,2026-03-25T20:00:16Z,False,785191.68,prior_reference_price,715.18,724.59,extended_hours_trade,L,12,30,25280249521196,,regular,2026-03-25T20:00:16Z
180,CAT,719.04,1569492,2026-03-25T20:00:16Z,False,129427.20,prior_reference_price,715.18,724.59,extended_hours_trade,L,12,30,25280249520410,,regular,2026-03-25T20:00:16Z
5191,CAT,719.04,1569302,2026-03-25T20:00:15Z,False,3732536.64,prior_reference_price,715.18,724.59,extended_hours_trade,L,12,30,25280249519722,,regular,2026-03-25T20:00:15Z
363,CAT,719.04,1564031,2026-03-25T20:00:15Z,False,261011.52,prior_reference_price,715.18,724.59,extended_hours_trade,L,12,30,25280249519645,,regular,2026-03-25T20:00:15Z
1339,CAT,719.04,1563664,2026-03-25T20:00:15Z,False,962794.56,prior_reference_price,715.18,724.59,extended_hours_trade,L,12,30,25280249519559,,regular,2026-03-25T20:00:15Z
200,CAT,719.04,1562076,2026-03-25T20:00:02Z,False,143808.00,,718.82,719.15,extended_hours_trade,L,40,1,25280249507130,,regular,2026-03-25T20:00:02Z
212,CAT,719.04,1561804,2026-03-25T20:00:02Z,False,152436.48,,718.82,719.15,extended_hours_trade,L,40,1,25280249507015,,regular,2026-03-25T20:00:02Z
