size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
458,CAT,840.87,2683142,2026-08-18T21:43:24Z,False,385118.46,prior_reference_price,843,841.5,extended_hours_trade,L,2,1,25280255709199,,regular,2026-08-18T21:43:24Z
1541,CAT,840.87,2682421,2026-08-18T21:19:10Z,False,1295780.67,prior_reference_price,843,841.5,extended_hours_trade,L,12,1,25280254254327,,regular,2026-08-18T21:19:09Z
6213,CAT,840.87,2680880,2026-08-18T21:18:52Z,False,5224325.31,prior_reference_price,843,841.5,extended_hours_trade,L,12,1,25280254236663,,regular,2026-08-18T21:18:52Z
500,CAT,841.0687,2674636,2026-08-18T21:13:16Z,False,420534.3500,,843,841,extended_hours_trade,L,12,5,25280253901093,,regular,2026-08-18T21:13:16Z
13065,CAT,840.87,2673919,2026-08-18T20:58:29Z,False,10985966.55,prior_reference_price,843,841,extended_hours_trade,L,12,5,25280253013961,,regular,2026-08-18T20:58:29Z
1256,CAT,840.87,2660854,2026-08-18T20:58:29Z,False,1056132.72,prior_reference_price,843,841,extended_hours_trade,L,12,5,25280253013955,,regular,2026-08-18T20:58:29Z
386,CAT,840.87,2658901,2026-08-18T20:23:59Z,False,324575.82,average_price_trade,843,841.89,extended_hours_trade,L,10,4,25280250943590,,regular,2026-08-18T20:23:57Z
461,CAT,840.87,2658495,2026-08-18T20:21:10Z,False,387641.07,prior_reference_price,844.5,841.24,extended_hours_trade,L,3,11,25280250774969,,regular,2026-08-18T20:21:10Z
1575,CAT,840.87,2657354,2026-08-18T20:08:02Z,False,1324370.25,prior_reference_price,844.5,840.87,extended_hours_trade,L,3,100,25280249986360,,regular,2026-08-18T20:08:02Z
317,CAT,840.9841,2655771,2026-08-18T20:06:32Z,False,266591.9597,,844.5,840.87,extended_hours_trade,L,3,100,25280249896513,,regular,2026-08-18T20:06:32Z
140,CAT,840.87,2655090,2026-08-18T20:00:24Z,False,117721.80,prior_reference_price,844.5,840.06,extended_hours_trade,L,3,1,25280249529026,,regular,2026-08-18T20:00:24Z
491,CAT,840.87,2653895,2026-08-18T20:00:24Z,False,412867.17,prior_reference_price,844.5,840.06,extended_hours_trade,L,3,1,25280249529025,,regular,2026-08-18T20:00:24Z
912,CAT,840.87,2654812,2026-08-18T20:00:24Z,False,766873.44,prior_reference_price,844.5,840.06,extended_hours_trade,L,3,1,25280249529025,,regular,2026-08-18T20:00:24Z
749,CAT,840.87,2653404,2026-08-18T20:00:24Z,False,629811.63,prior_reference_price,844.5,840.06,extended_hours_trade,L,3,1,25280249528716,,regular,2026-08-18T20:00:24Z
186,CAT,840.87,2652524,2026-08-18T20:00:23Z,False,156401.82,prior_reference_price,844.5,840.06,extended_hours_trade,L,3,1,25280249527858,,regular,2026-08-18T20:00:23Z
519,CAT,840.87,2652338,2026-08-18T20:00:23Z,False,436411.53,prior_reference_price,844.5,840.06,extended_hours_trade,L,3,1,25280249527622,,regular,2026-08-18T20:00:23Z
521,CAT,840.87,2651819,2026-08-18T20:00:23Z,False,438093.27,prior_reference_price,844.5,840.06,extended_hours_trade,L,3,1,25280249527619,,regular,2026-08-18T20:00:23Z
918,CAT,840.87,2651298,2026-08-18T20:00:22Z,False,771918.66,prior_reference_price,844.5,840.06,extended_hours_trade,L,3,1,25280249527246,,regular,2026-08-18T20:00:22Z
1039,CAT,840.87,2650380,2026-08-18T20:00:22Z,False,873663.93,prior_reference_price,844.5,840.06,extended_hours_trade,L,3,1,25280249526699,,regular,2026-08-18T20:00:22Z
3694,CAT,840.87,2649341,2026-08-18T20:00:22Z,False,3106173.78,prior_reference_price,844.5,840.06,extended_hours_trade,L,3,1,25280249526277,,regular,2026-08-18T20:00:22Z
9234,CAT,840.87,2645647,2026-08-18T20:00:21Z,False,7764593.58,prior_reference_price,844.5,840.06,extended_hours_trade,L,3,1,25280249525290,,regular,2026-08-18T20:00:21Z
123,CAT,840.87,2636341,2026-08-18T20:00:17Z,False,103427.01,prior_reference_price,844.5,840.06,extended_hours_trade,L,3,1,25280249521729,,regular,2026-08-18T20:00:17Z
3578,CAT,840.87,2636183,2026-08-18T20:00:17Z,False,3008632.86,prior_reference_price,844.5,840.06,extended_hours_trade,L,3,1,25280249521699,,regular,2026-08-18T20:00:17Z
3578,CAT,840.87,2632605,2026-08-18T20:00:17Z,False,3008632.86,prior_reference_price,844.5,840.06,extended_hours_trade,L,3,1,25280249521691,,regular,2026-08-18T20:00:17Z
394,CAT,840.87,2629027,2026-08-18T20:00:17Z,False,331302.78,prior_reference_price,844.5,840.06,extended_hours_trade,L,3,1,25280249521683,,regular,2026-08-18T20:00:17Z
321,CAT,840.87,2628053,2026-08-18T20:00:17Z,False,269919.27,prior_reference_price,844.5,840.06,extended_hours_trade,L,3,1,25280249521557,,regular,2026-08-18T20:00:17Z
3524,CAT,840.87,2627732,2026-08-18T20:00:17Z,False,2963225.88,prior_reference_price,844.5,840.06,extended_hours_trade,L,3,1,25280249521552,,regular,2026-08-18T20:00:17Z
1080,CAT,840.87,2624074,2026-08-18T20:00:17Z,False,908139.60,prior_reference_price,844.5,840.06,extended_hours_trade,L,3,1,25280249521525,,regular,2026-08-18T20:00:17Z
10071,CAT,840.87,2622994,2026-08-18T20:00:15Z,False,8468401.77,prior_reference_price,844.5,840.06,extended_hours_trade,L,3,1,25280249519384,,regular,2026-08-18T20:00:15Z
360,CAT,840.87,2612923,2026-08-18T20:00:04Z,False,302713.20,,850,840.06,extended_hours_trade,L,2,1,25280249509165,,regular,2026-08-18T20:00:02Z
1477,CAT,840.87,2610097,2026-08-18T20:00:02Z,False,1241964.99,,867,834,extended_hours_trade,L,10,20,25280249507010,,regular,2026-08-18T20:00:02Z
502,CAT,840.87,2610599,2026-08-18T20:00:02Z,False,422116.74,,867,834,extended_hours_trade,L,10,20,25280249507010,,regular,2026-08-18T20:00:02Z
477,CAT,840.87,2611076,2026-08-18T20:00:02Z,False,401094.99,,867,834,extended_hours_trade,L,10,20,25280249507010,,regular,2026-08-18T20:00:02Z
