size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
999,CAVA,130.75,1846494,2025-02-12T23:18:43Z,False,130619.25,,130,132,extended_hours_trade,L,4,50,65923398300868,,,
1000,CAVA,130.70,1843695,2025-02-12T21:37:11Z,False,130700.00,,129.50,130.70,extended_hours_trade,L,471,50,59831937949997,,,
1232,CAVA,130.30,1841178,2025-02-12T21:01:17Z,False,160529.60,prior_reference_price,129.50,131,extended_hours_trade,L,50,50,57677741777463,,,
885,CAVA,130.30,1839946,2025-02-12T21:00:47Z,False,115315.50,prior_reference_price,129.50,131,extended_hours_trade,L,50,50,57647606969055,,,
3156,CAVA,130.30,1837849,2025-02-12T21:00:17Z,False,411226.80,prior_reference_price,129.50,131,extended_hours_trade,L,50,50,57617067825980,,,
1300,CAVA,130.30,1834693,2025-02-12T21:00:17Z,False,169390.00,prior_reference_price,129.50,131,extended_hours_trade,L,50,50,57617064047449,,,
2730,CAVA,130.30,1833393,2025-02-12T21:00:17Z,False,355719.00,prior_reference_price,129.50,131,extended_hours_trade,L,50,50,57617058114548,,,
7461,CAVA,130.30,1829877,2025-02-12T21:00:06Z,False,972168.30,,129.50,131,extended_hours_trade,L,50,50,57606762403029,,,
1900,CAVA,130.3319,1655946,2025-02-12T20:59:10Z,False,247630.6100,,130.27,130.44,,L,68,54,57550079765255,,,
1250,CAVA,130.0701,1454185,2025-02-12T20:42:16Z,False,162587.6250,,130.07,130.15,,L,48,205,56536660483796,,,
950,CAVA,130.118,1452524,2025-02-12T20:42:10Z,False,123612.100,,130.07,130.15,,L,48,92,56530273821191,,,
900,CAVA,130.0768,1450842,2025-02-12T20:41:59Z,False,117069.1200,,130.07,130.20,,L,216,97,56519677863483,,,
1018,CAVA,130.1999,1448141,2025-02-12T20:41:17Z,False,132543.4982,,130.07,130.20,,L,216,87,56477585591474,,,
1100,CAVA,129.855,1403882,2025-02-12T20:31:52Z,False,142840.500,,129.79,129.95,,L,5,15,55912056744111,,,
900,CAVA,129.6369,1376664,2025-02-12T20:26:44Z,False,116673.2100,,129.56,129.67,,L,189,202,55604833894121,,,
2000,CAVA,129.87,1339737,2025-02-12T20:18:21Z,False,259740.00,,129.79,129.95,,L,233,204,55101304937386,,,
1100,CAVA,129.6755,1295094,2025-02-12T20:02:48Z,False,142643.0500,average_price_trade,129.64,129.83,,L,100,106,54168935514235,derivative_priced,,
798,CAVA,129.64,1292082,2025-02-12T20:02:27Z,False,103452.72,,129.44,129.64,,L,41,96,54147578180899,,,
1055,CAVA,129.73,1275374,2025-02-12T19:58:15Z,False,136865.15,,129.67,129.82,,L,45,2,53895493483160,,,
1160,CAVA,129.8398,1258801,2025-02-12T19:51:43Z,False,150614.1680,,129.76,129.94,,L,1,87,53503605053019,,,
1000,CAVA,129.96,1252224,2025-02-12T19:49:52Z,False,129960.00,,129.82,129.94,,L,1,203,53392411108769,,,
1727,CAVA,129.5234,1185731,2025-02-12T19:31:43Z,False,223686.9118,,129.33,129.53,,L,100,14,52303596984542,,,
1833,CAVA,129.61,1170160,2025-02-12T19:26:19Z,False,237575.13,,129.55,129.61,,L,1,217,51979223528974,,,
1000,CAVA,129.015,1124107,2025-02-12T19:13:14Z,False,129015.000,,129,129.07,,L,5,1,51194007587812,,,
1000,CAVA,129.015,1122905,2025-02-12T19:13:10Z,False,129015.000,,128.96,129.07,,L,5,112,51190183239829,,,
9100,CAVA,128.85,1098872,2025-02-12T19:04:25Z,False,1172535.00,,128.73,128.94,,L,2,12,50665593874729,,,
776,CAVA,128.915,1079787,2025-02-12T19:03:05Z,False,100038.040,,128.84,128.99,,L,114,93,50585965870286,,,
4757,CAVA,128.885,1070090,2025-02-12T19:02:50Z,False,613105.945,,128.79,128.98,,L,131,95,50570744684193,,,
1400,CAVA,128.88,1064218,2025-02-12T19:02:26Z,False,180432.00,,128.79,128.98,,L,131,89,50546049091203,,,
2000,CAVA,129.0999,1042534,2025-02-12T18:55:59Z,False,258199.8000,,128.96,129.10,,L,100,211,50159967335733,,,
2500,CAVA,129.02,1033821,2025-02-12T18:53:11Z,False,322550.00,,129.08,129.20,,L,116,14,49991934525901,,,
1000,CAVA,129.02,1027388,2025-02-12T18:52:03Z,False,129020.00,,129.15,129.26,,L,100,5,49923121354469,,,
1000,CAVA,129.3288,1011889,2025-02-12T18:49:05Z,False,129328.8000,,129.27,129.34,,L,194,95,49745404635102,,,
774,CAVA,129.2839,1008976,2025-02-12T18:47:37Z,False,100065.7386,,129.24,129.34,,L,294,87,49657311103503,,,
774,CAVA,129.2748,1008161,2025-02-12T18:47:13Z,False,100058.6952,,129.22,129.34,,L,294,87,49633930799242,,,
1549,CAVA,129.2176,999884,2025-02-12T18:46:14Z,False,200158.0624,,129.13,129.31,,L,100,96,49574443359537,,,
1549,CAVA,129.2172,997925,2025-02-12T18:46:02Z,False,200157.4428,,129.12,129.31,,L,100,131,49562293736602,,,
1548,CAVA,129.2703,994717,2025-02-12T18:45:49Z,False,200110.4244,,129.22,129.33,,L,122,20,49549499442092,,,
904,CAVA,129.28,991988,2025-02-12T18:45:37Z,False,116869.12,,129.25,129.36,,L,107,140,49537221521803,,,
1163,CAVA,129.3256,986673,2025-02-12T18:45:17Z,False,150405.6728,,129.26,129.36,,L,107,184,49517518669672,,,
1547,CAVA,129.3006,982139,2025-02-12T18:44:47Z,False,200028.0282,,129.24,129.36,,L,109,194,49487523980429,,,
8750,CAVA,129.27,941634,2025-02-12T18:22:17Z,False,1131112.50,,129.25,129.50,,L,1,2,48137104590111,,,
1295,CAVA,129.2513,931590,2025-02-12T18:21:18Z,False,167380.4335,,129.32,129.50,,L,1,6,48078990956187,,,
2500,CAVA,129.45,928246,2025-02-12T18:21:04Z,False,323625.00,,129.32,129.50,,L,1,6,48064519379816,,,
1500,CAVA,129.45,923674,2025-02-12T18:19:23Z,False,194175.00,,129.34,129.50,,L,1,45,47963273098767,,,
800,CAVA,129.3032,908211,2025-02-12T18:14:11Z,False,103442.5600,,129.13,129.36,,L,7,52,47651553273983,,,
995,CAVA,129.0839,906039,2025-02-12T18:12:36Z,False,128438.4805,,129.12,129.35,,L,6,20,47556938691893,,,
1100,CAVA,129.575,885946,2025-02-12T17:59:33Z,False,142532.500,,129.57,129.68,,L,100,1,46773957175637,,,
1500,CAVA,129.4447,878891,2025-02-12T17:54:54Z,False,194167.0500,,129.30,129.65,,L,77,1,46494532097760,,,
1227,CAVA,129.635,715159,2025-02-12T16:44:15Z,False,159062.145,,129.54,129.74,,L,12,10,42255006831043,,,
772,CAVA,129.6006,710880,2025-02-12T16:41:03Z,False,100051.6632,,129.49,129.74,,L,12,62,42063421735112,,,
1000,CAVA,129.475,693627,2025-02-12T16:35:46Z,False,129475.000,,129.36,129.57,,L,12,138,41746094030124,,,
1000,CAVA,129.10,676361,2025-02-12T16:32:35Z,False,129100.00,,129.02,129.16,,L,3,40,41555988255544,,,
900,CAVA,129.61,604089,2025-02-12T16:16:36Z,False,116649.00,,129.61,129.83,,L,46,258,40596643616909,,,
800,CAVA,129.61,604889,2025-02-12T16:16:36Z,False,103688.00,,129.61,129.83,,L,46,258,40596643684255,,,
1497,CAVA,129.35,597131,2025-02-12T16:16:06Z,False,193636.95,,129.43,129.66,,L,286,22,40566471239611,,,
1000,CAVA,129.47,592549,2025-02-12T16:13:59Z,False,129470.00,,129.49,129.70,,L,14,75,40439502880474,,,
800,CAVA,129.96,579236,2025-02-12T16:11:07Z,False,103968.00,,129.96,130.13,,L,108,210,40267931326738,,,
1001,CAVA,130.68,541377,2025-02-12T15:58:40Z,False,130810.68,,130.48,130.69,,L,39,300,39520787156680,,,
1000,CAVA,130.39,534781,2025-02-12T15:57:17Z,False,130390.00,,130.30,130.45,,L,32,116,39437543440192,,,
1000,CAVA,130.4213,533546,2025-02-12T15:57:09Z,False,130421.3000,,130.30,130.45,,L,32,116,39429884785778,,,
2867,CAVA,129.98,507614,2025-02-12T15:47:25Z,False,372652.66,,129.77,129.99,,L,300,213,38845885169531,,,
1200,CAVA,129.85,496611,2025-02-12T15:46:00Z,False,155820.00,,129.78,129.92,,L,200,120,38760150723497,,,
7800,CAVA,129,463152,2025-02-12T15:43:13Z,False,1006200,,129,129.18,,L,201,3,38593999169538,,,
2856,CAVA,129.30,429339,2025-02-12T15:41:04Z,False,369280.80,,129.25,129.49,,L,18,14,38464028493439,,,
1000,CAVA,129.49,390635,2025-02-12T15:34:21Z,False,129490.00,,129.22,129.50,,L,100,50,38061395049791,,,
879,CAVA,129.375,360086,2025-02-12T15:22:47Z,False,113720.625,,129.30,129.45,,L,100,320,37367218320680,,,
1000,CAVA,129.43,340852,2025-02-12T15:16:26Z,False,129430.00,,129.26,129.46,,L,4,16,36986314451602,,,
800,CAVA,129.25,279223,2025-02-12T15:05:03Z,False,103400.00,,129.18,129.44,,L,200,20,36303032034662,,,
2000,CAVA,129.46,277017,2025-02-12T15:03:56Z,False,258920.00,,129.10,129.46,,L,211,10,36236397615456,,,
857,CAVA,129.785,267138,2025-02-12T15:01:49Z,False,111225.745,,129.66,129.91,,L,313,18,36109861208570,,,
1000,CAVA,130.3736,257733,2025-02-12T14:59:56Z,False,130373.6000,,130.14,130.43,,L,52,20,35996479934975,,,
1153,CAVA,129.98,248615,2025-02-12T14:58:21Z,False,149866.94,,129.83,130.03,,L,105,9,35901818358085,,,
3100,CAVA,129.9171,226354,2025-02-12T14:55:33Z,False,402743.0100,,129.69,129.92,,L,200,1,35733609944769,,,
800,CAVA,129.185,197311,2025-02-12T14:49:18Z,False,103348.000,,129.01,129.55,,L,108,2,35358755524366,,,
803,CAVA,129.4377,192023,2025-02-12T14:47:45Z,False,103938.4731,,129.23,129.54,,L,123,16,35265695964698,,,
2000,CAVA,129.2401,179646,2025-02-12T14:45:27Z,False,258480.2000,,129.34,129.78,,L,1,58,35127778831216,,,
1010,CAVA,129.0601,167317,2025-02-12T14:44:43Z,False,130350.7010,,128.93,129.16,,L,300,1,35083206447854,,,
1000,CAVA,129.1122,137701,2025-02-12T14:37:48Z,False,129112.2000,,128.75,129.16,,L,20,131,34668657719069,,,
1000,CAVA,129.095,133751,2025-02-12T14:37:15Z,False,129095.000,,128.84,129.16,,L,20,1,34635214834085,,,
1000,CAVA,128.5343,110560,2025-02-12T14:32:34Z,False,128534.3000,,128.31,128.80,,L,2,90,34354592472131,,,
1000,CAVA,127.52,92540,2025-02-12T14:31:09Z,False,127520.00,,127.52,128.05,,L,2,300,34269845687146,,,
1630,CAVA,127.76,89942,2025-02-12T14:31:00Z,False,208248.80,,127.52,128.05,,L,2,200,34260049289725,,,
1500,CAVA,127.7739,79940,2025-02-12T14:30:55Z,False,191660.8500,,128.09,128.28,,L,100,2,34255249345243,,,
1277,CAVA,128.28,55911,2025-02-12T14:30:51Z,False,163813.56,,128.26,128.68,,L,2,19,34251823989726,,,
999,CAVA,128.02,29249,2025-02-12T14:12:54Z,False,127891.98,,125.47,128.37,extended_hours_trade,L,14,2,33174704407844,,,
900,CAVA,128.01,27291,2025-02-12T14:04:46Z,False,115209.00,,125.47,128.80,extended_hours_trade,L,600,2,32686239259276,,,
1373,CAVA,128.4701,22408,2025-02-12T13:54:34Z,False,176389.4473,,125.47,128.56,extended_hours_trade,L,14,2,32074494376974,,,
1000,CAVA,130.0001,8952,2025-02-12T13:31:24Z,False,130000.1000,,129.82,132,extended_hours_trade,L,4,100,30684585790451,,,
