size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
7158,CAVA,91.04,3053309,2026-04-28T20:00:25Z,False,651664.32,prior_reference_price,91.25,89.75,extended_hours_trade,L,25,25,20121993807196,,regular,2026-04-28T20:00:25Z
6975,CAVA,91.04,3046151,2026-04-28T20:00:25Z,False,635004.00,prior_reference_price,91.25,89.75,extended_hours_trade,L,25,25,20121993807187,,regular,2026-04-28T20:00:25Z
7638,CAVA,90.295,2402246,2026-04-28T19:56:39Z,False,689673.210,,90.33,90.26,,L,279,367,20121993580970,,regular,2026-04-28T19:56:39Z
1600,CAVA,89.9685,2327063,2026-04-28T19:55:30Z,False,143949.6000,average_price_trade,90.27,90.21,,L,333,104,20121993511829,derivative_priced,regular,2026-04-28T19:55:30Z
2250,CAVA,89.8497,2161323,2026-04-28T19:50:30Z,False,202161.8250,average_price_trade,89.66,89.61,,L,147,335,20121993212016,derivative_priced,regular,2026-04-28T19:50:30Z
1350,CAVA,89.8716,1957447,2026-04-28T19:38:37Z,False,121326.6600,average_price_trade,89.92,89.85,,L,102,29,20121992499719,,regular,2026-04-28T19:38:37Z
2400,CAVA,89.8,1946885,2026-04-28T19:37:45Z,False,215520.0,,89.84,89.76,,L,12,50,20121992447058,,regular,2026-04-28T19:37:45Z
1500,CAVA,89.93,1926239,2026-04-28T19:35:57Z,False,134895.00,,90.11,89.88,,L,43,59,20121992339157,,regular,2026-04-28T19:35:57Z
1200,CAVA,90.05,1871742,2026-04-28T19:32:32Z,False,108060.00,,90.04,90,,L,21,1202,20121992134643,,regular,2026-04-28T19:32:32Z
1437,CAVA,90.6814,1808793,2026-04-28T19:28:25Z,False,130309.1718,average_price_trade,90.64,90.55,,L,13,92,20121991886780,derivative_priced,regular,2026-04-28T19:28:25Z
1106,CAVA,90.695,1794448,2026-04-28T19:26:42Z,False,100308.670,,90.73,90.68,,L,247,36,20121991784123,,regular,2026-04-28T19:26:42Z
