size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
1250,CBOE,300.05,1634972,2026-07-30T22:13:05Z,False,375062.50,,300.05,290,extended_hours_trade,L,3,20,32817925094141,,regular,2026-07-30T22:13:05Z
1334,CBOE,296.52,1633504,2026-07-30T21:55:31Z,False,395557.68,,300.05,290,extended_hours_trade,L,3,20,32817924040515,,regular,2026-07-30T21:55:31Z
7916,CBOE,296.52,1631984,2026-07-30T20:55:29Z,False,2347252.32,average_price_trade,300.05,290,extended_hours_trade,L,3,20,32817920438688,,regular,2026-07-30T20:55:29Z
1772,CBOE,296.52,1624039,2026-07-30T20:32:33Z,False,525433.44,prior_reference_price,323.47,290,extended_hours_trade,L,40,20,32817919062539,,regular,2026-07-30T20:32:33Z
340,CBOE,296.52,1619783,2026-07-30T20:00:01Z,False,100816.80,,298.43,297.82,extended_hours_trade,L,40,35,32817917109957,,regular,2026-07-30T20:00:00Z
680,CBOE,296.52,1619402,2026-07-30T20:00:01Z,False,201633.60,,298.43,297.82,extended_hours_trade,L,40,35,32817917109900,,regular,2026-07-30T20:00:00Z
1098,CBOE,296.52,1618486,2026-07-30T20:00:00Z,False,325578.96,,298.43,297.82,extended_hours_trade,L,40,35,32817917109208,,regular,2026-07-30T20:00:00Z
641,CBOE,296.52,1616791,2026-07-30T20:00:00Z,False,190069.32,,298.43,297.82,extended_hours_trade,L,40,35,32817917109194,,regular,2026-07-30T20:00:00Z
352,CBOE,297.7406,1419377,2026-07-30T19:59:39Z,False,104804.6912,average_price_trade,298.43,298.07,,L,313,22,32817917088161,derivative_priced,regular,2026-07-30T19:59:39Z
560,CBOE,297.855,1409389,2026-07-30T19:59:30Z,False,166798.800,,298.42,297.85,,L,12,2,32817917079256,,regular,2026-07-30T19:59:30Z
1000,CBOE,297.64,1396196,2026-07-30T19:59:14Z,False,297640.00,,298.55,297.64,,L,10,98,32817917063595,,regular,2026-07-30T19:59:14Z
503,CBOE,298.2,1318846,2026-07-30T19:57:43Z,False,149994.6,,298.45,297.95,,L,84,41,32817916972075,,regular,2026-07-30T19:57:43Z
400,CBOE,298.61,1275896,2026-07-30T19:55:43Z,False,119444.00,,299.03,298.6,,2,68,120,32817916851891,,regular,2026-07-30T19:55:43Z
800,CBOE,298.64,1275438,2026-07-30T19:55:43Z,False,238912.00,,299.03,298.6,,L,68,120,32817916851884,,regular,2026-07-30T19:55:43Z
697,CBOE,298.635,1243855,2026-07-30T19:54:33Z,False,208148.595,,298.84,298.43,,L,259,54,32817916782270,,regular,2026-07-30T19:54:33Z
400,CBOE,299.2,1234237,2026-07-30T19:53:39Z,False,119680.0,,299.04,298.61,,L,204,43,32817916728706,,regular,2026-07-30T19:53:39Z
1050,CBOE,299.4275,1230816,2026-07-30T19:53:30Z,False,314398.8750,average_price_trade,299.25,298.99,,L,319,40,32817916718888,derivative_priced,regular,2026-07-30T19:53:30Z
1078,CBOE,299.3559,1227742,2026-07-30T19:53:01Z,False,322705.6602,average_price_trade,299.43,298.82,,L,5,43,32817916690150,derivative_priced,regular,2026-07-30T19:53:01Z
420,CBOE,299.1811,1225852,2026-07-30T19:52:51Z,False,125656.0620,average_price_trade,299.63,299.24,,L,221,41,32817916680529,derivative_priced,regular,2026-07-30T19:52:51Z
360,CBOE,299.63,1223531,2026-07-30T19:52:36Z,False,107866.80,,299.63,299,,L,15,5,32817916664939,,regular,2026-07-30T19:52:36Z
400,CBOE,299.14,1215657,2026-07-30T19:52:06Z,False,119656.00,,299.32,299.11,,L,50,2,32817916635703,,regular,2026-07-30T19:52:06Z
400,CBOE,299.14,1215157,2026-07-30T19:52:06Z,False,119656.00,,299.32,299.11,,L,50,2,32817916635702,,regular,2026-07-30T19:52:06Z
339,CBOE,299.5602,1214303,2026-07-30T19:52:05Z,False,101550.9078,average_price_trade,299.32,299.11,,L,50,2,32817916634207,derivative_priced,regular,2026-07-30T19:52:05Z
450,CBOE,299.1085,1213593,2026-07-30T19:51:50Z,False,134598.8250,average_price_trade,299.39,299.07,,L,46,3,32817916619067,derivative_priced,regular,2026-07-30T19:51:50Z
379,CBOE,298.865,1191865,2026-07-30T19:48:26Z,False,113269.835,,299.26,298.53,,L,100,40,32817916415524,,regular,2026-07-30T19:48:26Z
400,CBOE,298.865,1191454,2026-07-30T19:48:26Z,False,119546.000,,299.26,298.53,,L,100,40,32817916415513,,regular,2026-07-30T19:48:26Z
400,CBOE,298.865,1191054,2026-07-30T19:48:26Z,False,119546.000,,299.26,298.53,,L,100,40,32817916415507,,regular,2026-07-30T19:48:26Z
400,CBOE,298.87,1190428,2026-07-30T19:48:26Z,False,119548.00,,299.26,298.53,,L,100,40,32817916415496,,regular,2026-07-30T19:48:26Z
400,CBOE,298.87,1190028,2026-07-30T19:48:26Z,False,119548.00,,299.26,298.53,,L,100,40,32817916415485,,regular,2026-07-30T19:48:26Z
400,CBOE,298.87,1189302,2026-07-30T19:48:26Z,False,119548.00,,299.26,298.53,,L,100,40,32817916415474,,regular,2026-07-30T19:48:26Z
400,CBOE,298.89,1187946,2026-07-30T19:48:26Z,False,119556.00,,299.26,298.38,,L,100,4,32817916415403,,regular,2026-07-30T19:48:26Z
400,CBOE,298.91,1182484,2026-07-30T19:48:26Z,False,119564.00,,299.3,298.52,,L,4,40,32817916415131,,regular,2026-07-30T19:48:26Z
400,CBOE,299.22,1181490,2026-07-30T19:48:26Z,False,119688.00,,299.4,298.67,,L,4,40,32817916415104,,regular,2026-07-30T19:48:26Z
5000,CBOE,298.61,1179517,2026-07-30T19:48:26Z,False,1493050.00,,299.4,298.67,,L,4,40,32817916415089,,regular,2026-07-30T19:48:26Z
400,CBOE,298.57,1172603,2026-07-30T19:48:04Z,False,119428.00,,298.63,298.47,,L,80,1,32817916393707,,regular,2026-07-30T19:48:04Z
540,CBOE,299.0707,1149716,2026-07-30T19:43:30Z,False,161498.1780,average_price_trade,298.99,298.72,,L,40,50,32817916119112,derivative_priced,regular,2026-07-30T19:43:30Z
592,CBOE,298.815,1147750,2026-07-30T19:43:16Z,False,176898.480,,298.91,298.72,,L,2,81,32817916104868,,regular,2026-07-30T19:43:16Z
522,CBOE,299.14,1141436,2026-07-30T19:42:51Z,False,156151.08,,299.23,298.92,,L,120,96,32817916080044,,regular,2026-07-30T19:42:51Z
390,CBOE,299.6989,1129258,2026-07-30T19:40:40Z,False,116882.5710,average_price_trade,299.24,299,,L,40,40,32817915949588,derivative_priced,regular,2026-07-30T19:40:40Z
400,CBOE,299.235,1125117,2026-07-30T19:39:55Z,False,119694.000,,299.37,299.1,,L,21,33,32817915904364,,regular,2026-07-30T19:39:55Z
1576,CBOE,299.235,1124659,2026-07-30T19:39:55Z,False,471594.360,,299.37,299.1,,L,21,33,32817915904256,,regular,2026-07-30T19:39:55Z
1690,CBOE,299.89,1069404,2026-07-30T19:25:14Z,False,506814.10,,300.02,299.88,,L,40,38,32817915023660,,regular,2026-07-30T19:25:14Z
1687,CBOE,299.9133,1054541,2026-07-30T19:20:12Z,False,505953.7371,,300.2,299.85,,L,100,5,32817914721017,,regular,2026-07-30T19:20:12Z
360,CBOE,300.85,1035531,2026-07-30T19:13:07Z,False,108306.00,,300.85,300.72,,L,40,4,32817914295987,,regular,2026-07-30T19:13:07Z
360,CBOE,300.56,1011530,2026-07-30T19:04:05Z,False,108201.60,,300.63,300.54,,L,3,1,32817913754015,,regular,2026-07-30T19:04:05Z
573,CBOE,300.42,997773,2026-07-30T18:58:28Z,False,172140.66,,300.79,300.42,,L,110,1,32817913417682,,regular,2026-07-30T18:58:28Z
760,CBOE,300.16,957269,2026-07-30T18:50:03Z,False,228121.60,,300.06,299.97,,L,1,34,32817912912085,,regular,2026-07-30T18:50:03Z
880,CBOE,300.16,956393,2026-07-30T18:50:03Z,False,264140.80,,300.06,299.97,,L,1,34,32817912912082,,regular,2026-07-30T18:50:03Z
753,CBOE,299.885,954088,2026-07-30T18:48:44Z,False,225813.405,,299.99,299.72,,L,46,80,32817912833497,,regular,2026-07-30T18:48:44Z
408,CBOE,300.05,944544,2026-07-30T18:43:27Z,False,122420.40,,300.17,300.05,,L,40,104,32817912515774,,regular,2026-07-30T18:43:27Z
1152,CBOE,300.0014,941854,2026-07-30T18:43:09Z,False,345601.6128,,300.05,299.87,,L,45,115,32817912497906,,regular,2026-07-30T18:43:09Z
551,CBOE,300,936699,2026-07-30T18:40:15Z,False,165300,,300.11,300.01,,L,40,20,32817912324323,,regular,2026-07-30T18:40:15Z
363,CBOE,299.9099,931958,2026-07-30T18:39:20Z,False,108867.2937,,299.91,299.7,,L,56,2,32817912269150,,regular,2026-07-30T18:39:20Z
346,CBOE,299.8364,929093,2026-07-30T18:38:18Z,False,103743.3944,average_price_trade,299.87,299.68,,L,43,13,32817912207559,,regular,2026-07-30T18:38:18Z
1005,CBOE,299.8699,928691,2026-07-30T18:38:01Z,False,301369.2495,,299.87,299.68,,L,43,13,32817912190689,,regular,2026-07-30T18:38:01Z
393,CBOE,299.72,906306,2026-07-30T18:23:04Z,False,117789.96,,299.73,299.64,,L,40,316,32817911292965,,regular,2026-07-30T18:23:04Z
545,CBOE,299.72,906851,2026-07-30T18:23:04Z,False,163347.40,,299.73,299.64,,L,40,316,32817911292965,,regular,2026-07-30T18:23:04Z
674,CBOE,299.72,907982,2026-07-30T18:23:04Z,False,202011.28,,299.73,299.64,,L,40,316,32817911292965,,regular,2026-07-30T18:23:04Z
920,CBOE,299.745,902049,2026-07-30T18:23:04Z,False,275765.400,,299.77,299.72,,L,49,1177,32817911292921,,regular,2026-07-30T18:23:04Z
743,CBOE,299.74,899654,2026-07-30T18:23:01Z,False,222706.82,,299.77,299.72,,L,49,1077,32817911290047,,regular,2026-07-30T18:23:01Z
897,CBOE,299.735,894880,2026-07-30T18:23:01Z,False,268862.295,,299.77,299.72,,L,49,1077,32817911290035,,regular,2026-07-30T18:23:01Z
600,CBOE,299.8,890266,2026-07-30T18:22:16Z,False,179880.0,,299.77,299.63,,L,104,1502,32817911245404,,regular,2026-07-30T18:22:16Z
510,CBOE,299.86,886590,2026-07-30T18:21:43Z,False,152928.60,,299.85,299.68,,L,64,1,32817911211764,,regular,2026-07-30T18:21:43Z
440,CBOE,299.83,883954,2026-07-30T18:21:39Z,False,131925.20,,299.85,299.8,,L,2,970,32817911208426,,regular,2026-07-30T18:21:39Z
600,CBOE,299.795,882733,2026-07-30T18:21:36Z,False,179877.000,,299.84,299.75,,L,67,40,32817911205288,,regular,2026-07-30T18:21:36Z
600,CBOE,299.905,877845,2026-07-30T18:21:32Z,False,179943.000,,299.97,299.83,,L,510,2,32817911201720,,regular,2026-07-30T18:21:32Z
360,CBOE,299.905,876498,2026-07-30T18:21:32Z,False,107965.800,,299.97,299.83,,L,510,2,32817911201717,,regular,2026-07-30T18:21:32Z
640,CBOE,299.905,877138,2026-07-30T18:21:32Z,False,191939.200,,299.97,299.83,,L,510,2,32817911201717,,regular,2026-07-30T18:21:32Z
600,CBOE,299.97,875604,2026-07-30T18:21:32Z,False,179982.00,,299.97,299.83,,L,510,2,32817911200834,,regular,2026-07-30T18:21:32Z
400,CBOE,300.01,870365,2026-07-30T18:21:04Z,False,120004.00,,300.18,299.82,,L,41,40,32817911172964,,regular,2026-07-30T18:21:04Z
575,CBOE,299.95,862685,2026-07-30T18:20:57Z,False,172471.25,,300.15,299.9,,L,86,418,32817911165973,,regular,2026-07-30T18:20:57Z
366,CBOE,299.93,860495,2026-07-30T18:20:57Z,False,109774.38,,300.15,299.9,,L,86,418,32817911165959,,regular,2026-07-30T18:20:57Z
366,CBOE,299.93,857604,2026-07-30T18:20:57Z,False,109774.38,,300.15,299.9,,L,86,418,32817911165958,,regular,2026-07-30T18:20:57Z
1611,CBOE,299.88,860026,2026-07-30T18:20:57Z,False,483106.68,,300.15,299.9,,L,86,418,32817911165958,,regular,2026-07-30T18:20:57Z
600,CBOE,300,853362,2026-07-30T18:20:57Z,False,180000,,300.15,299.9,,L,86,418,32817911165957,,regular,2026-07-30T18:20:57Z
366,CBOE,299.93,856688,2026-07-30T18:20:57Z,False,109774.38,,300.15,299.9,,L,86,418,32817911165957,,regular,2026-07-30T18:20:57Z
426,CBOE,300,850206,2026-07-30T18:20:51Z,False,127800,,300.15,299.85,,L,3,2,32817911160250,,regular,2026-07-30T18:20:51Z
462,CBOE,300,842290,2026-07-30T18:14:23Z,False,138600,,300.31,299.73,,L,40,43,32817910772627,,regular,2026-07-30T18:14:23Z
915,CBOE,299.9,807167,2026-07-30T18:03:58Z,False,274408.5,,299.89,299.46,,L,43,37,32817910147082,intermarket_sweep,regular,2026-07-30T18:03:58Z
920,CBOE,299.695,802771,2026-07-30T18:03:45Z,False,275719.400,,299.89,299.46,,L,43,37,32817910133916,,regular,2026-07-30T18:03:45Z
341,CBOE,299.7,801820,2026-07-30T18:03:34Z,False,102197.7,,299.91,299.46,,L,18,37,32817910123602,,regular,2026-07-30T18:03:34Z
600,CBOE,299.9,801023,2026-07-30T18:03:34Z,False,179940.0,,300.16,299.8,,L,20,40,32817910123161,,regular,2026-07-30T18:03:34Z
600,CBOE,299.945,797579,2026-07-30T18:03:34Z,False,179967.000,,300.1,299.99,,L,21,2,32817910123094,,regular,2026-07-30T18:03:34Z
600,CBOE,299.95,793978,2026-07-30T18:03:34Z,False,179970.00,,300.1,299.99,,L,21,2,32817910123065,,regular,2026-07-30T18:03:34Z
600,CBOE,299.965,790973,2026-07-30T18:03:34Z,False,179979.000,,300.1,299.99,,L,21,2,32817910123062,,regular,2026-07-30T18:03:34Z
600,CBOE,299.985,787479,2026-07-30T18:03:34Z,False,179991.000,,300.1,299.99,,L,21,2,32817910123061,,regular,2026-07-30T18:03:34Z
840,CBOE,300.17,783184,2026-07-30T18:03:34Z,False,252142.80,,300.1,299.99,,L,21,2,32817910123058,,regular,2026-07-30T18:03:34Z
600,CBOE,300.17,781175,2026-07-30T18:03:34Z,False,180102.00,,300.1,299.99,,L,21,2,32817910123057,,regular,2026-07-30T18:03:34Z
474,CBOE,300.36,766603,2026-07-30T17:57:03Z,False,142370.64,,300.4,300.23,,L,45,5,32817909732076,,regular,2026-07-30T17:57:03Z
400,CBOE,300.12,755089,2026-07-30T17:54:07Z,False,120048.00,,300.24,299.94,,L,6,10,32817909555791,,regular,2026-07-30T17:54:07Z
460,CBOE,300,752984,2026-07-30T17:52:37Z,False,138000,,300.15,299.94,,L,29,10,32817909466455,,regular,2026-07-30T17:52:37Z
437,CBOE,299.93,751925,2026-07-30T17:51:57Z,False,131069.41,,300.15,299.94,,L,29,10,32817909425812,,regular,2026-07-30T17:51:56Z
400,CBOE,300.525,725606,2026-07-30T17:37:08Z,False,120210.000,,300.6,300.45,,L,2,84,32817908537557,,regular,2026-07-30T17:37:08Z
600,CBOE,299.99,702407,2026-07-30T17:29:43Z,False,179994.00,,300.1,299.98,,L,83,40,32817908092701,,regular,2026-07-30T17:29:43Z
1232,CBOE,300.185,688974,2026-07-30T17:24:43Z,False,369827.920,,300.32,300.05,,L,6,41,32817907792130,,regular,2026-07-30T17:24:43Z
400,CBOE,299.99,671889,2026-07-30T17:18:29Z,False,119996.00,,300.37,299.98,,L,84,691,32817907418704,,regular,2026-07-30T17:18:29Z
600,CBOE,300,668364,2026-07-30T17:17:37Z,False,180000,,300.37,299.83,,L,84,602,32817907366681,,regular,2026-07-30T17:17:37Z
600,CBOE,300,666824,2026-07-30T17:17:37Z,False,180000,,300.37,299.83,,L,84,602,32817907366680,,regular,2026-07-30T17:17:37Z
440,CBOE,300.215,659183,2026-07-30T17:15:43Z,False,132094.600,,300.45,299.9,,L,60,40,32817907252441,,regular,2026-07-30T17:15:43Z
600,CBOE,299.97,657399,2026-07-30T17:15:43Z,False,179982.00,,300.45,299.9,,L,60,40,32817907252394,,regular,2026-07-30T17:15:43Z
344,CBOE,300.27,651932,2026-07-30T17:14:15Z,False,103292.88,,300.46,300,,L,515,4,32817907164184,,regular,2026-07-30T17:14:15Z
400,CBOE,299.91,646033,2026-07-30T17:13:54Z,False,119964.00,,300.32,299.9,,2,40,1,32817907142956,,regular,2026-07-30T17:13:54Z
600,CBOE,300.085,645633,2026-07-30T17:13:54Z,False,180051.000,,300.32,299.9,,2,40,1,32817907142940,,regular,2026-07-30T17:13:54Z
800,CBOE,299.93,644872,2026-07-30T17:13:54Z,False,239944.00,,300.32,299.9,,L,40,1,32817907142933,,regular,2026-07-30T17:13:54Z
358,CBOE,300.72,623245,2026-07-30T16:59:56Z,False,107657.76,,300.85,300.57,,L,40,40,32817906305290,,regular,2026-07-30T16:59:56Z
479,CBOE,300.62,612973,2026-07-30T16:55:20Z,False,143996.98,,301.01,300.62,,L,1,80,32817906029198,,regular,2026-07-30T16:55:20Z
435,CBOE,300.2324,597878,2026-07-30T16:46:50Z,False,130601.0940,average_price_trade,300.24,300.04,,L,14,5,32817905518759,,regular,2026-07-30T16:46:50Z
412,CBOE,300.07,570197,2026-07-30T16:24:18Z,False,123628.84,,300.31,300.09,,L,123,1,32817904167211,,regular,2026-07-30T16:24:18Z
380,CBOE,300.3819,559836,2026-07-30T16:16:47Z,False,114145.1220,average_price_trade,300.57,300.29,,L,40,6,32817903715962,,regular,2026-07-30T16:16:47Z
364,CBOE,300.32,549927,2026-07-30T16:14:16Z,False,109316.48,,300.49,300.17,,L,32,3,32817903565370,,regular,2026-07-30T16:14:16Z
400,CBOE,300.3669,545080,2026-07-30T16:09:12Z,False,120146.7600,average_price_trade,300.47,300.08,,L,5,43,32817903260799,,regular,2026-07-30T16:09:12Z
360,CBOE,300.62,529742,2026-07-30T16:02:13Z,False,108223.20,,300.75,300.62,,L,2,151,32817902842535,,regular,2026-07-30T16:02:13Z
475,CBOE,300.62,530297,2026-07-30T16:02:13Z,False,142794.50,,300.75,300.62,,L,2,151,32817902842535,,regular,2026-07-30T16:02:13Z
420,CBOE,300.43,523314,2026-07-30T15:59:22Z,False,126180.60,,300.72,300.36,,L,60,43,32817902671386,,regular,2026-07-30T15:59:22Z
600,CBOE,300.24,508920,2026-07-30T15:56:28Z,False,180144.00,,300.48,300,,L,41,3,32817902497243,,regular,2026-07-30T15:56:28Z
400,CBOE,300.24,506960,2026-07-30T15:56:28Z,False,120096.00,,300.48,300,,L,41,3,32817902497233,,regular,2026-07-30T15:56:28Z
513,CBOE,300.23,498449,2026-07-30T15:54:19Z,False,154017.99,,300.33,299.99,,L,1,45,32817902368317,,regular,2026-07-30T15:54:19Z
400,CBOE,300.12,495282,2026-07-30T15:54:05Z,False,120048.00,,300.33,300.12,,L,1,116,32817902354314,,regular,2026-07-30T15:54:05Z
573,CBOE,300.12,496058,2026-07-30T15:54:05Z,False,171968.76,,300.33,300.12,,L,1,116,32817902354314,,regular,2026-07-30T15:54:05Z
365,CBOE,300.16,492034,2026-07-30T15:52:05Z,False,109558.40,,300.16,299.76,,L,45,3,32817902233807,,regular,2026-07-30T15:52:05Z
636,CBOE,299.82,480987,2026-07-30T15:48:46Z,False,190685.52,,299.93,299.77,,L,10,800,32817902035090,,regular,2026-07-30T15:48:46Z
600,CBOE,299.935,472435,2026-07-30T15:48:39Z,False,179961.000,,299.93,299.77,,L,7,801,32817902028441,,regular,2026-07-30T15:48:39Z
372,CBOE,299.955,469751,2026-07-30T15:48:39Z,False,111583.260,,299.93,299.77,,L,23,801,32817902028416,,regular,2026-07-30T15:48:39Z
374,CBOE,299.955,468470,2026-07-30T15:48:39Z,False,112183.170,,299.93,299.77,,L,23,801,32817902028390,,regular,2026-07-30T15:48:39Z
360,CBOE,300.47,452562,2026-07-30T15:40:12Z,False,108169.20,,300.47,299.82,,L,61,4,32817901521660,,regular,2026-07-30T15:40:12Z
1500,CBOE,300.13,444273,2026-07-30T15:40:07Z,False,450195.00,,300.1,299.79,,L,1,228,32817901515865,,regular,2026-07-30T15:40:07Z
355,CBOE,299.88,439817,2026-07-30T15:40:07Z,False,106457.40,,300.1,299.79,,L,1,228,32817901515858,,regular,2026-07-30T15:40:07Z
338,CBOE,299.91,437312,2026-07-30T15:40:07Z,False,101369.58,,300.1,299.79,,L,1,228,32817901515836,,regular,2026-07-30T15:40:07Z
339,CBOE,300.12,432291,2026-07-30T15:40:07Z,False,101740.68,,300.1,299.79,,L,1,228,32817901515831,,regular,2026-07-30T15:40:07Z
380,CBOE,300.145,431014,2026-07-30T15:40:07Z,False,114055.100,,300.1,299.79,,L,1,228,32817901515827,,regular,2026-07-30T15:40:07Z
396,CBOE,300.0072,425215,2026-07-30T15:36:51Z,False,118802.8512,average_price_trade,300.14,299.77,,L,41,2,32817901320076,,regular,2026-07-30T15:36:51Z
458,CBOE,299.355,391591,2026-07-30T15:25:52Z,False,137104.590,,299.58,299.03,,L,20,40,32817900660890,,regular,2026-07-30T15:25:52Z
560,CBOE,299.795,386622,2026-07-30T15:25:48Z,False,167885.200,,300.09,299.33,,L,42,39,32817900656816,,regular,2026-07-30T15:25:48Z
600,CBOE,299.795,386062,2026-07-30T15:25:47Z,False,179877.000,,300.18,299.33,,L,20,39,32817900656603,,regular,2026-07-30T15:25:47Z
1500,CBOE,299.77,384483,2026-07-30T15:25:47Z,False,449655.00,,300.18,299.44,,L,60,74,32817900656448,,regular,2026-07-30T15:25:47Z
600,CBOE,300.145,381976,2026-07-30T15:25:47Z,False,180087.000,,300.18,299.44,,L,60,74,32817900656409,,regular,2026-07-30T15:25:47Z
400,CBOE,300.145,380117,2026-07-30T15:25:47Z,False,120058.000,,300.18,299.44,,L,60,74,32817900656403,,regular,2026-07-30T15:25:47Z
454,CBOE,300,367459,2026-07-30T15:25:47Z,False,136200,,300.18,299.85,,L,60,1,32817900656026,,regular,2026-07-30T15:25:47Z
377,CBOE,300.18,349525,2026-07-30T15:21:40Z,False,113167.86,,300.42,300.14,,L,100,3,32817900409451,,regular,2026-07-30T15:21:40Z
469,CBOE,300.145,343351,2026-07-30T15:21:27Z,False,140768.005,,300.29,300,,L,40,30,32817900396075,,regular,2026-07-30T15:21:27Z
408,CBOE,299.785,331626,2026-07-30T15:20:53Z,False,122312.280,,300.25,299.95,,L,760,3,32817900361772,,regular,2026-07-30T15:20:53Z
408,CBOE,299.785,330587,2026-07-30T15:20:53Z,False,122312.280,,300.25,299.95,,L,760,3,32817900361771,,regular,2026-07-30T15:20:53Z
600,CBOE,300,325963,2026-07-30T15:20:53Z,False,180000,,300.25,299.95,,L,760,3,32817900361770,,regular,2026-07-30T15:20:53Z
360,CBOE,300.05,324825,2026-07-30T15:20:53Z,False,108018.00,,300.25,299.95,,L,760,3,32817900361765,,regular,2026-07-30T15:20:53Z
2500,CBOE,299.615,309270,2026-07-30T15:18:06Z,False,749037.500,,300.06,299.23,,L,123,15,32817900195595,,regular,2026-07-30T15:18:06Z
500,CBOE,299.25,279366,2026-07-30T15:03:49Z,False,149625.00,,299.25,298.98,,L,41,1,32817899338247,,regular,2026-07-30T15:03:49Z
2100,CBOE,299.04,277129,2026-07-30T15:03:44Z,False,627984.00,,299.25,298.69,,L,45,6,32817899333389,,regular,2026-07-30T15:03:44Z
544,CBOE,299.5865,267824,2026-07-30T15:02:49Z,False,162975.0560,,299.86,299.47,,L,42,8,32817899278725,,regular,2026-07-30T15:02:49Z
880,CBOE,299.86,266649,2026-07-30T15:02:01Z,False,263876.80,,300.02,299.49,,L,25,31,32817899229805,,regular,2026-07-30T15:02:01Z
346,CBOE,299.83,263655,2026-07-30T15:01:58Z,False,103741.18,,300.02,299.49,,L,20,31,32817899227232,,regular,2026-07-30T15:01:58Z
640,CBOE,300.2,262799,2026-07-30T15:01:38Z,False,192128.0,,300.25,299.83,,L,20,1,32817899207196,,regular,2026-07-30T15:01:38Z
500,CBOE,300.71,239288,2026-07-30T14:56:00Z,False,150355.00,,300.71,300.34,,L,60,3,32817898869464,,regular,2026-07-30T14:56:00Z
2547,CBOE,300.54,233204,2026-07-30T14:55:16Z,False,765475.38,,300.78,300.55,,L,100,25,32817898825326,,regular,2026-07-30T14:55:16Z
3000,CBOE,300.36,205473,2026-07-30T14:36:39Z,False,901080.00,,300.97,300.36,,L,11,81,32817897708521,,regular,2026-07-30T14:36:39Z
3000,CBOE,300.36,201839,2026-07-30T14:36:18Z,False,901080.00,,300.97,300.36,,L,11,80,32817897686998,,regular,2026-07-30T14:36:18Z
499,CBOE,300.51,195347,2026-07-30T14:34:30Z,False,149954.49,,300.83,300.12,,L,16,161,32817897578755,,regular,2026-07-30T14:34:30Z
498,CBOE,300.92,175327,2026-07-30T14:24:22Z,False,149858.16,,301.27,300.59,,L,20,26,32817896971312,,regular,2026-07-30T14:24:22Z
