size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
2142,CBOE,288.42,950248,2026-08-04T21:55:09Z,False,617795.64,prior_reference_price,288,304.25,extended_hours_trade,L,40,1,32817924018344,,regular,2026-08-04T21:55:09Z
516,CBOE,288.42,946403,2026-08-04T20:00:02Z,False,148824.72,,267.44,304.25,extended_hours_trade,L,40,100,32817917111175,,regular,2026-08-04T20:00:00Z
822,CBOE,288.42,945870,2026-08-04T20:00:02Z,False,237081.24,,267.44,304.25,extended_hours_trade,L,40,100,32817917111022,,regular,2026-08-04T20:00:00Z
374,CBOE,288.42,945047,2026-08-04T20:00:02Z,False,107869.08,,267.44,304.25,extended_hours_trade,L,40,100,32817917111021,,regular,2026-08-04T20:00:00Z
507,CBOE,288.42,944296,2026-08-04T20:00:01Z,False,146228.94,,281.73,296.83,extended_hours_trade,L,40,40,32817917110107,,regular,2026-08-04T20:00:00Z
1220,CBOE,288.42,942631,2026-08-04T20:00:00Z,False,351872.40,,287.61,288.82,extended_hours_trade,L,80,80,32817917109190,,regular,2026-08-04T20:00:00Z
410,CBOE,288.42,943395,2026-08-04T20:00:00Z,False,118252.20,,287.61,288.82,extended_hours_trade,L,80,80,32817917109190,,regular,2026-08-04T20:00:00Z
1019,CBOE,288.42,939951,2026-08-04T20:00:00Z,False,293899.98,,287.61,288.82,extended_hours_trade,L,80,80,32817917109188,,regular,2026-08-04T20:00:00Z
462,CBOE,288.42,940413,2026-08-04T20:00:00Z,False,133250.04,,287.61,288.82,extended_hours_trade,L,80,80,32817917109188,,regular,2026-08-04T20:00:00Z
360,CBOE,288,785533,2026-08-04T19:59:55Z,False,103680,,288,288.44,,L,11,36,32817917104003,,regular,2026-08-04T19:59:55Z
1240,CBOE,289.0168,742761,2026-08-04T19:58:50Z,False,358380.8320,average_price_trade,288.51,288.99,,L,4,75,32817917038986,derivative_priced,regular,2026-08-04T19:58:50Z
840,CBOE,290.0926,699539,2026-08-04T19:56:50Z,False,243677.7840,average_price_trade,289.18,289.27,,L,87,72,32817916918978,derivative_priced,regular,2026-08-04T19:56:50Z
409,CBOE,289.21,695405,2026-08-04T19:56:19Z,False,118286.89,,289.14,289.28,,L,45,1,32817916888255,,regular,2026-08-04T19:56:19Z
576,CBOE,289.25,693997,2026-08-04T19:56:13Z,False,166608.00,,289.25,289.35,,L,55,42,32817916882123,,regular,2026-08-04T19:56:13Z
500,CBOE,289.555,689938,2026-08-04T19:55:35Z,False,144777.500,,289.35,289.67,,L,11,35,32817916843768,,regular,2026-08-04T19:55:35Z
480,CBOE,290.5146,678399,2026-08-04T19:54:17Z,False,139447.0080,average_price_trade,290.37,290.47,,L,1,2,32817916766059,derivative_priced,regular,2026-08-04T19:54:17Z
351,CBOE,290.375,654929,2026-08-04T19:50:23Z,False,101921.625,,290.12,290.51,,L,2,167,32817916532646,,regular,2026-08-04T19:50:23Z
400,CBOE,290.5122,650318,2026-08-04T19:49:08Z,False,116204.8800,average_price_trade,289.98,290.23,,L,27,6,32817916457080,derivative_priced,regular,2026-08-04T19:49:08Z
400,CBOE,290.55,622174,2026-08-04T19:42:45Z,False,116220.00,,290.41,290.53,,L,67,40,32817916073808,,regular,2026-08-04T19:42:45Z
360,CBOE,290.7198,607126,2026-08-04T19:38:36Z,False,104659.1280,average_price_trade,290.43,290.62,,L,1,221,32817915825205,derivative_priced,regular,2026-08-04T19:38:36Z
360,CBOE,291.1323,592808,2026-08-04T19:33:32Z,False,104807.6280,average_price_trade,290.75,291.25,,L,2,71,32817915521601,derivative_priced,regular,2026-08-04T19:33:32Z
356,CBOE,290.795,590534,2026-08-04T19:32:53Z,False,103523.020,,290.75,290.84,,L,1,40,32817915481743,,regular,2026-08-04T19:32:53Z
700,CBOE,290.99,584605,2026-08-04T19:29:40Z,False,203693.00,,290.99,291.41,,L,5,45,32817915289381,,regular,2026-08-04T19:29:40Z
400,CBOE,292.0322,557768,2026-08-04T19:21:21Z,False,116812.8800,average_price_trade,291.84,292,,L,151,2,32817914790517,derivative_priced,regular,2026-08-04T19:21:21Z
1000,CBOE,291.77,511978,2026-08-04T18:51:49Z,False,291770.00,,291.77,292.03,,L,8,206,32817913018577,,regular,2026-08-04T18:51:49Z
400,CBOE,291.7757,478815,2026-08-04T18:18:00Z,False,116710.2800,,291.56,291.96,,L,28,136,32817910989250,,regular,2026-08-04T18:18:00Z
1145,CBOE,290.76,460817,2026-08-04T18:02:09Z,False,332920.20,,290.51,291.01,,L,9,166,32817910038699,,regular,2026-08-04T18:02:09Z
500,CBOE,290.5,457531,2026-08-04T17:58:29Z,False,145250.0,,290.6,291.08,,L,5,5,32817909818124,,regular,2026-08-04T17:58:29Z
1290,CBOE,289.32,372447,2026-08-04T16:28:18Z,False,373222.80,,289.32,289.56,,L,1,7,32817904406967,,regular,2026-08-04T16:28:18Z
1500,CBOE,289.295,370977,2026-08-04T16:28:18Z,False,433942.500,,289.32,289.56,,L,1,7,32817904406959,,regular,2026-08-04T16:28:18Z
5246,CBOE,289.16,358582,2026-08-04T16:22:40Z,False,1516933.36,,288.93,289.19,,L,1,9,32817904069053,,regular,2026-08-04T16:22:40Z
520,CBOE,289.065,346782,2026-08-04T16:16:26Z,False,150313.800,,288.91,289.28,,L,40,45,32817903695522,,regular,2026-08-04T16:16:26Z
