size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
21704,CCJ,78.4248,3967871,2025-08-28T20:36:44Z,False,1702131.8592,average_price_trade,78.60,78.30,extended_hours_trade,L,801,10,59804113279380,,regular,
1547,CCJ,78.63,3946167,2025-08-28T20:36:12Z,False,121640.61,prior_reference_price,78.60,78.30,extended_hours_trade,L,801,10,59772521150386,,regular,
2370,CCJ,78.553,3943767,2025-08-28T20:07:26Z,False,186170.610,average_price_trade,78.78,78.65,extended_hours_trade,L,127,54,58046042066304,,regular,
4331,CCJ,78.63,3941397,2025-08-28T20:06:56Z,False,340546.53,,78.78,78.65,extended_hours_trade,L,127,54,58016173725140,,regular,
5728,CCJ,78.63,3934703,2025-08-28T20:00:19Z,False,450392.64,prior_reference_price,79.05,78.30,extended_hours_trade,L,200,100,57619737616065,,regular,
2547,CCJ,78.63,3683454,2025-08-28T19:58:21Z,False,200270.61,,78.65,78.64,,L,345,156,57501710601145,,regular,
1356,CCJ,78.665,3670909,2025-08-28T19:58:05Z,False,106669.740,,78.66,78.65,,L,217,15,57485889990650,,regular,
1450,CCJ,78.65,3666306,2025-08-28T19:58:03Z,False,114042.50,,78.66,78.64,,L,327,25,57483875631057,,regular,
1500,CCJ,78.69,3652307,2025-08-28T19:57:59Z,False,118035.00,,78.70,78.68,,L,1055,235,57479078697448,,regular,
1527,CCJ,78.71,3645822,2025-08-28T19:57:55Z,False,120190.17,,78.69,78.68,,L,164,322,57475194343150,,regular,
1555,CCJ,78.6514,3537346,2025-08-28T19:55:10Z,False,122302.9270,,78.66,78.63,,L,77,43,57310775722455,,regular,
2100,CCJ,78.544,3525756,2025-08-28T19:54:46Z,False,164942.400,average_price_trade,78.67,78.64,,L,200,130,57286422275303,derivative_priced,regular,
1335,CCJ,78.62,3501839,2025-08-28T19:54:04Z,False,104957.70,,78.64,78.61,,L,25,100,57244695170622,,regular,
1519,CCJ,78.5639,3342614,2025-08-28T19:45:13Z,False,119338.5641,,78.58,78.56,,L,48,254,56713929678953,,regular,
2000,CCJ,78.6116,3336875,2025-08-28T19:44:55Z,False,157223.2000,,78.62,78.60,,L,3,225,56695846592208,,regular,
1554,CCJ,78.56,3314448,2025-08-28T19:42:41Z,False,122082.24,,78.59,78.56,,L,121,192,56561766737617,,regular,
2114,CCJ,78.69,3290492,2025-08-28T19:39:48Z,False,166350.66,,78.61,78.56,,L,33,133,56388069234669,,regular,
