size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
2954,CCJ,109.9942,3505012,2026-03-16T20:46:10Z,False,324922.8668,average_price_trade,110.1,111.11,extended_hours_trade,L,1,10,36777879726635,,regular,2026-03-16T20:46:10Z
1021,CCJ,110.31,3500770,2026-03-16T20:05:19Z,False,112626.51,average_price_trade,109.73,111.11,extended_hours_trade,L,1,182,36777877275488,,regular,2026-03-16T20:05:19Z
7190,CCJ,110.31,3499143,2026-03-16T20:00:56Z,False,793128.90,prior_reference_price,109.73,111.11,extended_hours_trade,L,1,182,36777877011860,,regular,2026-03-16T20:00:56Z
1103,CCJ,110.31,3491953,2026-03-16T20:00:45Z,False,121671.93,prior_reference_price,109.73,111.11,extended_hours_trade,L,1,182,36777877001440,,regular,2026-03-16T20:00:45Z
1126,CCJ,110.31,3489389,2026-03-16T20:00:35Z,False,124209.06,prior_reference_price,109.73,111.11,extended_hours_trade,L,1,182,36777876991218,,regular,2026-03-16T20:00:35Z
1289,CCJ,110.31,3488263,2026-03-16T20:00:35Z,False,142189.59,prior_reference_price,109.73,111.11,extended_hours_trade,L,1,182,36777876991212,,regular,2026-03-16T20:00:35Z
5535,CCJ,110.31,3486736,2026-03-16T20:00:34Z,False,610565.85,prior_reference_price,109.73,111.11,extended_hours_trade,L,1,182,36777876990238,,regular,2026-03-16T20:00:34Z
916,CCJ,110.31,3481201,2026-03-16T20:00:34Z,False,101043.96,prior_reference_price,109.73,111.11,extended_hours_trade,L,1,182,36777876990233,,regular,2026-03-16T20:00:34Z
4082,CCJ,110.31,3480194,2026-03-16T20:00:34Z,False,450285.42,prior_reference_price,109.73,111.11,extended_hours_trade,L,1,182,36777876990214,,regular,2026-03-16T20:00:34Z
1082,CCJ,110.195,3133123,2026-03-16T19:55:31Z,False,119230.990,,110.18,110.21,,L,17,199,36777876687489,,regular,2026-03-16T19:55:31Z
910,CCJ,109.94,2984764,2026-03-16T19:49:25Z,False,100045.40,,109.92,109.97,,L,100,210,36777876321507,,regular,2026-03-16T19:49:25Z
1400,CCJ,109.91,2894025,2026-03-16T19:41:43Z,False,153874.00,,109.88,109.94,,L,7,183,36777875859097,,regular,2026-03-16T19:41:43Z
1007,CCJ,109.87,2856547,2026-03-16T19:38:41Z,False,110639.09,,109.8,109.88,,L,127,105,36777875677637,,regular,2026-03-16T19:38:41Z
4100,CCJ,109.85,2823366,2026-03-16T19:35:29Z,False,450385.00,,109.81,109.86,,L,2,400,36777875485488,,regular,2026-03-16T19:35:29Z
1460,CCJ,109.85,2798576,2026-03-16T19:33:06Z,False,160381.00,,109.76,109.85,,L,631,64,36777875342268,,regular,2026-03-16T19:33:06Z
1000,CCJ,110.0345,2721032,2026-03-16T19:26:42Z,False,110034.5000,average_price_trade,109.79,109.89,,L,12,200,36777874957859,derivative_priced,regular,2026-03-16T19:26:42Z
1744,CCJ,110.27,2664691,2026-03-16T19:16:31Z,False,192310.88,,110.22,110.32,,L,361,107,36777874346662,,regular,2026-03-16T19:16:31Z
9800,CCJ,110.38,2551418,2026-03-16T19:08:04Z,False,1081724.00,,110.36,110.38,,L,200,72,36777873839693,,regular,2026-03-16T19:08:04Z
3157,CCJ,110.38,2541552,2026-03-16T19:08:04Z,False,348469.66,,110.36,110.38,,L,200,72,36777873839688,,regular,2026-03-16T19:08:04Z
1000,CCJ,110.57,2434175,2026-03-16T18:52:44Z,False,110570.00,,110.49,110.57,,L,33,5,36777872919981,,regular,2026-03-16T18:52:44Z
1900,CCJ,110.149,2398702,2026-03-16T18:47:10Z,False,209283.100,,110.04,110.15,,L,200,205,36777872585746,,regular,2026-03-16T18:47:10Z
995,CCJ,110.24,2381883,2026-03-16T18:44:03Z,False,109688.80,,110.24,110.3,,L,30,11,36777872398940,,regular,2026-03-16T18:44:03Z
1500,CCJ,110.25,2380888,2026-03-16T18:44:03Z,False,165375.00,,110.24,110.3,,L,30,11,36777872398939,,regular,2026-03-16T18:44:03Z
1000,CCJ,110.1328,2366927,2026-03-16T18:41:05Z,False,110132.8000,,110.11,110.22,,L,153,1,36777872221517,,regular,2026-03-16T18:41:05Z
1000,CCJ,110.4851,2329204,2026-03-16T18:35:03Z,False,110485.1000,,110.45,110.52,,L,401,109,36777871858896,,regular,2026-03-16T18:35:03Z
1000,CCJ,110.3,2321371,2026-03-16T18:34:02Z,False,110300.0,,110.3,110.38,,L,150,159,36777871797769,,regular,2026-03-16T18:34:02Z
4229,CCJ,110.2583,2316874,2026-03-16T18:33:48Z,False,466282.3507,,110.2,110.26,,L,101,1,36777871784281,,regular,2026-03-16T18:33:48Z
930,CCJ,110.34,2264074,2026-03-16T18:24:44Z,False,102616.20,,110.27,110.38,,L,50,10,36777871240608,,regular,2026-03-16T18:24:44Z
5751,CCJ,109.95,2214100,2026-03-16T18:17:40Z,False,632322.45,,109.92,109.99,,L,55,100,36777870816266,,regular,2026-03-16T18:17:40Z
1100,CCJ,109.7499,2162298,2026-03-16T18:08:23Z,False,120724.8900,,109.66,109.73,,L,40,100,36777870259085,,regular,2026-03-16T18:08:23Z
