size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
7100,CCL,17.56,47114108,2025-04-10T23:47:24Z,False,124676.00,,17.75,17.50,extended_hours_trade,L,15,5000,71244423185758,,,
174820,CCL,17.60,47071305,2025-04-10T21:21:56Z,False,3076832.00,prior_reference_price,17.75,17.58,extended_hours_trade,L,15,90,62516552205838,,,
23900,CCL,17.64,43823830,2025-04-10T19:56:29Z,False,421596.00,,17.64,17.63,,L,1699,6564,57389743510436,,,
8423,CCL,17.395,41843045,2025-04-10T19:45:23Z,False,146518.085,,17.40,17.39,,L,4202,78,56723952206156,,,
13743,CCL,17.425,41687891,2025-04-10T19:43:17Z,False,239471.775,,17.43,17.42,,L,1200,489,56597668910976,,,
7080,CCL,17.441,41482796,2025-04-10T19:41:13Z,False,123482.280,,17.48,17.47,,L,3142,25,56473370190852,,,
6195,CCL,17.585,41013203,2025-04-10T19:34:18Z,False,108939.075,,17.59,17.58,,L,133,9314,56058876409122,,,
10626,CCL,17.55,40928155,2025-04-10T19:33:05Z,False,186486.30,,17.56,17.55,,L,1955,231,55985128824053,,,
6700,CCL,17.52,40719437,2025-04-10T19:30:56Z,False,117384.00,,17.51,17.50,,L,1400,1700,55856892163230,,,
9700,CCL,17.54,40514640,2025-04-10T19:29:01Z,False,170138.00,,17.56,17.55,,L,300,706,55741904514014,,,
6700,CCL,17.62,40422647,2025-04-10T19:26:51Z,False,118054.00,,17.63,17.62,,L,742,400,55611285592853,,,
8500,CCL,17.6899,40296441,2025-04-10T19:25:14Z,False,150364.1500,,17.69,17.68,,L,717,8034,55514690381893,,,
10000,CCL,17.635,40221678,2025-04-10T19:24:33Z,False,176350.000,,17.64,17.63,,L,909,11459,55473325873274,,,
6386,CCL,17.641,39967388,2025-04-10T19:19:00Z,False,112655.426,,17.65,17.64,,L,401,300,55140449361529,,,
10000,CCL,17.6391,39513072,2025-04-10T19:10:44Z,False,176391.0000,,17.64,17.63,,L,2042,458,54644643916598,,,
10000,CCL,17.56,39460802,2025-04-10T19:10:17Z,False,175600.00,,17.58,17.56,,L,1696,5500,54617483446282,,,
6323,CCL,17.6501,39284726,2025-04-10T19:07:34Z,False,111601.5823,,17.65,17.64,,L,400,300,54454517871757,,,
7000,CCL,17.74,39180592,2025-04-10T19:06:08Z,False,124180.00,,17.74,17.73,,L,600,1,54368990935082,,,
8000,CCL,17.8251,39008357,2025-04-10T19:03:06Z,False,142600.8000,,17.83,17.82,,L,500,1886,54186768898112,,,
7000,CCL,17.8199,38976731,2025-04-10T19:02:29Z,False,124739.3000,,17.82,17.81,,L,600,1868,54149406303714,,,
7000,CCL,17.6957,38735791,2025-04-10T18:58:48Z,False,123869.9000,,17.70,17.69,,L,300,402,53928623632960,,,
6679,CCL,17.6201,38557000,2025-04-10T18:55:51Z,False,117684.6479,,17.63,17.62,,L,600,1270,53751266575867,,,
9647,CCL,17.56,38513223,2025-04-10T18:55:15Z,False,169401.32,,17.58,17.57,,L,926,500,53715427449898,,,
6000,CCL,17.58,38476653,2025-04-10T18:54:58Z,False,105480.00,,17.59,17.58,,L,1500,650,53698192552906,,,
7000,CCL,17.59,38469069,2025-04-10T18:54:52Z,False,123130.00,,17.59,17.58,,L,852,450,53692420444676,,,
10000,CCL,17.62,38442322,2025-04-10T18:54:27Z,False,176200.00,,17.62,17.60,,L,1900,400,53667676506791,,,
7000,CCL,17.785,38240618,2025-04-10T18:50:52Z,False,124495.000,,17.79,17.78,,L,400,400,53452613187741,,,
738321,CCL,17.70,38155425,2025-04-10T18:49:20Z,False,13068281.70,contingent_trade,17.70,17.69,,L,300,1000,53360788163253,qualified_contingent_trade,,
456379,CCL,17.70,37257448,2025-04-10T18:47:05Z,False,8077908.30,,17.70,17.68,,L,1700,2810,53225494683110,,,
738321,CCL,17.70,36799658,2025-04-10T18:47:04Z,False,13068281.70,,17.70,17.68,,L,400,2810,53224447830573,,,
37612,CCL,17.79,36787285,2025-04-10T18:38:45Z,False,669117.48,,17.79,17.77,,L,1165,1900,52725260151331,,,
738321,CCL,17.70,36659291,2025-04-10T18:37:25Z,True,13068281.70,,17.71,17.70,,L,815,100,52645305058040,,,
456379,CCL,17.70,35914942,2025-04-10T18:37:24Z,True,8077908.30,,17.70,17.69,,L,511,1100,52644326682221,,,
7065,CCL,17.75,35396144,2025-04-10T18:36:17Z,False,125403.75,,17.74,17.73,,L,200,2067,52577343953396,,,
7338,CCL,17.7001,35307782,2025-04-10T18:35:18Z,False,129883.3338,,17.71,17.70,,L,608,1300,52518708651463,,,
