size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
34600,CCL,28.45,13489436,2025-10-09T20:32:14Z,False,984370.00,,28.47,28.49,extended_hours_trade,L,200,36,0,,regular,
5578,CCL,28.45,13452276,2025-10-09T20:20:00Z,False,158694.10,prior_reference_price,28.46,28.48,extended_hours_trade,L,200,487,0,,regular,
7712,CCL,28.6624,13444206,2025-10-09T20:04:30Z,False,221044.4288,average_price_trade,28.46,28.54,extended_hours_trade,L,250,316,0,,regular,
4996,CCL,28.45,13410314,2025-10-09T20:00:22Z,False,142136.20,prior_reference_price,28.45,28.54,extended_hours_trade,L,250,368,0,,regular,
138100,CCL,28.45,13393998,2025-10-09T20:00:21Z,False,3928945.00,prior_reference_price,28.45,28.54,extended_hours_trade,L,250,368,0,,regular,
6100,CCL,28.45,13233028,2025-10-09T20:00:06Z,False,173545.00,,28.45,28.54,extended_hours_trade,L,250,770,0,,regular,
3591,CCL,28.43,11316455,2025-10-09T19:59:50Z,False,102092.13,,28.45,28.54,,L,250,770,0,,regular,
5000,CCL,28.435,11199372,2025-10-09T19:59:43Z,False,142175.000,,28.45,28.54,,L,250,770,0,,regular,
5248,CCL,28.43,11188651,2025-10-09T19:59:40Z,False,149200.64,,28.45,28.54,,L,250,770,0,,regular,
4100,CCL,28.4482,10631840,2025-10-09T19:56:45Z,False,116637.6200,average_price_trade,28.44,28.45,,L,2188,3034,0,derivative_priced,regular,
4052,CCL,28.44,10362044,2025-10-09T19:53:34Z,False,115238.88,,28.43,28.44,,L,2803,1905,0,,regular,
4933,CCL,28.415,10325992,2025-10-09T19:53:11Z,False,140171.195,,28.41,28.42,,L,1811,3424,0,,regular,
7244,CCL,28.43,10309884,2025-10-09T19:53:11Z,False,205946.92,,28.41,28.42,,L,1811,3424,0,,regular,
3761,CCL,28.425,10177253,2025-10-09T19:50:48Z,False,106906.425,,28.42,28.43,,L,5493,2273,0,,regular,
