size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
3496,CDW,125.53,2027909,2026-02-24T21:02:28Z,False,438852.88,prior_reference_price,118.58,128.02,extended_hours_trade,L,15,5,33058439026031,,regular,2026-02-24T21:02:28Z
995,CDW,125.53,2023805,2026-02-24T21:01:04Z,False,124902.35,prior_reference_price,119,128.02,extended_hours_trade,L,15,1,33058438941321,,regular,2026-02-24T21:01:04Z
815,CDW,125.53,2022810,2026-02-24T21:00:39Z,False,102306.95,prior_reference_price,120.12,129.69,extended_hours_trade,L,20,20,33058438917264,,regular,2026-02-24T21:00:39Z
2552,CDW,125.53,2021318,2026-02-24T21:00:13Z,False,320352.56,prior_reference_price,125,125.59,extended_hours_trade,L,180,50,33058438890752,,regular,2026-02-24T21:00:13Z
893,CDW,125.53,2018766,2026-02-24T21:00:13Z,False,112098.29,prior_reference_price,125,125.59,extended_hours_trade,L,180,50,33058438890692,,regular,2026-02-24T21:00:13Z
898,CDW,125.53,2017434,2026-02-24T21:00:13Z,False,112725.94,prior_reference_price,125,125.59,extended_hours_trade,L,180,50,33058438890685,,regular,2026-02-24T21:00:13Z
1100,CDW,125.53,2016008,2026-02-24T21:00:13Z,False,138083.00,prior_reference_price,125,125.59,extended_hours_trade,L,180,50,33058438890683,,regular,2026-02-24T21:00:13Z
2300,CDW,125.53,2013776,2026-02-24T21:00:11Z,False,288719.00,prior_reference_price,125,125.59,extended_hours_trade,L,180,50,33058438888507,,regular,2026-02-24T21:00:11Z
884,CDW,125.53,2011476,2026-02-24T21:00:11Z,False,110968.52,prior_reference_price,125,125.59,extended_hours_trade,L,180,50,33058438888504,,regular,2026-02-24T21:00:11Z
897,CDW,125.53,2010590,2026-02-24T21:00:11Z,False,112600.41,prior_reference_price,125,125.59,extended_hours_trade,L,180,50,33058438888501,,regular,2026-02-24T21:00:11Z
800,CDW,125.53,2009325,2026-02-24T21:00:01Z,False,100424.00,,125.56,125.58,extended_hours_trade,L,1574,91,33058438878763,,regular,2026-02-24T21:00:01Z
2508,CDW,125.53,1799361,2026-02-24T21:00:00Z,False,314829.24,,125.56,125.58,extended_hours_trade,L,1574,91,33058438877574,,regular,2026-02-24T21:00:00Z
878,CDW,125.325,1648141,2026-02-24T20:54:22Z,False,110035.350,,125.29,125.33,,L,4,110,33058438539901,,regular,2026-02-24T20:54:22Z
982,CDW,125.245,1577330,2026-02-24T20:46:36Z,False,122990.590,,125.14,125.37,,L,106,1,33058438073380,,regular,2026-02-24T20:46:36Z
1600,CDW,125.23,1503869,2026-02-24T20:34:59Z,False,200368.00,,125.08,125.23,,L,258,100,33058437377093,,regular,2026-02-24T20:34:59Z
1000,CDW,125.48,1474370,2026-02-24T20:26:07Z,False,125480.00,,125.4,125.58,,L,512,6,33058436845029,,regular,2026-02-24T20:26:07Z
1993,CDW,125.51,1467154,2026-02-24T20:24:38Z,False,250141.43,,125.4,125.65,,L,112,6,33058436755852,,regular,2026-02-24T20:24:38Z
1221,CDW,125.78,1446113,2026-02-24T20:18:29Z,False,153577.38,,125.73,125.89,,L,673,21,33058436386473,,regular,2026-02-24T20:18:29Z
1600,CDW,125.98,1419191,2026-02-24T20:09:33Z,False,201568.00,,125.73,126.04,,L,15,4,33058435850947,,regular,2026-02-24T20:09:33Z
1019,CDW,126.37,1383257,2026-02-24T19:57:45Z,False,128771.03,,126.31,126.46,,L,2,21,33058435142822,,regular,2026-02-24T19:57:45Z
2000,CDW,127.005,1339937,2026-02-24T19:44:11Z,False,254010.000,,126.95,127.06,,L,319,105,33058434328757,,regular,2026-02-24T19:44:11Z
1674,CDW,126.82,1326808,2026-02-24T19:39:11Z,False,212296.68,,126.76,126.85,,L,11,220,33058434028882,,regular,2026-02-24T19:39:11Z
800,CDW,127.41,1285908,2026-02-24T19:27:03Z,False,101928.00,,127.31,127.42,,L,20,1,33058433300722,,regular,2026-02-24T19:27:03Z
800,CDW,127.38,1279866,2026-02-24T19:24:50Z,False,101904.00,,127.26,127.39,,L,100,150,33058433167929,,regular,2026-02-24T19:24:50Z
800,CDW,127.37,1272175,2026-02-24T19:23:36Z,False,101896.00,,127.3,127.37,,L,353,918,33058433093575,,regular,2026-02-24T19:23:36Z
800,CDW,127.29,1266747,2026-02-24T19:22:44Z,False,101832.00,,127.18,127.29,,L,404,2300,33058433041352,,regular,2026-02-24T19:22:44Z
800,CDW,127.29,1262156,2026-02-24T19:21:59Z,False,101832.00,,127.18,127.29,,L,100,2400,33058432996702,,regular,2026-02-24T19:21:59Z
800,CDW,127.3,1261050,2026-02-24T19:21:48Z,False,101840.0,,127.18,127.3,,L,60,2400,33058432986297,,regular,2026-02-24T19:21:48Z
900,CDW,127.3,1260124,2026-02-24T19:21:44Z,False,114570.0,,127.18,127.3,,L,60,2400,33058432982221,,regular,2026-02-24T19:21:44Z
800,CDW,127.36,1243504,2026-02-24T19:21:20Z,False,101888.00,,127.19,127.39,,L,300,288,33058432958042,,regular,2026-02-24T19:21:20Z
1774,CDW,127.245,1229245,2026-02-24T19:17:25Z,False,225732.630,,127.19,127.36,,L,405,2319,33058432722801,,regular,2026-02-24T19:17:25Z
962,CDW,127.485,1202443,2026-02-24T19:10:52Z,False,122640.570,,127.34,127.65,,L,42,4,33058432330042,,regular,2026-02-24T19:10:52Z
1077,CDW,127.485,1201381,2026-02-24T19:10:47Z,False,137301.345,,127.34,127.65,,L,42,4,33058432324347,,regular,2026-02-24T19:10:47Z
806,CDW,127.35,1188868,2026-02-24T19:08:04Z,False,102644.10,,127.35,127.5,,L,10,576,33058432161883,,regular,2026-02-24T19:08:04Z
1000,CDW,127.5199,1181999,2026-02-24T19:07:44Z,False,127519.9000,,127.35,127.52,,L,600,576,33058432142081,,regular,2026-02-24T19:07:44Z
1322,CDW,127.375,1165539,2026-02-24T19:02:21Z,False,168389.750,,127.3,127.45,,L,320,120,33058431818915,,regular,2026-02-24T19:02:21Z
1000,CDW,127.22,1094849,2026-02-24T18:45:09Z,False,127220.00,,127.15,127.28,,L,10,7,33058430786643,,regular,2026-02-24T18:45:09Z
893,CDW,127.03,1074711,2026-02-24T18:35:41Z,False,113437.79,,126.94,127.03,,L,244,8,33058430218490,,regular,2026-02-24T18:35:41Z
1861,CDW,126.89,1050429,2026-02-24T18:23:11Z,False,236142.29,,126.86,126.89,,L,429,1,33058429468712,,regular,2026-02-24T18:23:11Z
1200,CDW,126.79,1016964,2026-02-24T17:59:34Z,False,152148.00,,126.69,126.79,,L,280,18,33058428051774,,regular,2026-02-24T17:59:34Z
1132,CDW,126.76,1003635,2026-02-24T17:57:45Z,False,143492.32,,126.71,126.81,,L,166,430,33058427942840,,regular,2026-02-24T17:57:45Z
1020,CDW,126.695,949125,2026-02-24T17:31:19Z,False,129228.900,,126.64,126.79,,L,901,1,33058426356551,,regular,2026-02-24T17:31:19Z
