size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
44644,CEG,313.58,2641900,2025-02-11T21:38:44Z,False,13999465.52,average_price_trade,314,309.56,extended_hours_trade,L,36,10,59924144696351,,,
401,CEG,313.58,2596245,2025-02-11T21:25:21Z,False,125745.58,,314,311.49,extended_hours_trade,L,36,4,59121592987794,,,
491,CEG,313.58,2595793,2025-02-11T21:05:20Z,False,153967.78,,314,309.56,extended_hours_trade,L,30,10,57920986113142,,,
913,CEG,313.58,2595104,2025-02-11T21:03:30Z,False,286298.54,average_price_trade,314.50,309.56,extended_hours_trade,L,30,10,57810273442705,,,
746,CEG,313.58,2594004,2025-02-11T21:00:54Z,False,233930.68,prior_reference_price,314,309.56,extended_hours_trade,L,5,10,57654749976962,,,
612,CEG,313.58,2593228,2025-02-11T21:00:40Z,False,191910.96,prior_reference_price,314,310.70,extended_hours_trade,L,5,5,57640523383480,,,
512,CEG,313.58,2592574,2025-02-11T21:00:35Z,False,160552.96,prior_reference_price,314,310.70,extended_hours_trade,L,5,5,57635169484209,,,
451,CEG,313.58,2591749,2025-02-11T21:00:24Z,False,141424.58,prior_reference_price,314,310.70,extended_hours_trade,L,5,5,57624344515541,,,
2411,CEG,313.58,2590367,2025-02-11T21:00:14Z,False,756041.38,prior_reference_price,314,310.70,extended_hours_trade,L,5,5,57614425395752,,,
400000,CEG,313.58,2587348,2025-02-11T21:00:14Z,False,125432000.00,prior_reference_price,314,310.70,extended_hours_trade,L,5,5,57614062724840,,,
2249,CEG,313.58,2185934,2025-02-11T21:00:04Z,False,705241.42,,314,310.70,extended_hours_trade,L,5,5,57604537087121,,,
500,CEG,313.58,2183617,2025-02-11T21:00:04Z,False,156790.00,,314,310.70,extended_hours_trade,L,5,5,57604494942050,,,
736,CEG,313.58,2183083,2025-02-11T21:00:04Z,False,230794.88,,314,310.70,extended_hours_trade,L,5,5,57604446649822,,,
3680,CEG,313.58,2182347,2025-02-11T21:00:04Z,False,1153974.40,,314,310.70,extended_hours_trade,L,5,5,57604444789794,,,
772,CEG,313.58,2178662,2025-02-11T21:00:01Z,False,242083.76,,314,310.70,extended_hours_trade,L,5,5,57601150335575,,,
