size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
947,CEG,286.9999,3128600,2025-05-14T22:56:51Z,False,271788.9053,,286,287,extended_hours_trade,L,100,10,68211573600409,,,
1695,CEG,288.15,3122472,2025-05-14T20:10:39Z,False,488414.25,,287.42,288.10,extended_hours_trade,L,1261,1,58239994155243,,,
4017,CEG,288.15,3120704,2025-05-14T20:05:41Z,False,1157498.55,prior_reference_price,287.42,288.14,extended_hours_trade,L,1261,1,57941338433413,,,
6450,CEG,288.15,3116375,2025-05-14T20:04:55Z,False,1858567.50,prior_reference_price,287.42,288.14,extended_hours_trade,L,1261,1,57895386762336,,,
1019,CEG,288.15,3108967,2025-05-14T20:03:11Z,False,293624.85,average_price_trade,287.42,288.14,extended_hours_trade,L,1261,1,57791818865327,,,
425,CEG,288.15,3107638,2025-05-14T20:03:09Z,False,122463.75,prior_reference_price,287.42,288.14,extended_hours_trade,L,1261,1,57789342579602,,,
5621,CEG,288.15,3107142,2025-05-14T20:03:04Z,False,1619691.15,prior_reference_price,287.42,288.14,extended_hours_trade,L,1261,1,57784379507676,,,
1095,CEG,288.15,3101521,2025-05-14T20:03:01Z,False,315524.25,prior_reference_price,287.42,288.14,extended_hours_trade,L,1261,1,57781971285451,,,
637,CEG,288.15,3100189,2025-05-14T20:02:20Z,False,183551.55,prior_reference_price,287.42,288.15,extended_hours_trade,L,1361,1,57740265902500,,,
9655,CEG,288.15,3099330,2025-05-14T20:01:36Z,False,2782088.25,prior_reference_price,287.42,288.15,extended_hours_trade,L,100,1,57696704716141,,,
1703,CEG,288.15,3088799,2025-05-14T20:00:37Z,False,490719.45,prior_reference_price,287.82,289.40,extended_hours_trade,L,4,1,57637158125461,,,
577,CEG,288.15,3086728,2025-05-14T20:00:26Z,False,166262.55,prior_reference_price,287.82,289.40,extended_hours_trade,L,4,1,57626819831244,,,
1368,CEG,288.15,3086036,2025-05-14T20:00:26Z,False,394189.20,prior_reference_price,287.82,289.40,extended_hours_trade,L,4,1,57626759704694,,,
2796,CEG,288.15,3084668,2025-05-14T20:00:26Z,False,805667.40,prior_reference_price,287.82,289.40,extended_hours_trade,L,4,1,57626759222210,,,
