size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
5888,CELH,43.43,3774931,2026-02-18T21:00:40Z,False,255715.84,prior_reference_price,43.36,43.56,extended_hours_trade,L,435,1153,38079255686648,,regular,2026-02-18T21:00:40Z
5622,CELH,43.43,3768914,2026-02-18T21:00:34Z,False,244163.46,prior_reference_price,43.36,43.56,extended_hours_trade,L,435,1153,38079255680462,,regular,2026-02-18T21:00:34Z
2899,CELH,43.43,3761749,2026-02-18T21:00:33Z,False,125903.57,prior_reference_price,43.36,43.56,extended_hours_trade,L,435,1153,38079255679868,,regular,2026-02-18T21:00:33Z
3471,CELH,43.43,3757595,2026-02-18T21:00:32Z,False,150745.53,prior_reference_price,43.36,43.56,extended_hours_trade,L,435,1153,38079255679257,,regular,2026-02-18T21:00:32Z
3200,CELH,43.765,2239782,2026-02-18T20:06:50Z,False,140048.000,,43.74,43.78,,L,10,130,38079252456485,,regular,2026-02-18T20:06:50Z
3300,CELH,43.6903,1901342,2026-02-18T18:33:31Z,False,144177.9900,,43.69,43.7,,L,242,7,38079246857750,,regular,2026-02-18T18:33:31Z
3300,CELH,43.89,1706928,2026-02-18T18:03:25Z,False,144837.00,,43.87,43.89,,L,10,18,38079245052103,,regular,2026-02-18T18:03:25Z
6262,CELH,43.965,1646353,2026-02-18T17:48:17Z,False,275308.830,,43.94,43.99,,L,411,246,38079244143525,,regular,2026-02-18T17:48:17Z
14709,CELH,43.97,1620602,2026-02-18T17:41:23Z,False,646754.73,,43.94,43.96,,L,41,50,38079243729757,,regular,2026-02-18T17:41:23Z
9198,CELH,43.97,1605893,2026-02-18T17:41:23Z,False,404436.06,,43.94,43.96,,L,41,50,38079243729756,,regular,2026-02-18T17:41:23Z
35511,CELH,43.55,1321255,2026-02-18T16:47:00Z,False,1546504.05,,43.6,43.63,,L,30,340,38079240466868,,regular,2026-02-18T16:47:00Z
2500,CELH,43.6,1268902,2026-02-18T16:45:44Z,False,109000.0,,43.56,43.58,,L,240,70,38079240390409,,regular,2026-02-18T16:45:44Z
4136,CELH,43.975,1191335,2026-02-18T16:31:17Z,False,181880.600,,43.91,43.94,,L,64,45,38079239523729,,regular,2026-02-18T16:31:17Z
6100,CELH,44,1063959,2026-02-18T16:18:44Z,False,268400,,43.95,43.98,,L,112,393,38079238770904,,regular,2026-02-18T16:18:44Z
5900,CELH,44.08,1036214,2026-02-18T16:18:15Z,False,260072.00,,44.04,44.06,,L,143,30,38079238741989,,regular,2026-02-18T16:18:15Z
9300,CELH,44.27,911600,2026-02-18T15:44:26Z,False,411711.00,,44.26,44.31,,L,10,14,38079236712583,,regular,2026-02-18T15:44:26Z
27100,CELH,44.3,887051,2026-02-18T15:42:23Z,False,1200530.0,,44.27,44.33,,L,139,285,38079236589855,,regular,2026-02-18T15:42:23Z
9000,CELH,43.98,701703,2026-02-18T15:22:34Z,False,395820.00,,44.04,44.07,,L,200,20,38079235401299,,regular,2026-02-18T15:22:34Z
4108,CELH,43.925,667748,2026-02-18T15:19:05Z,False,180443.900,,43.89,43.98,,L,17,17,38079235191846,,regular,2026-02-18T15:19:05Z
30700,CELH,44.01,654503,2026-02-18T15:17:38Z,False,1351107.00,,43.95,44.11,,L,10,250,38079235104994,,regular,2026-02-18T15:17:38Z
19000,CELH,44.01,622623,2026-02-18T15:17:37Z,False,836190.00,,43.95,44.11,,L,10,250,38079235103438,,regular,2026-02-18T15:17:37Z
3400,CELH,44.05,452381,2026-02-18T15:03:11Z,False,149770.00,,44.02,44.07,,L,10,81,38079234237893,,regular,2026-02-18T15:03:11Z
3052,CELH,44.065,445409,2026-02-18T15:02:50Z,False,134486.380,,44.02,44.06,,L,39,10,38079234216991,,regular,2026-02-18T15:02:50Z
8843,CELH,44.35,423551,2026-02-18T15:01:27Z,False,392187.05,,44.08,44.16,,L,69,10,38079234133675,,regular,2026-02-18T15:01:27Z
4460,CELH,44.23,410043,2026-02-18T15:01:27Z,False,197265.80,,44.08,44.16,,L,69,10,38079234133606,,regular,2026-02-18T15:01:27Z
8870,CELH,43.97,360158,2026-02-18T15:01:26Z,False,390013.90,,44.04,44.09,,L,191,33,38079234133264,,regular,2026-02-18T15:01:26Z
3200,CELH,43.91,347670,2026-02-18T15:00:54Z,False,140512.00,,43.85,43.91,,L,1,225,38079234100378,,regular,2026-02-18T15:00:54Z
3195,CELH,43.81,341400,2026-02-18T15:00:40Z,False,139972.95,,43.75,43.85,,L,12,251,38079234087202,,regular,2026-02-18T15:00:40Z
9086,CELH,43.475,77844,2026-02-18T14:37:28Z,False,395013.850,,43.4,43.59,,L,101,25,38079232694837,,regular,2026-02-18T14:37:28Z
2500,CELH,43.46,53202,2026-02-18T14:31:34Z,False,108650.00,,43.47,43.87,,L,200,10,38079232340643,,regular,2026-02-18T14:31:34Z
