size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
24303,CE,72.17,2193451,2025-01-30T22:57:04Z,False,1753947.51,average_price_trade,68.97,75.13,extended_hours_trade,L,52,57,64624477646052,,,
1809,CE,72.17,2167137,2025-01-30T21:02:02Z,False,130555.53,prior_reference_price,70.77,73.58,extended_hours_trade,L,23,5,57722943660553,,,
15572,CE,72.17,2162729,2025-01-30T21:00:32Z,False,1123831.24,prior_reference_price,60,78.99,extended_hours_trade,L,60,100,57632231893472,,,
3183,CE,72.17,2146996,2025-01-30T21:00:21Z,False,229717.11,prior_reference_price,60,78.99,extended_hours_trade,L,60,100,57621817585823,,,
6507,CE,72.17,2142533,2025-01-30T21:00:21Z,False,469610.19,prior_reference_price,60,78.99,extended_hours_trade,L,60,100,57621705652563,,,
4987,CE,72.17,2129908,2025-01-30T21:00:19Z,False,359911.79,prior_reference_price,60,78.99,extended_hours_trade,L,60,100,57619416259932,,,
7995,CE,72.17,2120893,2025-01-30T21:00:04Z,False,576999.15,,60,78.99,extended_hours_trade,L,60,100,57604051631602,,,
10000,CE,71.595,1468837,2025-01-30T20:47:25Z,False,715950.000,,71.58,71.60,,L,56,95,56845659633297,,,
6994,CE,71.345,1412562,2025-01-30T20:44:45Z,False,498986.930,,71.32,71.37,,L,55,36,56685911941258,,,
8236,CE,72.311,1200456,2025-01-30T20:29:47Z,False,595553.396,,72.31,72.36,,L,105,271,55787688614629,,,
1430,CE,71.95,1091893,2025-01-30T20:13:49Z,False,102888.50,,71.93,71.97,,L,50,5,54829881781479,,,
1537,CE,71.95,1090463,2025-01-30T20:13:49Z,False,110587.15,,71.93,71.97,,L,50,5,54829547112709,,,
35000,CE,71.17,831392,2025-01-30T19:27:55Z,False,2490950.00,,71.18,71.23,,L,13,76,52075806692932,,,
2209,CE,70.9989,695088,2025-01-30T18:42:20Z,False,156836.5701,,70.89,71,,L,200,113,49340254464606,,,
2000,CE,70.39,376485,2025-01-30T16:07:33Z,False,140780.00,,70.32,70.40,,L,27,305,40053447877546,,,
2733,CE,70.075,291274,2025-01-30T15:34:28Z,False,191514.975,,70.02,70.13,,L,39,216,38068300487638,,,
26250,CE,70.09,285094,2025-01-30T15:33:37Z,False,1839862.50,,70.02,70.13,,L,25,161,38017930380733,,,
3520,CE,70.065,228110,2025-01-30T15:25:03Z,False,246628.800,,70.04,70.15,,L,300,31,37503582335630,,,
1850,CE,69.94,219213,2025-01-30T15:24:39Z,False,129389.00,,69.93,70.01,,L,25,1,37479925525745,,,
3200,CE,70.002,162798,2025-01-30T15:06:08Z,False,224006.400,,70.06,70.16,,L,7,3,36368887230943,,,
1986,CE,69.815,97975,2025-01-30T14:48:38Z,False,138652.590,,69.74,69.84,,L,6,93,35318689470845,,,
2100,CE,70.40,63879,2025-01-30T14:35:22Z,False,147840.00,,70.24,70.60,,L,300,86,34522614216482,,,
