size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
22622,CE,47.02,4641995,2025-03-03T22:05:10Z,False,1063686.44,prior_reference_price,47.93,47.27,extended_hours_trade,L,35,12,61510368628060,,,
4046,CE,47.02,4616117,2025-03-03T21:03:22Z,False,190242.92,prior_reference_price,47.93,46.80,extended_hours_trade,L,35,15,57802531276378,,,
32313,CE,47.02,4608436,2025-03-03T21:02:32Z,False,1519357.26,prior_reference_price,47.93,46.80,extended_hours_trade,L,35,15,57752265257913,,,
6874,CE,47.02,4572341,2025-03-03T21:00:36Z,False,323215.48,prior_reference_price,47.93,46.99,extended_hours_trade,L,35,10,57636362399873,,,
2662,CE,47.02,4564789,2025-03-03T21:00:25Z,False,125167.24,prior_reference_price,47.93,46.99,extended_hours_trade,L,35,10,57625022433409,,,
2300,CE,47.02,4560922,2025-03-03T21:00:24Z,False,108146.00,prior_reference_price,47.93,46.99,extended_hours_trade,L,35,10,57624960143685,,,
3213,CE,47.02,4557201,2025-03-03T21:00:24Z,False,151075.26,prior_reference_price,47.93,46.99,extended_hours_trade,L,35,10,57624948615570,,,
12136,CE,47.02,4553938,2025-03-03T21:00:24Z,False,570634.72,prior_reference_price,47.93,46.99,extended_hours_trade,L,35,10,57624932697024,,,
3737,CE,47.02,4539753,2025-03-03T21:00:24Z,False,175713.74,prior_reference_price,47.93,46.99,extended_hours_trade,L,35,10,57624927713973,,,
5300,CE,47.02,4531010,2025-03-03T21:00:06Z,False,249206.00,,55.11,46.99,extended_hours_trade,L,50,10,57606817892818,,,
2258,CE,47.02,4523190,2025-03-03T21:00:02Z,False,106171.16,,50.26,44.67,extended_hours_trade,L,100,100,57602220681690,,,
7053,CE,47,3575342,2025-03-03T20:59:12Z,False,331491,,47.03,47,,L,177,250,57552461645286,,,
2315,CE,47.01,3566242,2025-03-03T20:59:12Z,False,108828.15,,47.03,47,,L,177,250,57552441725624,,,
