size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
1000,CF,120.23,5438774,2026-05-07T20:58:09Z,False,120230.00,,118.9,120,extended_hours_trade,L,50,10,32465733279795,,regular,2026-05-07T20:58:09Z
1863,CF,118.68,5435234,2026-05-07T20:11:31Z,False,221100.84,average_price_trade,116.39,120,extended_hours_trade_late_or_out_of_sequence,L,46,17,32465730481850,,regular,2026-05-07T20:09:42Z
2304,CF,118.6794,5433303,2026-05-07T20:05:28Z,False,273437.3376,prior_reference_price,116.39,120,extended_hours_trade,L,50,17,32465730118606,,regular,2026-05-07T20:05:27Z
1579,CF,118.68,5430987,2026-05-07T20:04:13Z,False,187395.72,prior_reference_price,116.39,119,extended_hours_trade,L,46,17,32465730043568,,regular,2026-05-07T20:04:12Z
3042,CF,118.68,5428750,2026-05-07T20:00:33Z,False,361024.56,prior_reference_price,115.9,120.61,extended_hours_trade,L,50,1,32465729823655,,regular,2026-05-07T20:00:33Z
5728,CF,118.68,5425708,2026-05-07T20:00:33Z,False,679799.04,prior_reference_price,115.9,120.61,extended_hours_trade,L,50,1,32465729823652,,regular,2026-05-07T20:00:33Z
1225,CF,118.68,5419094,2026-05-07T20:00:33Z,False,145383.00,prior_reference_price,115.9,120.61,extended_hours_trade,L,50,1,32465729823604,,regular,2026-05-07T20:00:33Z
1153,CF,118.68,5417444,2026-05-07T20:00:33Z,False,136838.04,prior_reference_price,115.9,120.61,extended_hours_trade,L,50,1,32465729823587,,regular,2026-05-07T20:00:33Z
1114,CF,118.68,5416291,2026-05-07T20:00:33Z,False,132209.52,prior_reference_price,115.9,120.61,extended_hours_trade,L,50,1,32465729823583,,regular,2026-05-07T20:00:33Z
1211,CF,118.68,5414903,2026-05-07T20:00:33Z,False,143721.48,prior_reference_price,115.9,120.61,extended_hours_trade,L,50,1,32465729823510,,regular,2026-05-07T20:00:33Z
1141,CF,118.68,5412498,2026-05-07T20:00:33Z,False,135413.88,prior_reference_price,115.9,120.61,extended_hours_trade,L,50,1,32465729823484,,regular,2026-05-07T20:00:33Z
1180,CF,118.68,5411357,2026-05-07T20:00:33Z,False,140042.40,prior_reference_price,115.9,120.61,extended_hours_trade,L,50,1,32465729823477,,regular,2026-05-07T20:00:33Z
1158,CF,118.68,5410177,2026-05-07T20:00:33Z,False,137431.44,prior_reference_price,115.9,120.61,extended_hours_trade,L,50,1,32465729823471,,regular,2026-05-07T20:00:32Z
1230,CF,118.68,5409019,2026-05-07T20:00:33Z,False,145976.40,prior_reference_price,115.9,120.61,extended_hours_trade,L,50,1,32465729823464,,regular,2026-05-07T20:00:32Z
1158,CF,118.68,5407789,2026-05-07T20:00:32Z,False,137431.44,prior_reference_price,115.9,120.61,extended_hours_trade,L,50,1,32465729823461,,regular,2026-05-07T20:00:32Z
1153,CF,118.68,5406631,2026-05-07T20:00:32Z,False,136838.04,prior_reference_price,115.9,120.61,extended_hours_trade,L,50,1,32465729823458,,regular,2026-05-07T20:00:32Z
862,CF,118.68,5404572,2026-05-07T20:00:26Z,False,102302.16,prior_reference_price,115.9,120.61,extended_hours_trade,L,50,1,32465729817130,,regular,2026-05-07T20:00:26Z
2194,CF,118.68,5403710,2026-05-07T20:00:26Z,False,260383.92,prior_reference_price,115.9,120.61,extended_hours_trade,L,50,1,32465729816683,,regular,2026-05-07T20:00:26Z
2220,CF,118.68,5401516,2026-05-07T20:00:25Z,False,263469.60,prior_reference_price,115.9,120.61,extended_hours_trade,L,50,1,32465729815941,,regular,2026-05-07T20:00:25Z
4908,CF,118.68,5399296,2026-05-07T20:00:23Z,False,582481.44,prior_reference_price,115.9,120.61,extended_hours_trade,L,50,1,32465729814259,,regular,2026-05-07T20:00:23Z
2422,CF,118.68,5393658,2026-05-07T20:00:05Z,False,287442.96,,115.9,120.61,extended_hours_trade,L,50,1,32465729796079,,regular,2026-05-07T20:00:04Z
914,CF,118.8,4860773,2026-05-07T19:59:49Z,False,108583.2,,118.64,118.78,,L,53,100,32465729780415,,regular,2026-05-07T19:59:49Z
930,CF,118.945,4796785,2026-05-07T19:59:16Z,False,110618.850,,118.93,118.95,,L,34,99,32465729747115,,regular,2026-05-07T19:59:16Z
1700,CF,118.9565,4731178,2026-05-07T19:58:44Z,False,202226.0500,average_price_trade,118.88,118.91,,L,100,100,32465729715205,derivative_priced,regular,2026-05-07T19:58:44Z
984,CF,118.9052,4728582,2026-05-07T19:58:42Z,False,117002.7168,,118.9,118.93,,L,4,108,32465729713243,,regular,2026-05-07T19:58:42Z
2300,CF,119.0732,4602790,2026-05-07T19:56:42Z,False,273868.3600,average_price_trade,118.88,118.93,,L,120,215,32465729592626,derivative_priced,regular,2026-05-07T19:56:42Z
1000,CF,119.23,4535796,2026-05-07T19:55:22Z,False,119230.00,,119.22,119.26,,L,78,32,32465729512666,,regular,2026-05-07T19:55:22Z
2000,CF,119.1499,4437678,2026-05-07T19:51:53Z,False,238299.8000,,119.09,119.11,,L,12,222,32465729303886,,regular,2026-05-07T19:51:53Z
2000,CF,118.9799,4362641,2026-05-07T19:49:45Z,False,237959.8000,,118.92,119.05,,L,100,4,32465729175903,,regular,2026-05-07T19:49:45Z
2400,CF,118.9998,4332541,2026-05-07T19:49:02Z,False,285599.5200,average_price_trade,118.79,118.83,,L,51,306,32465729132584,derivative_priced,regular,2026-05-07T19:49:02Z
1200,CF,119.0499,4315946,2026-05-07T19:47:43Z,False,142859.8800,average_price_trade,118.82,118.96,,L,211,12,32465729054177,derivative_priced,regular,2026-05-07T19:47:43Z
1100,CF,118.9254,4298349,2026-05-07T19:46:35Z,False,130817.9400,average_price_trade,118.93,119.05,,L,59,9,32465728986460,derivative_priced,regular,2026-05-07T19:46:35Z
900,CF,119.06,4273854,2026-05-07T19:44:10Z,False,107154.00,,119.05,119.17,,L,10,2,32465728840707,,regular,2026-05-07T19:44:10Z
2400,CF,118.8873,4254855,2026-05-07T19:43:05Z,False,285329.5200,average_price_trade,118.88,119.05,,L,24,206,32465728776237,derivative_priced,regular,2026-05-07T19:43:05Z
938,CF,118.9764,4244592,2026-05-07T19:42:50Z,False,111599.8632,,118.87,119.01,,L,215,220,32465728760903,,regular,2026-05-07T19:42:50Z
1200,CF,118.6657,4203196,2026-05-07T19:38:05Z,False,142398.8400,average_price_trade,118.4,118.6,,L,120,2,32465728476234,derivative_priced,regular,2026-05-07T19:38:05Z
1200,CF,118.625,4185752,2026-05-07T19:36:28Z,False,142350.000,,118.54,118.71,,L,197,3,32465728378575,,regular,2026-05-07T19:36:28Z
1200,CF,118.625,4186952,2026-05-07T19:36:28Z,False,142350.000,,118.54,118.71,,L,197,3,32465728378575,,regular,2026-05-07T19:36:28Z
3477,CF,118.6982,4181283,2026-05-07T19:36:11Z,False,412713.6414,,118.6,118.71,,L,95,101,32465728361935,,regular,2026-05-07T19:36:11Z
