size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
25743,CGNX,53.52,1589630,2026-04-29T21:32:45Z,False,1377765.36,prior_reference_price,54.56,52.49,extended_hours_trade,L,36,38,28480005705400,,regular,2026-04-29T21:32:45Z
1974,CGNX,53.52,1563886,2026-04-29T21:03:26Z,False,105648.48,prior_reference_price,54.56,52.49,extended_hours_trade,L,36,38,28480003946388,,regular,2026-04-29T21:03:26Z
2134,CGNX,53.52,1560775,2026-04-29T20:00:05Z,False,114211.68,,54,52.01,extended_hours_trade,L,2,1,28480000145366,,regular,2026-04-29T20:00:05Z
3090,CGNX,53.52,1558641,2026-04-29T20:00:05Z,False,165376.80,,54,52.01,extended_hours_trade,L,2,1,28480000145353,,regular,2026-04-29T20:00:05Z
1952,CGNX,53.52,1553373,2026-04-29T20:00:00Z,False,104471.04,,53.53,53.48,extended_hours_trade,L,100,100,28480000140270,,regular,2026-04-29T20:00:00Z
2199,CGNX,53.52,1549868,2026-04-29T20:00:00Z,False,117690.48,,53.53,53.48,extended_hours_trade,L,100,100,28480000140239,,regular,2026-04-29T20:00:00Z
4300,CGNX,53.53,1195785,2026-04-29T19:52:45Z,False,230179.00,,53.53,53.49,,L,555,491,28479999705416,,regular,2026-04-29T19:52:45Z
10400,CGNX,53.44,1017839,2026-04-29T19:21:31Z,False,555776.00,,53.44,53.39,,L,48,185,28479997831558,,regular,2026-04-29T19:21:31Z
4076,CGNX,53.33,870039,2026-04-29T19:00:45Z,False,217373.08,,53.34,53.32,,L,35,100,28479996585719,,regular,2026-04-29T19:00:45Z
5122,CGNX,53.2942,855393,2026-04-29T19:00:31Z,False,272972.8924,,53.31,53.23,,L,333,111,28479996571397,,regular,2026-04-29T19:00:31Z
5603,CGNX,52.815,491401,2026-04-29T16:50:54Z,False,295922.445,,52.84,52.8,,L,327,1,28479988794174,,regular,2026-04-29T16:50:54Z
2931,CGNX,52.835,460314,2026-04-29T16:34:47Z,False,154859.385,,52.86,52.81,,L,55,186,28479987827048,,regular,2026-04-29T16:34:47Z
10000,CGNX,52.955,134964,2026-04-29T13:56:59Z,False,529550.000,,53.02,52.88,,L,1,200,28479978359158,,regular,2026-04-29T13:56:59Z
7500,CGNX,52.73,118095,2026-04-29T13:54:23Z,False,395475.00,,52.78,52.64,,L,1,309,28479978203358,,regular,2026-04-29T13:54:23Z
2393,CGNX,53.47,45530,2026-04-29T13:30:10Z,False,127953.71,,53.82,53.12,,L,117,74,28479976750182,,regular,2026-04-29T13:30:10Z
8260,CGNX,53.81,42672,2026-04-29T13:30:06Z,False,444470.60,,53.82,53.12,,L,117,1,28479976746210,,regular,2026-04-29T13:30:06Z
11340,CGNX,53.81,34012,2026-04-29T13:30:06Z,False,610205.40,,53.82,53.12,,L,117,1,28479976746188,,regular,2026-04-29T13:30:06Z
