size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
9143,CGNX,72.42,4142417,2026-06-30T21:55:15Z,False,662136.06,average_price_trade,72.77,73.48,extended_hours_trade,L,1,40,28480007054875,,regular,2026-06-30T21:55:14Z
9400,CGNX,72.42,4128665,2026-06-30T20:10:13Z,False,680748.00,average_price_trade,72.39,72.92,extended_hours_trade,L,4,100,28480000753768,,regular,2026-06-30T20:10:13Z
1653,CGNX,72.42,4118529,2026-06-30T20:08:13Z,False,119710.26,average_price_trade,72.39,72.92,extended_hours_trade,L,4,100,28480000633325,,regular,2026-06-30T20:08:13Z
1517,CGNX,72.42,4114226,2026-06-30T20:00:39Z,False,109861.14,prior_reference_price,72.25,72.92,extended_hours_trade,L,3,30,28480000179620,,regular,2026-06-30T20:00:39Z
2205,CGNX,72.42,4112709,2026-06-30T20:00:37Z,False,159686.10,prior_reference_price,72.25,72.92,extended_hours_trade,L,3,30,28480000177388,,regular,2026-06-30T20:00:37Z
2360,CGNX,72.42,4110504,2026-06-30T20:00:36Z,False,170911.20,prior_reference_price,72.25,72.92,extended_hours_trade,L,3,30,28480000176718,,regular,2026-06-30T20:00:36Z
6475,CGNX,72.42,4108144,2026-06-30T20:00:26Z,False,468919.50,prior_reference_price,72.25,72.92,extended_hours_trade,L,3,30,28480000166652,,regular,2026-06-30T20:00:26Z
2500,CGNX,72.42,4090911,2026-06-30T20:00:01Z,False,181050.00,,72.25,72.49,extended_hours_trade,L,267,30,28480000140788,,regular,2026-06-30T20:00:00Z
1700,CGNX,72.4393,3436552,2026-06-30T19:59:17Z,False,123146.8100,,72.43,72.45,,L,2955,828,28480000097535,,regular,2026-06-30T19:59:17Z
5800,CGNX,72.3,3162244,2026-06-30T19:55:01Z,False,419340.0,,72.16,72.29,,L,135,91,28479999841596,,regular,2026-06-30T19:55:01Z
2700,CGNX,72.27,3084416,2026-06-30T19:52:50Z,False,195129.00,,72.27,72.32,,L,680,481,28479999710474,,regular,2026-06-30T19:52:49Z
2000,CGNX,72.4276,3058935,2026-06-30T19:51:47Z,False,144855.2000,average_price_trade,72.21,72.26,,L,1488,201,28479999646904,derivative_priced,regular,2026-06-30T19:51:47Z
2464,CGNX,72.275,3049485,2026-06-30T19:51:27Z,False,178085.600,,72.25,72.3,,L,952,341,28479999627239,,regular,2026-06-30T19:51:27Z
2550,CGNX,72.3,3045291,2026-06-30T19:51:15Z,False,184365.0,,72.25,72.3,,L,878,441,28479999615494,,regular,2026-06-30T19:51:15Z
7600,CGNX,72.51,2931672,2026-06-30T19:41:44Z,False,551076.00,,72.45,72.51,,L,785,40,28479999044552,,regular,2026-06-30T19:41:44Z
1400,CGNX,72.385,2881576,2026-06-30T19:38:18Z,False,101339.000,,72.34,72.42,,L,54,91,28479998838088,,regular,2026-06-30T19:38:18Z
1716,CGNX,72.595,2793442,2026-06-30T19:29:37Z,False,124573.020,,72.56,72.66,,L,200,10,28479998317059,,regular,2026-06-30T19:29:37Z
2329,CGNX,72.55,2785251,2026-06-30T19:28:52Z,False,168968.95,,72.52,72.57,,L,20,188,28479998272546,,regular,2026-06-30T19:28:52Z
4066,CGNX,72.7901,2696515,2026-06-30T19:17:08Z,False,295964.5466,,72.77,72.85,,L,111,3,28479997568136,,regular,2026-06-30T19:17:08Z
1414,CGNX,72.88,2691972,2026-06-30T19:17:00Z,False,103052.32,,72.79,72.84,,L,100,130,28479997560577,,regular,2026-06-30T19:17:00Z
3124,CGNX,72.849,2686977,2026-06-30T19:16:23Z,False,227580.276,,72.77,72.85,,L,153,15,28479997523543,,regular,2026-06-30T19:16:23Z
1500,CGNX,72.51,2656091,2026-06-30T19:13:28Z,False,108765.00,,72.57,72.65,,2,52,291,28479997348356,,regular,2026-06-30T19:13:28Z
1593,CGNX,72.5,2653353,2026-06-30T19:13:28Z,False,115492.5,,72.57,72.65,,L,52,291,28479997348333,,regular,2026-06-30T19:13:28Z
3266,CGNX,72.62,2618119,2026-06-30T19:10:18Z,False,237176.92,,72.53,72.58,,L,70,18,28479997158613,,regular,2026-06-30T19:10:18Z
3136,CGNX,72.62,2621255,2026-06-30T19:10:18Z,False,227736.32,,72.53,72.58,,L,70,18,28479997158613,,regular,2026-06-30T19:10:18Z
1648,CGNX,72.3206,2601228,2026-06-30T19:08:27Z,False,119184.3488,,72.35,72.4,,L,495,16,28479997046935,,regular,2026-06-30T19:08:27Z
1500,CGNX,72.59,2518170,2026-06-30T18:54:24Z,False,108885.00,,72.57,72.62,,L,601,18,28479996204122,,regular,2026-06-30T18:54:24Z
1648,CGNX,72.78,2501078,2026-06-30T18:52:18Z,False,119941.44,,72.75,72.78,,L,438,200,28479996078330,,regular,2026-06-30T18:52:18Z
6030,CGNX,72.555,2413954,2026-06-30T18:39:48Z,False,437506.650,,72.53,72.62,,L,40,53,28479995328432,,regular,2026-06-30T18:39:48Z
3000,CGNX,72.4699,2386114,2026-06-30T18:36:20Z,False,217409.7000,,72.4,72.46,,L,20,31,28479995120497,,regular,2026-06-30T18:36:20Z
1400,CGNX,72.47,2377838,2026-06-30T18:35:13Z,False,101458.00,,72.43,72.48,,L,30,125,28479995053597,,regular,2026-06-30T18:35:13Z
1783,CGNX,72.4499,2342775,2026-06-30T18:28:26Z,False,129178.1717,,72.33,72.45,,L,45,17,28479994646004,,regular,2026-06-30T18:28:26Z
3100,CGNX,72.37,2279317,2026-06-30T18:13:32Z,False,224347.00,,72.37,72.51,,L,20,113,28479993752372,,regular,2026-06-30T18:13:32Z
5000,CGNX,72.51,2273043,2026-06-30T18:13:26Z,False,362550.00,,72.46,72.56,,L,363,260,28479993746339,,regular,2026-06-30T18:13:26Z
5000,CGNX,72.5146,2263570,2026-06-30T18:12:15Z,False,362573.0000,,72.48,72.61,,L,454,137,28479993675445,,regular,2026-06-30T18:12:15Z
1900,CGNX,72.56,2233410,2026-06-30T18:08:54Z,False,137864.00,,72.49,72.56,,L,721,48,28479993474148,,regular,2026-06-30T18:08:54Z
2500,CGNX,72.42,2226237,2026-06-30T18:08:11Z,False,181050.00,,72.39,72.45,,L,852,213,28479993430942,,regular,2026-06-30T18:08:11Z
2199,CGNX,72.33,2219688,2026-06-30T18:07:20Z,False,159053.67,,72.25,72.3,,L,300,100,28479993380741,,regular,2026-06-30T18:07:20Z
3325,CGNX,71.9725,2121814,2026-06-30T17:49:40Z,False,239308.5625,,71.8,72.03,,L,649,210,28479992320626,,regular,2026-06-30T17:49:40Z
2888,CGNX,72.1001,1961818,2026-06-30T17:17:07Z,False,208225.0888,,72.1,72.22,,L,500,619,28479990367450,,regular,2026-06-30T17:17:07Z
1704,CGNX,71.9,1946171,2026-06-30T17:13:25Z,False,122517.6,,71.88,71.94,,L,14,35,28479990145563,,regular,2026-06-30T17:13:25Z
2256,CGNX,71.5201,1906798,2026-06-30T17:03:29Z,False,161349.3456,,71.53,71.61,,L,300,30,28479989549423,,regular,2026-06-30T17:03:29Z
1600,CGNX,71.6099,1904489,2026-06-30T17:03:19Z,False,114575.8400,,71.52,71.61,,L,100,130,28479989538877,,regular,2026-06-30T17:03:19Z
2347,CGNX,71.61,1902383,2026-06-30T17:03:19Z,False,168068.67,,71.52,71.61,,L,100,130,28479989538874,,regular,2026-06-30T17:03:19Z
