size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
4047,CHRD,106.55,926817,2025-09-10T20:06:00Z,False,431207.85,prior_reference_price,109.03,102.5,extended_hours_trade,L,15,6,0,,regular,
1302,CHRD,106.55,922198,2025-09-10T20:02:29Z,False,138728.10,prior_reference_price,109.03,107,extended_hours_trade,L,15,430,0,,regular,
1526,CHRD,106.55,920396,2025-09-10T20:02:19Z,False,162595.30,prior_reference_price,111,107,extended_hours_trade,L,5,430,0,,regular,
3988,CHRD,106.55,918635,2025-09-10T20:01:44Z,False,424921.40,prior_reference_price,111,107,extended_hours_trade,L,5,665,0,,regular,
1129,CHRD,106.55,909866,2025-09-10T20:00:11Z,False,120294.95,prior_reference_price,106.6,106.54,extended_hours_trade,L,300,170,0,,regular,
1110,CHRD,106.55,908695,2025-09-10T20:00:11Z,False,118270.50,prior_reference_price,106.6,106.54,extended_hours_trade,L,300,170,0,,regular,
952,CHRD,106.501,771065,2025-09-10T19:58:56Z,False,101388.952,,106.58,106.51,,L,2418,1801,0,,regular,
1679,CHRD,105.97,675694,2025-09-10T19:55:16Z,False,177923.63,,106.05,105.99,,L,285,167,0,,regular,
2900,CHRD,105,585614,2025-09-10T19:42:04Z,False,304500,,105.07,104.95,,L,101,15,0,,regular,
9536,CHRD,105,560854,2025-09-10T19:32:05Z,False,1001280,,105.05,104.97,,L,1,7,0,,regular,
5206,CHRD,105.185,513560,2025-09-10T19:14:30Z,False,547593.110,,105.13,105.05,,L,100,110,0,,regular,
1004,CHRD,105,499272,2025-09-10T19:11:30Z,False,105420,,105.05,105.01,,L,25,10,0,,regular,
13100,CHRD,103.69,258147,2025-09-10T16:09:16Z,False,1358339.00,,103.77,103.61,,L,74,39,0,,regular,
11400,CHRD,103.715,241163,2025-09-10T16:05:12Z,False,1182351.000,,103.79,103.68,,L,52,8,0,,regular,
12100,CHRD,103.715,228708,2025-09-10T16:05:12Z,False,1254951.500,,103.79,103.68,,L,52,8,0,,regular,
25000,CHRD,103.515,210046,2025-09-10T16:02:20Z,False,2587875.000,,103.66,103.53,,L,80,37,0,,regular,
1300,CHRD,103.19,179459,2025-09-10T15:54:25Z,False,134147.00,,103.26,103.23,,L,10,149,0,,regular,
25000,CHRD,103.225,171616,2025-09-10T15:52:03Z,False,2580625.000,,103.26,103.19,,L,36,2,0,,regular,
1171,CHRD,103.02,143876,2025-09-10T15:49:12Z,False,120636.42,,103.11,103.06,,L,100,34,0,,regular,
3174,CHRD,102.7813,122122,2025-09-10T15:28:28Z,False,326227.8462,,102.95,102.78,,L,2,116,0,,regular,
3526,CHRD,102.82,114940,2025-09-10T15:25:37Z,False,362543.32,,102.96,102.76,,L,307,223,0,,regular,
1000,CHRD,103.79,28849,2025-09-10T13:50:32Z,False,103790.00,,104,103.72,,L,206,18,0,,regular,
1500,CHRD,103.1329,11318,2025-09-10T13:33:49Z,False,154699.3500,,103.52,102.55,,L,6,23,0,,regular,
