size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
1180,CHRD,134.79,455956,2026-06-05T20:00:24Z,False,159052.20,prior_reference_price,133.5,137.46,extended_hours_trade,L,14,1,23158535684814,,regular,2026-06-05T20:00:24Z
3997,CHRD,134.79,453653,2026-06-05T20:00:24Z,False,538755.63,prior_reference_price,133.5,137.46,extended_hours_trade,L,14,1,23158535684441,,regular,2026-06-05T20:00:24Z
887,CHRD,134.79,449222,2026-06-05T20:00:24Z,False,119558.73,prior_reference_price,133.5,137.46,extended_hours_trade,L,14,1,23158535684403,,regular,2026-06-05T20:00:24Z
900,CHRD,135.62,247411,2026-06-05T19:16:00Z,False,122058.00,,135.62,135.74,,L,129,1,23158533021031,,regular,2026-06-05T19:16:00Z
1950,CHRD,136.1499,227316,2026-06-05T18:49:26Z,False,265492.3050,,135.86,136.14,,L,98,13,23158531426680,,regular,2026-06-05T18:49:26Z
922,CHRD,136.1201,224297,2026-06-05T18:48:51Z,False,125502.7322,,135.86,136.05,,L,2,65,23158531391496,,regular,2026-06-05T18:48:51Z
1410,CHRD,135.77,187399,2026-06-05T17:50:51Z,False,191435.70,,135.77,135.97,,L,10,3,23158527911953,,regular,2026-06-05T17:50:51Z
1303,CHRD,135.79,185254,2026-06-05T17:49:07Z,False,176934.37,,135.79,136.02,,L,270,60,23158527807061,,regular,2026-06-05T17:49:07Z
1961,CHRD,135.9004,164434,2026-06-05T17:10:01Z,False,266500.6844,,135.69,135.93,,L,10,12,23158525461769,,regular,2026-06-05T17:10:01Z
1100,CHRD,138.035,80052,2026-06-05T15:00:06Z,False,151838.500,,137.95,138.2,,L,104,2,23158517666713,,regular,2026-06-05T15:00:06Z
1000,CHRD,137.73,30288,2026-06-05T13:58:43Z,False,137730.00,,137.58,137.88,,L,100,300,23158513983579,,regular,2026-06-05T13:58:43Z
1700,CHRD,137.57,25688,2026-06-05T13:58:41Z,False,233869.00,,137.4,137.73,,L,1,101,23158513981261,,regular,2026-06-05T13:58:41Z
