size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
895,CHRW,160.32,1594067,2025-12-01T21:34:52Z,False,143486.40,,160.4,163.45,extended_hours_trade,L,10,1,0,,regular,
631,CHRW,160.32,1589970,2025-12-01T21:01:13Z,False,101161.92,prior_reference_price,160.32,161.72,extended_hours_trade,L,6,1,0,,regular,
6100,CHRW,160.32,1587498,2025-12-01T21:00:18Z,False,977952.00,prior_reference_price,160.32,162,extended_hours_trade,L,20,11,0,,regular,
690,CHRW,160.32,1581398,2025-12-01T21:00:18Z,False,110620.80,prior_reference_price,160.32,162,extended_hours_trade,L,20,11,0,,regular,
1583,CHRW,160.32,1580677,2025-12-01T21:00:18Z,False,253786.56,prior_reference_price,160.32,162,extended_hours_trade,L,20,11,0,,regular,
2400,CHRW,160.32,1579064,2025-12-01T21:00:16Z,False,384768.00,prior_reference_price,160.32,162,extended_hours_trade,L,20,11,0,,regular,
678,CHRW,160.32,1576664,2025-12-01T21:00:16Z,False,108696.96,prior_reference_price,160.32,162,extended_hours_trade,L,20,11,0,,regular,
1250,CHRW,160.32,1575986,2025-12-01T21:00:16Z,False,200400.00,prior_reference_price,160.32,162,extended_hours_trade,L,20,11,0,,regular,
690,CHRW,160.32,1574312,2025-12-01T21:00:16Z,False,110620.80,prior_reference_price,160.32,162,extended_hours_trade,L,20,11,0,,regular,
1593,CHRW,160.32,1571918,2025-12-01T21:00:01Z,False,255389.76,,160.32,162,extended_hours_trade,L,20,11,0,,regular,
4824,CHRW,160.32,1569834,2025-12-01T21:00:01Z,False,773383.68,,160.32,162,extended_hours_trade,L,20,11,0,,regular,
700,CHRW,160.31,1133950,2025-12-01T20:59:27Z,False,112217.00,,160.31,160.32,,L,60,401,0,,regular,
