size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
1500,CHTR,149.99,2826853,2026-08-31T22:23:32Z,False,224985.00,,148.9,151,extended_hours_trade,L,18,75,31138593508972,,regular,2026-08-31T22:23:32Z
1900,CHTR,149.8,2825353,2026-08-31T22:23:04Z,False,284620.0,,148.9,151,extended_hours_trade,L,18,75,31138593480159,,regular,2026-08-31T22:23:04Z
22071,CHTR,152.44,2818137,2026-08-31T21:27:44Z,False,3364503.24,prior_reference_price,148.9,149.8,extended_hours_trade,L,250,75,31138590160291,,regular,2026-08-31T21:27:44Z
72364,CHTR,152.44,2793287,2026-08-31T21:06:38Z,False,11031168.16,prior_reference_price,148.9,151,extended_hours_trade,L,18,75,31138588894498,,regular,2026-08-31T21:06:35Z
800,CHTR,149.379,2720923,2026-08-31T21:05:32Z,False,119503.200,,148.9,151,extended_hours_trade,L,18,75,31138588828141,,regular,2026-08-31T21:05:32Z
851,CHTR,152.4345,2718077,2026-08-31T20:24:51Z,False,129721.7595,average_price_trade,148.57,151,extended_hours_trade,L,18,33,31138586387039,,regular,2026-08-31T20:24:49Z
1173,CHTR,152.4345,2716796,2026-08-31T20:24:49Z,False,178805.6685,average_price_trade,148.57,151,extended_hours_trade,L,18,33,31138586385527,,regular,2026-08-31T20:24:48Z
927,CHTR,152.4345,2714747,2026-08-31T20:24:48Z,False,141306.7815,average_price_trade,148.57,151,extended_hours_trade,L,18,33,31138586384367,,regular,2026-08-31T20:24:47Z
2233,CHTR,152.4345,2713433,2026-08-31T20:24:46Z,False,340386.2385,average_price_trade,148.57,151,extended_hours_trade,L,18,33,31138586382231,,regular,2026-08-31T20:24:45Z
1312,CHTR,152.4345,2711200,2026-08-31T20:24:45Z,False,199994.0640,average_price_trade,148.57,151,extended_hours_trade,L,18,33,31138586381442,,regular,2026-08-31T20:24:44Z
2822,CHTR,152.44,2706857,2026-08-31T20:13:28Z,False,430185.68,prior_reference_price,149.5,156.36,extended_hours_trade,L,8,1,31138585704432,,regular,2026-08-31T20:13:28Z
1284,CHTR,152.4126,2704035,2026-08-31T20:10:24Z,False,195697.7784,average_price_trade,149.5,156.36,extended_hours_trade,L,8,1,31138585520598,,regular,2026-08-31T20:10:23Z
256055,CHTR,152.4248,2704029,2026-08-31T20:07:49Z,False,39029132.1640,prior_reference_price,149.5,156.36,extended_hours_trade,L,8,1,31138585365483,,regular,2026-08-31T20:07:49Z
1169,CHTR,152.44,2447974,2026-08-31T20:07:43Z,False,178202.36,prior_reference_price,149.5,156.36,extended_hours_trade,L,8,1,31138585359366,,regular,2026-08-31T20:07:43Z
1169,CHTR,152.44,2446805,2026-08-31T20:07:32Z,False,178202.36,prior_reference_price,149.5,156.36,extended_hours_trade,L,8,1,31138585348400,,regular,2026-08-31T20:07:32Z
11856,CHTR,152.44,2445596,2026-08-31T20:02:21Z,False,1807328.64,prior_reference_price,149.5,156.36,extended_hours_trade,L,8,1,31138585037808,,regular,2026-08-31T20:02:21Z
828,CHTR,152.44,2433740,2026-08-31T20:02:21Z,False,126220.32,prior_reference_price,149.5,156.36,extended_hours_trade,L,8,1,31138585037526,,regular,2026-08-31T20:02:21Z
2854,CHTR,152.44,2432912,2026-08-31T20:02:21Z,False,435063.76,prior_reference_price,149.5,156.36,extended_hours_trade,L,8,1,31138585037237,,regular,2026-08-31T20:02:21Z
979,CHTR,152.44,2430058,2026-08-31T20:02:20Z,False,149238.76,prior_reference_price,149.5,156.36,extended_hours_trade,L,8,1,31138585036575,,regular,2026-08-31T20:02:20Z
759,CHTR,152.4336,2429079,2026-08-31T20:02:20Z,False,115697.1024,average_price_trade,149.5,156.36,extended_hours_trade,L,8,1,31138585036295,,regular,2026-08-31T20:02:20Z
1709,CHTR,152.4336,2428320,2026-08-31T20:02:19Z,False,260509.0224,average_price_trade,149.5,156.36,extended_hours_trade,L,8,1,31138585035986,,regular,2026-08-31T20:02:19Z
30134,CHTR,152.44,2426611,2026-08-31T20:02:19Z,False,4593626.96,prior_reference_price,149.5,156.36,extended_hours_trade,L,8,1,31138585035591,,regular,2026-08-31T20:02:19Z
9459,CHTR,152.44,2396477,2026-08-31T20:02:19Z,False,1441929.96,prior_reference_price,149.5,156.36,extended_hours_trade,L,8,1,31138585035283,,regular,2026-08-31T20:02:19Z
780,CHTR,152.44,2386566,2026-08-31T20:02:17Z,False,118903.20,prior_reference_price,149.5,156.36,extended_hours_trade,L,8,1,31138585033719,,regular,2026-08-31T20:02:17Z
1400,CHTR,152.44,2384881,2026-08-31T20:00:35Z,False,213416.00,prior_reference_price,150.06,152.81,extended_hours_trade,L,100,100,31138584931668,,regular,2026-08-31T20:00:35Z
