size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
4974,CHWY,21.48,7666245,2026-05-14T20:00:46Z,False,106841.52,prior_reference_price,21.21,21.5,extended_hours_trade,L,1,13,40136541427846,,regular,2026-05-14T20:00:46Z
18417,CHWY,21.48,7653651,2026-05-14T20:00:45Z,False,395597.16,prior_reference_price,21.21,21.5,extended_hours_trade,L,1,13,40136541427067,,regular,2026-05-14T20:00:45Z
5200,CHWY,21.48,7623267,2026-05-14T20:00:04Z,False,111696.00,,21.21,21.49,extended_hours_trade,L,315,12,40136541385183,,regular,2026-05-14T20:00:02Z
5900,CHWY,21.48,7616567,2026-05-14T20:00:03Z,False,126732.00,,21.21,21.49,extended_hours_trade,L,315,12,40136541385074,,regular,2026-05-14T20:00:02Z
8250,CHWY,21.5,6090911,2026-05-14T19:55:01Z,False,177375.0,,21.51,21.52,,L,310,106,40136541082679,,regular,2026-05-14T19:55:01Z
5000,CHWY,21.475,5604698,2026-05-14T19:40:45Z,False,107375.000,,21.47,21.48,,L,640,200,40136540226558,,regular,2026-05-14T19:40:45Z
7954,CHWY,21.47,5598438,2026-05-14T19:40:44Z,False,170772.38,,21.47,21.48,,L,440,200,40136540225573,,regular,2026-05-14T19:40:44Z
7000,CHWY,21.37,5244849,2026-05-14T19:24:09Z,False,149590.00,,21.37,21.4,,L,353,856,40136539231022,,regular,2026-05-14T19:24:09Z
8150,CHWY,21.405,5171651,2026-05-14T19:18:48Z,False,174450.750,,21.39,21.4,,L,291,200,40136538909985,,regular,2026-05-14T19:18:48Z
5626,CHWY,21.39,5137182,2026-05-14T19:18:36Z,False,120340.14,,21.38,21.4,,L,200,489,40136538897755,,regular,2026-05-14T19:18:36Z
4800,CHWY,21.3,4994122,2026-05-14T19:12:27Z,False,102240.0,,21.3,21.31,,L,240,410,40136538528868,,regular,2026-05-14T19:12:27Z
8752,CHWY,21.324,4935398,2026-05-14T19:10:21Z,False,186627.648,,21.32,21.33,,L,805,720,40136538402648,,regular,2026-05-14T19:10:21Z
13323,CHWY,21.29,4754362,2026-05-14T19:00:45Z,False,283646.67,,21.29,21.3,,L,100,710,40136537827100,,regular,2026-05-14T19:00:45Z
10983,CHWY,21.295,4687377,2026-05-14T18:57:41Z,False,233882.985,,21.29,21.3,,L,31,667,40136537642566,,regular,2026-05-14T18:57:41Z
6000,CHWY,21.2399,4568190,2026-05-14T18:49:56Z,False,127439.4000,,21.23,21.24,,L,773,323,40136537177276,,regular,2026-05-14T18:49:56Z
6376,CHWY,21.34,4454981,2026-05-14T18:45:54Z,False,136063.84,,21.34,21.35,,L,104,2104,40136536935742,,regular,2026-05-14T18:45:54Z
6000,CHWY,21.3499,4445453,2026-05-14T18:45:47Z,False,128099.4000,,21.34,21.35,,L,304,1404,40136536928572,,regular,2026-05-14T18:45:47Z
