size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
2077,CIEN,65.90,1657315,2025-03-19T20:01:51Z,False,136874.30,prior_reference_price,66.74,64.62,extended_hours_trade,L,10,6,57711007371717,,,
1704,CIEN,65.90,1655238,2025-03-19T20:01:04Z,False,112293.60,prior_reference_price,66.74,57.19,extended_hours_trade,L,10,3,57664854611143,,,
2948,CIEN,65.90,1653534,2025-03-19T20:00:48Z,False,194273.20,prior_reference_price,66.74,57.19,extended_hours_trade,L,10,3,57648857164482,,,
67327,CIEN,65.90,1650586,2025-03-19T20:00:44Z,False,4436849.30,prior_reference_price,66.74,57.19,extended_hours_trade,L,10,3,57644743382934,,,
2819,CIEN,65.90,1581116,2025-03-19T20:00:26Z,False,185772.10,prior_reference_price,66.74,57.19,extended_hours_trade,L,10,3,57626390634143,,,
1730,CIEN,65.90,1577581,2025-03-19T20:00:25Z,False,114007.00,prior_reference_price,66.74,57.19,extended_hours_trade,L,10,3,57625664940714,,,
62900,CIEN,65.90,1574668,2025-03-19T20:00:13Z,False,4145110.00,average_price_trade,66.74,57.19,extended_hours_trade,L,10,3,57613116850015,,,
9200,CIEN,65.965,860420,2025-03-19T19:39:48Z,False,606878.000,,66.04,65.95,,L,114,5,56388735218261,,,
1701,CIEN,65.726,837322,2025-03-19T19:36:33Z,False,111799.926,average_price_trade,65.86,65.77,,L,24,1,56193193518343,,,
2649,CIEN,66.3601,753423,2025-03-19T19:17:58Z,False,175787.9049,,66.52,66.36,,L,9,19,55078499858083,,,
3760,CIEN,66.05,646409,2025-03-19T18:49:22Z,False,248348.00,,66.04,66,,L,19,21,53362868356242,,,
1704,CIEN,65.69,570492,2025-03-19T18:25:09Z,False,111935.76,,65.73,65.65,,L,182,150,51909134055937,,,
5293,CIEN,65.68,556026,2025-03-19T18:16:30Z,False,347644.24,,65.71,65.67,,L,60,20,51390712868183,,,
13870,CIEN,65.485,475479,2025-03-19T17:46:03Z,False,908276.950,,65.51,65.48,,L,120,3,49563606710222,,,
24900,CIEN,65.64,380431,2025-03-19T17:11:31Z,False,1634436.00,,65.67,65.61,,L,352,172,47491703761200,,,
2400,CIEN,65.67,232899,2025-03-19T15:44:20Z,False,157608.00,,65.68,65.58,,L,10,37,42260177272762,,,
8911,CIEN,65.3988,197461,2025-03-19T15:13:05Z,False,582768.7068,,65.47,65.37,,L,20,100,40385980952255,,,
5714,CIEN,65.1727,28538,2025-03-19T13:32:40Z,False,372396.8078,,65.66,65,,L,69,10,34360940628477,,,
2300,CIEN,65.7399,22061,2025-03-19T13:31:57Z,False,151201.7700,,65.79,64.98,,L,7,7,34317361843548,,,
