size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
8860,CIFR,25.65,22149578,2026-06-25T23:13:17Z,False,227259.00,,25.85,25.64,extended_hours_trade,L,80,85,24060490389422,,regular,2026-06-25T23:13:17Z
35417,CIFR,25.68,22109958,2026-06-25T21:33:53Z,False,909508.56,prior_reference_price,25.84,25.55,extended_hours_trade,L,39,1,24060484425917,,regular,2026-06-25T21:33:53Z
263900,CIFR,25.68,22031101,2026-06-25T20:06:46Z,False,6776952.00,prior_reference_price,25.89,25.75,extended_hours_trade,L,1,2100,24060479199100,,regular,2026-06-25T20:06:46Z
9553,CIFR,25.79,21759735,2026-06-25T20:04:17Z,False,246371.87,,25.79,25.55,extended_hours_trade,L,60,1,24060479049795,,regular,2026-06-25T20:04:17Z
5000,CIFR,25.68,21742408,2026-06-25T20:01:14Z,False,128400.00,,25.69,25.55,extended_hours_trade,L,1,1,24060478866437,,regular,2026-06-25T20:01:14Z
7430,CIFR,25.68,21730228,2026-06-25T20:00:57Z,False,190802.40,prior_reference_price,25.69,25.55,extended_hours_trade,L,1382,1,24060478849837,,regular,2026-06-25T20:00:57Z
5250,CIFR,25.68,21722798,2026-06-25T20:00:57Z,False,134820.00,prior_reference_price,25.69,25.55,extended_hours_trade,L,1382,1,24060478849834,,regular,2026-06-25T20:00:57Z
50000,CIFR,25.68,21716809,2026-06-25T20:00:57Z,False,1284000.00,prior_reference_price,25.69,25.55,extended_hours_trade,L,1382,1,24060478849825,,regular,2026-06-25T20:00:57Z
7800,CIFR,25.68,21665897,2026-06-25T20:00:56Z,False,200304.00,prior_reference_price,25.69,25.55,extended_hours_trade,L,1382,1,24060478849082,,regular,2026-06-25T20:00:56Z
9883,CIFR,25.68,21648799,2026-06-25T20:00:29Z,False,253795.44,prior_reference_price,25.69,25.55,extended_hours_trade,L,1501,1,24060478822015,,regular,2026-06-25T20:00:29Z
9930,CIFR,25.68,21638916,2026-06-25T20:00:29Z,False,255002.40,prior_reference_price,25.69,25.55,extended_hours_trade,L,1501,1,24060478821454,,regular,2026-06-25T20:00:29Z
69550,CIFR,25.68,21628986,2026-06-25T20:00:28Z,False,1786044.00,prior_reference_price,25.69,25.55,extended_hours_trade,L,1501,1,24060478820856,,regular,2026-06-25T20:00:28Z
905100,CIFR,25.68,21559435,2026-06-25T20:00:06Z,False,23242968.00,average_price_trade,25.69,25.61,extended_hours_trade,L,1500,1,24060478799004,,regular,2026-06-25T20:00:06Z
3900,CIFR,25.68,20654335,2026-06-25T20:00:03Z,False,100152.00,,25.72,25.61,extended_hours_trade,L,50,1,24060478795834,,regular,2026-06-25T20:00:01Z
4745,CIFR,25.69,19549961,2026-06-25T19:59:51Z,False,121899.05,,25.7,25.69,,L,4276,2866,24060478783274,,regular,2026-06-25T19:59:51Z
7524,CIFR,25.6201,19266328,2026-06-25T19:58:30Z,False,192765.6324,,25.63,25.62,,L,977,1236,24060478702439,,regular,2026-06-25T19:58:30Z
11883,CIFR,25.575,19088013,2026-06-25T19:56:43Z,False,303907.725,,25.58,25.57,,L,120,170,24060478595243,,regular,2026-06-25T19:56:42Z
60000,CIFR,25.4,18897461,2026-06-25T19:53:45Z,False,1524000.0,,25.4,25.39,,L,400,286,24060478417990,,regular,2026-06-25T19:53:45Z
9698,CIFR,25.38,18693041,2026-06-25T19:51:04Z,False,246135.24,,25.39,25.37,,L,395,430,24060478256908,,regular,2026-06-25T19:51:04Z
4550,CIFR,25.38,18667105,2026-06-25T19:50:47Z,False,115479.00,,25.38,25.36,,L,240,382,24060478240147,,regular,2026-06-25T19:50:47Z
5000,CIFR,25.36,18649235,2026-06-25T19:50:27Z,False,126800.00,,25.37,25.36,,L,203,100,24060478219273,,regular,2026-06-25T19:50:27Z
60000,CIFR,25.43,18594607,2026-06-25T19:50:00Z,False,1525800.00,,25.42,25.4,,L,376,430,24060478192312,,regular,2026-06-25T19:50:00Z
60000,CIFR,25.49,18392382,2026-06-25T19:48:25Z,False,1529400.00,,25.51,25.5,,L,728,200,24060478097199,,regular,2026-06-25T19:48:25Z
6429,CIFR,25.49,18244635,2026-06-25T19:47:26Z,False,163875.21,,25.5,25.49,,L,52,418,24060478038888,,regular,2026-06-25T19:47:26Z
6000,CIFR,25.42,18169882,2026-06-25T19:46:01Z,False,152520.00,,25.43,25.41,,L,132,255,24060477953480,,regular,2026-06-25T19:46:01Z
4700,CIFR,25.34,18114009,2026-06-25T19:44:42Z,False,119098.00,,25.35,25.34,,L,53,10,24060477874756,,regular,2026-06-25T19:44:42Z
5000,CIFR,25.3801,17995323,2026-06-25T19:40:00Z,False,126900.5000,,25.39,25.37,,L,1324,145,24060477592703,,regular,2026-06-25T19:40:00Z
8200,CIFR,25.2599,17954264,2026-06-25T19:39:23Z,False,207131.1800,,25.25,25.24,,L,25,200,24060477555610,,regular,2026-06-25T19:39:23Z
60000,CIFR,25.2,17758843,2026-06-25T19:32:49Z,False,1512000.0,,25.2,25.18,,L,224,176,24060477161593,,regular,2026-06-25T19:32:49Z
5000,CIFR,25.1573,17642311,2026-06-25T19:31:50Z,False,125786.5000,,25.17,25.15,,L,130,129,24060477102525,,regular,2026-06-25T19:31:50Z
60000,CIFR,25.2,17624327,2026-06-25T19:31:23Z,False,1512000.0,,25.21,25.19,,L,155,210,24060477075323,,regular,2026-06-25T19:31:23Z
5477,CIFR,25.1825,17419412,2026-06-25T19:28:28Z,False,137924.5525,,25.19,25.17,,L,133,351,24060476900292,,regular,2026-06-25T19:28:28Z
4000,CIFR,25.1938,17404309,2026-06-25T19:28:20Z,False,100775.2000,,25.2,25.18,,L,249,447,24060476892413,,regular,2026-06-25T19:28:20Z
4500,CIFR,25.1927,17394741,2026-06-25T19:28:15Z,False,113367.1500,,25.2,25.19,,L,824,100,24060476887441,,regular,2026-06-25T19:28:15Z
4000,CIFR,25.2101,17385482,2026-06-25T19:28:11Z,False,100840.4000,,25.21,25.2,,L,115,324,24060476883805,,regular,2026-06-25T19:28:11Z
4000,CIFR,25.22,17381446,2026-06-25T19:28:08Z,False,100880.00,,25.23,25.21,,L,353,361,24060476880353,,regular,2026-06-25T19:28:08Z
4500,CIFR,25.2186,17375864,2026-06-25T19:28:04Z,False,113483.7000,,25.23,25.21,,L,128,128,24060476876880,,regular,2026-06-25T19:28:04Z
6406,CIFR,25.1899,17363855,2026-06-25T19:27:56Z,False,161366.4994,,25.19,25.17,,L,249,166,24060476868803,,regular,2026-06-25T19:27:56Z
7000,CIFR,25.14,17319355,2026-06-25T19:26:22Z,False,175980.00,,25.16,25.15,,L,196,22,24060476775006,,regular,2026-06-25T19:26:22Z
6133,CIFR,25.18,17284714,2026-06-25T19:25:36Z,False,154428.94,,25.19,25.17,,L,149,49,24060476728946,,regular,2026-06-25T19:25:36Z
4838,CIFR,25.15,17250323,2026-06-25T19:24:48Z,False,121675.70,,25.14,25.12,,L,268,624,24060476680377,,regular,2026-06-25T19:24:48Z
7700,CIFR,25.1099,17235158,2026-06-25T19:24:44Z,False,193346.2300,,25.1,25.08,,L,49,44,24060476676282,,regular,2026-06-25T19:24:44Z
9000,CIFR,25.09,17223435,2026-06-25T19:24:40Z,False,225810.00,,25.09,25.07,,L,745,251,24060476672710,,regular,2026-06-25T19:24:40Z
