size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
11960,CLF,10.39,20204301,2025-03-14T20:07:14Z,False,124264.40,,10.34,10.35,extended_hours_trade,L,100,50,58034959121669,,,
11965,CLF,10.39,20145186,2025-03-14T20:00:29Z,False,124316.35,prior_reference_price,10.38,10.41,extended_hours_trade,L,1000,1,57629697599008,,,
16421,CLF,10.39,20133221,2025-03-14T20:00:29Z,False,170614.19,prior_reference_price,10.38,10.41,extended_hours_trade,L,1000,1,57629690666382,,,
16293,CLF,10.39,20104464,2025-03-14T20:00:29Z,False,169284.27,prior_reference_price,10.38,10.41,extended_hours_trade,L,1000,1,57629415249936,,,
44063,CLF,10.39,20088171,2025-03-14T20:00:29Z,False,457814.57,prior_reference_price,10.38,10.41,extended_hours_trade,L,1000,1,57629413311901,,,
22513,CLF,10.39,20039681,2025-03-14T20:00:29Z,False,233910.07,prior_reference_price,10.38,10.41,extended_hours_trade,L,1000,1,57629406695645,,,
26365,CLF,10.39,20017089,2025-03-14T20:00:29Z,False,273932.35,prior_reference_price,10.38,10.41,extended_hours_trade,L,1000,1,57629400665388,,,
10000,CLF,10.44,18037971,2025-03-14T19:58:32Z,False,104400.00,,10.43,10.44,,L,7306,3014,57512136404448,,,
13000,CLF,10.42,17442768,2025-03-14T19:56:52Z,False,135460.00,,10.42,10.43,,L,4664,6409,57412477152825,,,
24555,CLF,10.4202,17246948,2025-03-14T19:55:51Z,False,255868.0110,,10.42,10.43,,L,3242,11359,57351404899650,,,
15209,CLF,10.4202,17176447,2025-03-14T19:55:27Z,False,158480.8218,,10.42,10.43,,L,4580,6259,57327782352735,,,
9530,CLF,10.5012,16463695,2025-03-14T19:51:20Z,False,100076.4360,,10.50,10.51,,L,1546,10605,57080990218171,,,
9900,CLF,10.47,16288476,2025-03-14T19:50:32Z,False,103653.00,,10.46,10.47,,L,3080,4700,57032660605909,,,
10000,CLF,10.4902,16091422,2025-03-14T19:49:57Z,False,104902.0000,,10.49,10.50,,L,4675,6000,56997307897236,,,
18000,CLF,10.4702,15974867,2025-03-14T19:49:25Z,False,188463.6000,,10.47,10.48,,L,3618,4825,56965124565674,,,
12500,CLF,10.40,14999292,2025-03-14T19:40:26Z,False,130000.00,,10.40,10.41,,L,3328,2115,56426646094802,,,
13593,CLF,10.40,14439210,2025-03-14T19:32:08Z,False,141367.20,,10.39,10.40,,L,844,8386,55928546115372,,,
12600,CLF,10.372,14216208,2025-03-14T19:28:22Z,False,130687.200,,10.37,10.38,,L,4565,1100,55702338198357,,,
21800,CLF,10.268,12922832,2025-03-14T18:50:34Z,False,223842.400,,10.26,10.27,,L,1963,1212,53434582978982,,,
18000,CLF,10.26,12751230,2025-03-14T18:46:23Z,False,184680.00,,10.25,10.26,,L,506,2705,53183413650914,,,
10700,CLF,10.24,12616173,2025-03-14T18:42:16Z,False,109568.00,,10.23,10.24,,L,1988,884,52936955738109,,,
11900,CLF,10.248,12303386,2025-03-14T18:32:02Z,False,121951.200,,10.24,10.25,,L,1593,1269,52322376146543,,,
10000,CLF,10.219,11810978,2025-03-14T18:14:30Z,False,102190.000,,10.21,10.22,,L,1440,838,51270739816417,,,
10000,CLF,10.2098,11791698,2025-03-14T18:14:17Z,False,102098.0000,,10.20,10.21,,L,941,1801,51257770712266,,,
15572,CLF,10.20,11769011,2025-03-14T18:13:42Z,False,158834.40,,10.20,10.21,,L,600,1659,51222056870787,,,
10000,CLF,10.2394,11702485,2025-03-14T18:11:24Z,False,102394.0000,,10.23,10.24,,L,779,1100,51084333479366,,,
10100,CLF,10.24,11688882,2025-03-14T18:11:12Z,False,103424.00,,10.23,10.24,,L,976,700,51072463957516,,,
10000,CLF,10.23,11584474,2025-03-14T18:08:53Z,False,102300.00,,10.23,10.24,,L,2908,300,50933563027363,,,
13800,CLF,10.28,11502067,2025-03-14T18:06:04Z,False,141864.00,,10.28,10.29,,L,1865,1957,50764273240559,,,
12000,CLF,10.338,11030169,2025-03-14T17:55:12Z,False,124056.000,,10.33,10.34,,L,902,2047,50112968954798,,,
10000,CLF,10.41,10447880,2025-03-14T17:30:34Z,False,104100.00,,10.41,10.42,,L,900,1300,48634100663937,,,
20110,CLF,10.4403,10313267,2025-03-14T17:23:37Z,False,209954.4330,,10.44,10.45,,L,503,1000,48217381137067,,,
10000,CLF,10.42,9542880,2025-03-14T16:51:42Z,False,104200.00,,10.41,10.42,,L,400,2830,46302816208406,,,
18865,CLF,10.40,9495993,2025-03-14T16:51:00Z,False,196196.00,,10.39,10.40,,L,100,2714,46260335173389,,,
9700,CLF,10.398,9466014,2025-03-14T16:50:58Z,False,100860.600,,10.39,10.40,,L,700,1500,46258659117849,,,
10000,CLF,10.3601,9395840,2025-03-14T16:48:40Z,False,103601.0000,,10.36,10.37,,L,1500,1301,46120662969709,,,
31600,CLF,10.35,9334273,2025-03-14T16:47:37Z,False,327060.00,,10.34,10.35,,L,2428,1500,46057874086571,,,
10000,CLF,10.371,9235642,2025-03-14T16:46:46Z,False,103710.000,,10.37,10.38,,L,600,1539,46006024373249,,,
13800,CLF,10.355,9209473,2025-03-14T16:46:08Z,False,142899.000,,10.35,10.36,,L,527,2000,45968029170790,,,
13000,CLF,10.3999,8759110,2025-03-14T16:33:59Z,False,135198.7000,,10.39,10.40,,L,1002,504,45239414830094,,,
15000,CLF,10.43,8438303,2025-03-14T16:20:25Z,False,156450.00,contingent_trade,10.42,10.43,,L,801,1307,44425579838861,qualified_contingent_trade,,
10000,CLF,10.4199,8392427,2025-03-14T16:19:27Z,False,104199.0000,,10.41,10.42,,L,304,1178,44367357595079,,,
10000,CLF,10.4299,8355896,2025-03-14T16:18:06Z,False,104299.0000,,10.42,10.43,,L,1017,613,44286861746374,,,
17200,CLF,10.4202,8267646,2025-03-14T16:15:48Z,False,179227.4400,,10.42,10.43,,L,701,800,44148738465551,,,
20200,CLF,10.41,8221406,2025-03-14T16:14:42Z,False,210282.00,,10.41,10.42,,L,1229,941,44082876265129,,,
17300,CLF,10.43,7945946,2025-03-14T16:05:36Z,False,180439.00,,10.43,10.44,,L,1348,1415,43536682154845,,,
14247,CLF,10.435,7908875,2025-03-14T16:05:12Z,False,148667.445,,10.43,10.44,,L,920,1915,43512438763151,,,
47000,CLF,10.47,7636491,2025-03-14T15:54:36Z,False,492090.00,,10.46,10.47,,L,1555,800,42876017033086,,,
10000,CLF,10.46,7486571,2025-03-14T15:52:44Z,False,104600.00,,10.46,10.47,,L,994,1245,42764216813734,,,
10000,CLF,10.52,7227722,2025-03-14T15:47:10Z,False,105200.00,,10.52,10.53,,L,100,1405,42430384623119,,,
10000,CLF,10.48,6831986,2025-03-14T15:42:21Z,False,104800.00,,10.48,10.49,,L,837,2609,42141776618330,,,
10000,CLF,10.48,6793148,2025-03-14T15:41:23Z,False,104800.00,,10.48,10.49,,L,1700,2309,42083601971263,,,
9652,CLF,10.48,6775033,2025-03-14T15:40:47Z,False,101152.96,,10.48,10.49,,L,1700,1900,42047610397766,,,
10000,CLF,10.42,6472033,2025-03-14T15:30:28Z,False,104200.00,,10.42,10.43,,L,1800,2168,41428122925486,,,
10000,CLF,10.3505,6179939,2025-03-14T15:21:31Z,False,103505.0000,,10.35,10.36,,L,851,1100,40891774389890,,,
17208,CLF,10.415,5955974,2025-03-14T15:17:35Z,False,179221.320,,10.41,10.42,,L,1685,500,40655875904267,,,
121571,CLF,10.43,5924322,2025-03-14T15:17:27Z,False,1267985.53,average_price_trade,10.41,10.42,,L,1701,800,40647746313702,derivative_priced,,
50685,CLF,10.435,5736124,2025-03-14T15:16:37Z,False,528897.975,,10.42,10.43,,L,2158,1100,40597192938646,,,
18431,CLF,10.4398,5579917,2025-03-14T15:14:35Z,False,192415.9538,,10.43,10.44,,L,800,1400,40475919964116,,,
12809,CLF,10.385,4938419,2025-03-14T15:03:54Z,False,133021.465,,10.38,10.39,,L,822,500,39834368972291,,,
10000,CLF,10.385,4833091,2025-03-14T15:01:10Z,False,103850.000,,10.38,10.39,,L,400,400,39670677626684,,,
19410,CLF,10.3499,4612442,2025-03-14T14:58:07Z,False,200891.5590,average_price_trade,10.34,10.35,,L,807,1000,39487364921398,,,
10000,CLF,10.3299,4241278,2025-03-14T14:49:40Z,False,103299.0000,,10.32,10.34,,L,1511,2075,38980110406285,,,
13000,CLF,10.31,4156455,2025-03-14T14:48:04Z,False,134030.00,,10.31,10.32,,L,1466,1171,38884068600655,,,
20000,CLF,10.17,3000361,2025-03-14T14:28:00Z,False,203400.00,,10.17,10.18,,L,139,1444,37680999409665,,,
10000,CLF,10.1701,2486225,2025-03-14T14:16:20Z,False,101701.0000,,10.17,10.18,,L,404,583,36980655737247,,,
16500,CLF,10.2299,2180469,2025-03-14T14:06:50Z,False,168793.3500,,10.22,10.23,,L,1384,1700,36410279381406,,,
11000,CLF,10.23,2069011,2025-03-14T14:06:38Z,False,112530.00,,10.23,10.24,,L,156,700,36398494118501,,,
28210,CLF,10.06,1158871,2025-03-14T13:47:10Z,False,283792.60,,10.05,10.07,,L,1100,522,35230878947926,,,
10800,CLF,10.002,854805,2025-03-14T13:43:53Z,False,108021.600,,10,10.01,,L,218,489,35033896116918,,,
13390,CLF,9.98,699069,2025-03-14T13:40:13Z,False,133632.20,,9.99,10,,L,8,14,34813909727640,,,
20000,CLF,10.03,566511,2025-03-14T13:36:44Z,False,200600.00,,10.01,10.03,,L,400,200,34604268928151,,,
22500,CLF,10.03,546511,2025-03-14T13:36:44Z,False,225675.00,,10.01,10.03,,L,400,200,34604266094077,,,
10829,CLF,10,492244,2025-03-14T13:34:49Z,False,108290,,10,10.02,,L,800,200,34489209578679,,,
