size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
230389,CMG,38.25,16301037,2026-01-05T22:35:26Z,False,8812379.25,prior_reference_price,38.4,38.3,extended_hours_trade,L,5,119,30790701871658,,regular,
3866,CMG,38.2913,16065445,2026-01-05T21:40:35Z,False,148034.1658,,38.3,38.11,extended_hours_trade,L,48,6,30790698580732,,regular,
3866,CMG,38.26,16061212,2026-01-05T21:40:35Z,False,147913.16,,38.3,38.11,extended_hours_trade,L,48,6,30790698580731,,regular,
2684,CMG,38.25,16055697,2026-01-05T21:38:09Z,False,102663.00,prior_reference_price,38.82,38.11,extended_hours_trade,L,179,6,30790698434036,,regular,
3692,CMG,38.25,16047506,2026-01-05T21:04:28Z,False,141219.00,average_price_trade,38.97,38.11,extended_hours_trade,L,128,6,30790696413838,,regular,
6398,CMG,38.25,16043615,2026-01-05T21:02:46Z,False,244723.50,prior_reference_price,39,38.11,extended_hours_trade,L,179,6,30790696311647,,regular,
6035,CMG,38.25,16036780,2026-01-05T21:02:44Z,False,230838.75,prior_reference_price,39,38.11,extended_hours_trade,L,179,6,30790696309676,,regular,
5280,CMG,38.25,16025738,2026-01-05T21:02:30Z,False,201960.00,prior_reference_price,39,38.11,extended_hours_trade,L,179,6,30790696295528,,regular,
431353,CMG,38.25,16020434,2026-01-05T21:02:26Z,False,16499252.25,prior_reference_price,39,38.11,extended_hours_trade,L,179,6,30790696291780,,regular,
5000,CMG,38.25,15584408,2026-01-05T21:01:48Z,False,191250.00,prior_reference_price,39,38.11,extended_hours_trade,L,179,6,30790696253791,,regular,
5940,CMG,38.25,15575014,2026-01-05T21:01:01Z,False,227205.00,prior_reference_price,39,38.11,extended_hours_trade,L,179,6,30790696206972,,regular,
4432,CMG,38.25,15564956,2026-01-05T21:00:35Z,False,169524.00,prior_reference_price,39,38.11,extended_hours_trade,L,179,6,30790696180628,,regular,
6470,CMG,38.25,15558727,2026-01-05T21:00:35Z,False,247477.50,prior_reference_price,39,38.11,extended_hours_trade,L,179,6,30790696180329,,regular,
15379,CMG,38.25,15550717,2026-01-05T21:00:27Z,False,588246.75,prior_reference_price,39,38.11,extended_hours_trade,L,179,6,30790696172185,,regular,
205100,CMG,38.25,15531688,2026-01-05T21:00:26Z,False,7845075.00,prior_reference_price,39,38.11,extended_hours_trade,L,179,6,30790696171639,,regular,
