size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
25118,CNC,39.89,2539165,2025-12-24T19:56:55Z,False,1001957.02,average_price_trade,40.03,39.73,extended_hours_trade,L,100,1,30979670921453,,regular,
126100,CNC,39.89,2514047,2025-12-24T19:25:12Z,False,5030129.00,prior_reference_price,40.03,39.73,extended_hours_trade,L,100,1,30979669018883,,regular,
17904,CNC,39.89,2387719,2025-12-24T18:47:00Z,False,714190.56,,40.03,39.73,extended_hours_trade,L,100,1,30979666726550,,regular,
5300,CNC,39.89,2369388,2025-12-24T18:01:34Z,False,211417.00,prior_reference_price,40.32,39.73,extended_hours_trade,L,100,1,30979664000671,,regular,
5168,CNC,39.89,2363287,2025-12-24T18:01:30Z,False,206151.52,prior_reference_price,40.32,39.73,extended_hours_trade,L,100,1,30979663996883,,regular,
47832,CNC,39.89,2355946,2025-12-24T18:00:30Z,False,1908018.48,prior_reference_price,40.32,39.73,extended_hours_trade,L,100,1,30979663936102,,regular,
8231,CNC,39.89,2308111,2025-12-24T18:00:02Z,False,328334.59,,39.89,39.88,extended_hours_trade,L,180,14,30979663908849,,regular,
3047,CNC,40.0556,1723481,2025-12-24T17:36:22Z,False,122049.4132,,40.06,40.05,,L,57,219,30979662488069,,regular,
3255,CNC,40.0642,1497981,2025-12-24T17:17:09Z,False,130408.9710,,40.07,40.05,,L,168,100,30979661335776,,regular,
5000,CNC,40.0801,1453764,2025-12-24T17:12:40Z,False,200400.5000,,40.1,40.08,,L,427,152,30979661066113,,regular,
2639,CNC,40.04,1438623,2025-12-24T17:11:10Z,False,105665.56,,40.07,40.05,,L,109,326,30979660976427,,regular,
5000,CNC,40.0601,1432253,2025-12-24T17:11:02Z,False,200300.5000,,40.08,40.06,,L,410,202,30979660968131,,regular,
5000,CNC,40.0701,1362751,2025-12-24T17:08:31Z,False,200350.5000,,40.08,40.07,,L,55,13,30979660817610,,regular,
2700,CNC,40.1001,1345394,2025-12-24T17:07:53Z,False,108270.2700,,40.11,40.1,,L,100,101,30979660779314,,regular,
5000,CNC,40.0601,1334295,2025-12-24T17:07:22Z,False,200300.5000,,40.08,40.06,,L,100,387,30979660748806,,regular,
2705,CNC,40.06,1328953,2025-12-24T17:07:05Z,False,108362.30,,40.08,40.07,,L,63,121,30979660731245,,regular,
4100,CNC,39.9602,1183179,2025-12-24T17:01:49Z,False,163836.8200,,39.97,39.96,,L,100,12,30979660415192,,regular,
4658,CNC,39.95,1172329,2025-12-24T17:01:40Z,False,186087.10,,39.95,39.94,,L,124,10,30979660406092,,regular,
5000,CNC,39.9843,1155760,2025-12-24T17:01:20Z,False,199921.5000,,39.99,39.98,,L,2778,194,30979660386310,,regular,
4995,CNC,39.9602,1136004,2025-12-24T16:59:45Z,False,199601.1990,,39.97,39.96,,L,128,120,30979660291074,,regular,
3194,CNC,39.9601,1130054,2025-12-24T16:59:36Z,False,127632.5594,,39.97,39.96,,L,128,119,30979660282519,,regular,
3194,CNC,39.96,1126860,2025-12-24T16:59:36Z,False,127632.24,,39.97,39.96,,L,128,119,30979660282518,,regular,
5000,CNC,39.964,1044437,2025-12-24T16:50:37Z,False,199820.000,,39.97,39.96,,L,333,200,30979659743704,,regular,
4700,CNC,39.9601,1038293,2025-12-24T16:50:21Z,False,187812.4700,,39.97,39.96,,L,295,179,30979659727733,,regular,
8155,CNC,39.94,1011953,2025-12-24T16:47:17Z,False,325710.70,,39.97,39.95,,L,425,294,30979659543629,,regular,
5000,CNC,39.9571,810715,2025-12-24T16:22:03Z,False,199785.5000,,39.96,39.95,,L,539,317,30979658029061,,regular,
3361,CNC,39.9551,805423,2025-12-24T16:21:55Z,False,134289.0911,,39.96,39.95,,L,539,313,30979658021987,,regular,
5000,CNC,39.9538,793026,2025-12-24T16:21:24Z,False,199769.0000,,39.96,39.95,,L,309,113,30979657990614,,regular,
3500,CNC,39.9501,787276,2025-12-24T16:21:16Z,False,139825.3500,,39.96,39.95,,L,309,111,30979657982216,,regular,
5000,CNC,39.955,782416,2025-12-24T16:21:11Z,False,199775.000,,39.96,39.95,,L,305,111,30979657977804,,regular,
3500,CNC,39.9501,776902,2025-12-24T16:21:00Z,False,139825.3500,,39.96,39.95,,L,137,111,30979657966969,,regular,
5000,CNC,39.9538,756409,2025-12-24T16:20:12Z,False,199769.0000,,39.96,39.95,,L,380,174,30979657918493,,regular,
5000,CNC,39.9581,751232,2025-12-24T16:20:07Z,False,199790.5000,,39.96,39.95,,L,379,174,30979657913216,,regular,
2688,CNC,39.9258,491113,2025-12-24T15:45:24Z,False,107320.5504,,39.93,39.92,,L,223,216,30979655830660,,regular,
4007,CNC,39.9401,336586,2025-12-24T15:25:59Z,False,160039.9807,,39.95,39.94,,L,10,20,30979654665248,,regular,
3639,CNC,39.7368,227918,2025-12-24T15:06:29Z,False,144602.2152,,39.74,39.73,,L,100,1,30979653495474,,regular,
