size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
98100,CNM,51.99,2207938,2025-10-16T20:00:19Z,False,5100219.00,prior_reference_price,52.5,50.98,extended_hours_trade,L,20,17,0,,regular,
2183,CNM,51.99,2108038,2025-10-16T20:00:19Z,False,113494.17,prior_reference_price,52.5,50.98,extended_hours_trade,L,20,17,0,,regular,
2000,CNM,51.885,1716845,2025-10-16T19:58:57Z,False,103770.000,,51.88,51.87,,L,294,436,0,,regular,
9500,CNM,51.82,1654435,2025-10-16T19:57:40Z,False,492290.00,,51.83,51.82,,L,260,74,0,,regular,
2563,CNM,51.52,1112408,2025-10-16T18:27:24Z,False,132045.76,,51.52,51.49,,L,24,25,0,,regular,
6000,CNM,51.54,1084369,2025-10-16T18:18:24Z,False,309240.00,,51.59,51.56,,L,39,31,0,,regular,
17417,CNM,51.865,998128,2025-10-16T17:41:17Z,False,903332.705,,51.88,51.85,,L,28,22,0,,regular,
8579,CNM,51.925,979242,2025-10-16T17:41:08Z,False,445464.575,,51.92,51.9,,L,38,2,0,,regular,
4900,CNM,51.92,970461,2025-10-16T17:41:08Z,False,254408.00,,51.93,51.91,,L,6,79,0,,regular,
2484,CNM,52,956766,2025-10-16T17:39:59Z,False,129168,,51.99,51.97,,L,30,6,0,,regular,
2000,CNM,51.95,924460,2025-10-16T17:37:07Z,False,103900.00,,51.98,51.92,,L,34,36,0,,regular,
5000,CNM,51.95,912736,2025-10-16T17:35:58Z,False,259750.00,,51.95,51.89,,L,21,9,0,,regular,
5000,CNM,51.95,854936,2025-10-16T17:17:33Z,False,259750.00,,51.99,51.91,,L,5,27,0,,regular,
5000,CNM,51.885,840963,2025-10-16T17:15:59Z,False,259425.000,,51.93,51.85,,L,10,7,0,,regular,
5000,CNM,51.85,813954,2025-10-16T17:02:19Z,False,259250.00,,51.85,51.77,,L,17,36,0,,regular,
41000,CNM,51.865,737534,2025-10-16T16:41:36Z,False,2126465.000,,51.92,51.84,,L,31,27,0,,regular,
2000,CNM,51.665,662059,2025-10-16T16:35:00Z,False,103330.000,,51.7,51.64,,L,53,47,0,,regular,
12891,CNM,51.7,646314,2025-10-16T16:34:06Z,False,666464.7,,51.71,51.68,,L,42,2,0,,regular,
16500,CNM,51.74,629720,2025-10-16T16:34:01Z,False,853710.00,,51.71,51.68,,L,17,33,0,,regular,
2100,CNM,51.74,606945,2025-10-16T16:34:01Z,False,108654.00,,51.71,51.68,,L,17,33,0,,regular,
2674,CNM,51.995,552061,2025-10-16T16:19:47Z,False,139034.630,,52.03,51.99,,L,25,125,0,,regular,
3283,CNM,52.15,436324,2025-10-16T15:40:43Z,False,171208.45,,52.16,52.14,,L,45,3,0,,regular,
51647,CNM,52.505,367045,2025-10-16T15:19:31Z,False,2711725.735,,52.53,52.48,,L,13,25,0,,regular,
2300,CNM,52.375,300028,2025-10-16T15:13:28Z,False,120462.500,,52.44,52.4,,L,31,117,0,,regular,
4270,CNM,51.98,257367,2025-10-16T15:01:07Z,False,221954.60,,52.01,51.95,,L,32,683,0,,regular,
2400,CNM,52.06,169880,2025-10-16T14:31:10Z,False,124944.00,,52.09,52.04,,L,10,1,0,,regular,
